time,g__Abiotrophia,g__Acetatifactor,g__Acinetobacter,g__Actinomyces,g__Actinomycetospora,g__Adhaeribacter,g__Adlercreutzia,g__Agathobaculum,g__Akkermansia,g__Alcaligenes,g__Aliarcobacter,g__Alistipes,g__Aliterella,g__Alkanindiges,g__Alloiococcus,g__Alloprevotella,g__Amedibacillus,g__Anaerobutyricum,g__Anaerococcus,g__Anaerofilum,g__Anaerofustis,g__Anaeroglobus,g__Anaeromassilibacillus,g__Anaerostipes,g__Anaerotignum,g__Anaerotruncus,g__Angustibacter,g__Aquabacterium,g__Aquirickettsiella,g__Arenimonas,g__Asprobacter,g__Atopobium,g__Avispirillum,g__BX12,g__Bacillus,g__Bacteroides,g__Bariatricus,g__Barnesiella,g__Bifidobacterium,g__Bilophila,g__Bittarella,g__Blautia,g__Borkfalkia,g__Bosea,g__Brachybacterium,g__Bradyrhizobium,g__Brevibacterium,g__Brevundimonas,g__Bulleidia,g__Burkholderia,g__Butyribacter,g__Butyricicoccus,g__Butyrivibrio,g__C7867-002,g__CAG-1024,g__CAG-127,g__CAG-1427,g__CAG-196,g__CAG-238,g__CAG-269,g__CAG-274,g__CAG-302,g__CAG-41,g__CAG-533,g__CAG-83,g__CAJLXD01,g__Campylobacter,g__Caproiciproducens,g__Catenibacillus,g__Caulobacter,g__Cellulosilyticum,g__Cellvibrio,g__Centipeda,g__Cetobacterium,g__Christensenella,g__Chryseobacterium,g__Chryseotalea,g__Cloacibacterium,g__Clostridioides,g__Clostridium,g__Cnuella,g__Cohnella,g__Collinsella,g__Comamonas,g__Coprobacillus,g__Coprobacter,g__Coprococcus,g__Copromonas,g__Copromorpha,g__Corynebacterium,g__Cuneatibacter,g__Cupriavidus,g__Cutibacterium,g__DTU014,g__Dellaglioa,g__Dermabacter,g__Devosia,g__Dialister,g__Dielma,g__Dietzia,g__Dolosigranulum,g__Dorea,g__Dysosmobacter,g__ER4,g__Eggerthella,g__Eisenbergiella,g__Emergencia,g__Emticicia,g__Enterocloster,g__Erysipelatoclostridium,g__Eubacterium,g__Evtepia,g__Exiguobacterium,g__Ezakiella,g__F0422,g__Faecalibacillus,g__Faecalibacterium,g__Faecalibaculum,g__Fenollaria,g__Ferruginibacter,g__Fimenecus,g__Finegoldia,g__Flavobacterium,g__Flavonifractor,g__Fructilactobacillus,g__Fructobacillus,g__Fusicatenibacter,g__Fusobacterium,g__G11,g__GCA-2753745,g__GCA-900066905,g__GWC2-73-18,g__Gemmiger,g__Gordonibacter,g__Haemophilus,g__Harryflintia,g__Herbaspirillum,g__Holdemanella,g__Holdemania,g__Hydrogeniiclostridium,g__Hymenobacter,g__Intestinibacter,g__JC017,g__Jeotgalicoccus,g__Kandleria,g__Labilithrix,g__Labrys,g__Lachnoanaerobaculum,g__Lachnospira,g__Lacticaseibacillus,g__Lactobacillus,g__Lactococcus,g__Lacunisphaera,g__Lancefieldella,g__Lawsonella,g__Lawsonibacter,g__Leptotrichia,g__Leuconostoc,g__Ligilactobacillus,g__Limiplasma,g__Limivicinus,g__Limivivens,g__Limosilactobacillus,g__Longibaculum,g__Longicatena,g__Luteibacter,g__Marmoricola,g__Massilia,g__Massilicoli,g__Massiliimalia,g__Massilioclostridium,g__Mediterraneibacter,g__Meiothermus,g__Merdicola,g__Merdisoma,g__Methanobrevibacter,g__Methylobacterium,g__Micrococcus,g__Microvirga,g__Microvirgula,g__Mogibacterium,g__Monoglobus,g__Morganella,g__Murdochiella,g__Muribaculum,g__Muricomes,g__Mycobacterium,g__NSJ-61,g__Nanosynbacter,g__Nanosyncoccus,g__Negativibacillus,g__Neisseria,g__Nemorincola,g__Neobittarella,g__Nesterenkonia,g__Niameybacter,g__Nitrosomonas,g__Nocardioides,g__Novosphingobium,g__Obscuribacter,g__Odoribacter,g__Olegusella,g__Oliverpabstia,g__Onthenecus,g__Onthomonas,g__Oribacterium,g__Paenarthrobacter,g__Palsa,g__Paludicola,g__Parabacteroides,g__Paraburkholderia,g__Paralachnospira,g__Paramuribaculum,g__Parvimonas,g__Pauljensenia,g__Pediococcus,g__Pedobacter,g__Peptidiphaga,g__Peptoniphilus,g__Phascolarctobacterium,g__Phocaeicola,g__Phocea,g__Photobacterium,g__Phycicoccus,g__Pirellula,g__Planktophila,g__Polynucleobacter,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Proteus,g__Pseudaeromonas,g__Pseudobutyricicoccus,g__Pseudoduganella,g__Pseudoflavonifractor,g__Pseudomonas,g__Pseudoruminococcus,g__Psychrobacter,g__Pyramidobacter,g__QAKW01,g__RUG13038,g__RUG13077,g__Ralstonia,g__Reyranella,g__Rhodococcus,g__Roseburia,g__Rothia,g__Rubneribacter,g__Ruminiclostridium,g__Ruminococcus,g__Ruthenibacterium,g__SBAT01,g__SFDB01,g__SFLA01,g__SIO2C1,g__SKOZ01,g__Scatavimonas,g__Scatomonas,g__Sediminibacterium,g__Sellimonas,g__Solirubrobacter,g__Sphingomicrobium,g__Sphingomonas,g__Sphingopyxis,g__Sphingorhabdus,g__Staphylococcus,g__Stercorousia,g__Stoquefichus,g__Streptococcus,g__Sulfurospirillum,g__Tenuibacillus,g__Tepidimonas,g__Terrisporobacter,g__Thermoanaerobacterium,g__Thermophilibacter,g__Tumebacillus,g__Turicibacter,g__Turicimonas,g__UBA10103,g__UBA1179,g__UBA12499,g__UBA1258,g__UBA1259,g__UBA1394,g__UBA1417,g__UBA1573,g__UBA1822,g__UBA5026,g__UBA5905,g__UBA644,g__UBA737,g__UBA738,g__UBA9414,g__UMGS1071,g__UMGS1375,g__UMGS1449,g__Urbifossiella,g__Urinicoccus,g__Vagococcus,g__Veillonella,g__Vermiphilus,g__Vescimonas,g__Vibrio,g__Vitreoscilla,g__WQUU01,g__WRAI01,g__Weissella,g__Xanthomonas,g__Zag
80,0,0,9,0,0,0,0,874,0,0,0,49,0,0,0,0,0,5,3,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,719,73,0,0,46,0,969,0,0,0,31,0,0,0,0,14,0,0,0,0,0,31,0,0,0,8,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,75,54,5,0,0,0,0,0,0,0,0,2,7,0,0,60,45,15,18,0,0,0,10,0,42,8,0,2,0,1144,3595,0,0,0,0,2,0,5,0,0,240,2,0,0,0,0,501,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,57,0,0,8,0,2,3,5,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,19,0,0,0,0,0,8,477,7042,0,0,0,0,0,0,0,22,0,0,0,0,0,11,0,0,0,20,0,0,0,0,0,0,90,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,16,0,0,0,0,0,39,0,32,0,0,0,0,37,0,0
81,0,0,68,0,0,0,0,2607,0,0,4,11,0,0,0,0,0,42,8,0,0,2,0,8779,16,0,0,0,0,0,0,0,0,0,0,232,181,0,2,40,0,7597,0,0,0,0,0,0,2,0,12,0,0,0,0,0,38,0,0,0,23,0,458,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,235,0,0,0,0,0,0,160,62,29,5,0,0,0,0,0,0,0,0,22,0,0,1995,30,36,195,14,0,0,4,21,8,223,0,0,0,15737,7081,0,0,0,0,0,0,40,0,0,2843,6,0,0,0,0,2552,2,0,0,0,0,207,0,0,2,0,0,0,0,0,0,37,0,0,39,0,11,41,1,0,71,0,0,0,54,0,0,0,0,0,0,2,9,0,1071,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,10,0,0,0,0,0,3,6436,3904,4,0,0,0,0,0,0,4,0,0,0,0,0,12,0,2,0,85,0,0,0,0,0,0,366,0,0,0,461,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,115,0,0,0,0,0,29,0,125,0,0,0,0,105,0,0
82,0,0,6,0,0,0,0,1209,0,0,0,188,0,0,0,0,0,11,0,0,0,0,0,4532,65,0,0,0,0,0,0,0,0,0,0,3404,179,0,0,81,0,4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,59,557,17,0,0,0,0,0,0,0,0,0,34,0,0,1068,146,34,26,0,0,0,40,0,37,13,0,0,0,9945,6264,0,0,0,0,0,0,0,0,0,2181,423,0,0,0,0,2430,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,38,0,0,6,0,4,2,37,0,14,0,0,0,30,0,0,0,0,0,0,0,0,0,1804,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,58,3,0,0,0,0,0,2042,35797,15,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,16,0,0,0,0,0,0,101,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,29,0,0,0,0,0,119,0,61,0,0,0,0,22,0,0
84,0,21,36,0,0,0,0,2816,0,0,5,78,0,0,0,0,0,50,39,0,0,2,0,10117,431,2,0,0,0,0,0,0,0,0,0,12409,330,0,280,503,0,9893,0,0,0,0,0,0,11,0,47,0,0,0,0,0,172,0,0,0,44,0,1410,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,0,508,0,0,0,0,0,0,33,2256,7,7,0,21,0,0,0,0,0,0,43,0,0,1095,177,4,59,0,0,0,172,16,168,28,0,0,0,26643,47400,0,0,0,0,0,0,3,0,0,5032,1600,0,0,0,0,5475,0,1,0,0,0,122,2,0,0,5,0,0,0,0,0,1188,0,8,33,0,6,0,148,0,85,0,0,0,317,0,0,2,0,0,0,0,0,0,1299,0,0,154,0,0,11,0,0,4,0,24,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,906,0,0,214,2,0,0,0,0,10,2854,54475,11,0,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,2,0,0,0,34,0,0,845,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,18,0,0,399,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0,115,0,0,0,0,0,449,0,2,0,0,0,0,134,0,0
85,0,0,2,0,0,0,0,991,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,793,633,0,0,0,0,0,0,0,0,0,0,2984,32,0,0,238,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,76,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,25,1061,2,0,0,0,0,0,0,0,0,0,12,0,0,238,82,0,20,0,0,0,137,0,95,20,0,0,0,1446,7010,0,0,0,0,0,0,0,0,0,249,1783,0,0,0,0,1346,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,207,0,12,0,0,0,34,0,0,3,0,0,0,0,0,0,545,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,891,0,0,36,0,0,0,0,0,0,2111,25423,19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,87,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,5,0,0,0,0,16,0,0
87,0,0,2,0,0,0,0,203,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,4805,1174,4,0,0,0,0,0,0,0,0,0,4354,0,0,0,49,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,54,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,53,0,0,0,0,1,0,0,794,0,0,0,0,0,0,0,0,0,0,158,0,0,2,113,0,43,0,0,0,1033,56,0,22,0,0,0,288,1317,0,0,0,0,0,0,0,0,0,29,2476,0,0,0,0,0,0,1,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,95,0,2,0,0,0,0,0,0,40,0,0,0,0,0,2,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,0,0,34,0,0,0,0,0,0,2027,19515,25,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,28,0,0,0,0,0,274,0,0,0,0,0,0,17,0,0
88,0,0,7,0,0,0,0,471,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,5634,2244,31,0,0,0,0,0,0,0,0,0,5949,13,0,0,162,3,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,149,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,396,0,0,0,0,5,0,0,727,3,4,0,0,0,0,0,0,0,0,259,0,0,27,243,0,101,0,0,0,2497,190,2,65,0,0,0,497,4781,0,0,0,0,0,0,0,0,0,66,2042,0,0,0,0,0,0,0,0,0,0,78,3,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,362,0,14,0,0,0,21,0,0,92,0,0,0,0,0,2,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3077,0,0,108,0,2,0,0,0,3,2941,35994,9,0,0,0,0,0,0,16,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,40,0,0,0,0,0,52,0,0,0,0,0,0,46,0,0
89,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,0,4,0,0,0,0,2007,0,0,3,21,0,0,0,0,0,15,4,0,0,0,1,11826,85,0,0,0,0,0,0,0,0,3,0,2228,78,0,126,94,3,11177,0,0,0,0,0,0,6,0,0,0,0,0,0,0,293,0,0,0,423,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,48,14,8,0,0,0,0,0,0,0,3,29,0,0,563,111,0,49,0,0,0,41,0,9,35,0,0,0,12831,15119,0,0,0,0,2,0,0,0,0,2004,148,0,0,0,0,3,0,0,0,0,0,103,2,0,0,2,0,0,0,0,0,108,0,0,72,0,5,0,176,0,66,0,0,0,37,0,0,177,0,0,0,0,0,0,4106,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1317,0,0,157,2,7,0,0,0,0,1222,14990,4,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,290,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,30,0,0,0,0,0,53,0,0,0,0,0,0,89,0,0
91,0,0,2,0,0,0,0,1799,0,0,0,62,0,0,0,0,0,4,0,0,0,4,3,3735,383,9,0,0,0,0,0,0,0,12,0,3700,3,0,66,484,4,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,12,0,173,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1249,0,0,0,0,0,0,1,717,56,3,0,0,0,0,2,0,0,4,62,0,0,855,376,0,38,0,0,0,436,1,11,112,0,0,0,5445,18729,0,0,0,0,4,0,0,0,0,601,161,0,0,0,0,0,5,0,0,0,0,125,8,0,0,2,0,0,0,0,0,45,0,0,34,0,9,0,378,0,37,0,0,0,37,0,0,215,0,0,0,0,0,0,3548,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,12,0,0,0,0,1531,0,0,0,0,20,0,0,0,0,0,0,0,0,2240,0,0,601,0,0,0,0,0,0,2134,33786,6,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,17,0,0,0,0,0,68,0,0,0,0,0,0,909,0,0
96,0,0,10,0,0,0,0,1917,0,0,0,180,0,0,0,0,0,1,0,0,5,0,9,2617,232,6,0,0,0,0,0,0,0,2,0,6552,181,0,15,15,0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,2772,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,2381,0,0,0,0,0,0,0,472,27,0,0,0,0,0,0,0,0,5,17,0,0,271,131,5,20,0,0,0,0,87,43,23,0,0,0,5054,30405,0,0,0,0,2,0,5,0,0,937,32,0,0,0,0,0,2,0,0,0,0,110,0,0,0,0,0,0,0,0,0,24,0,0,33,0,0,6,140,0,174,0,0,0,25,0,0,2,0,0,0,0,0,0,5672,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,833,0,0,694,0,0,0,0,0,0,1246,38777,4,0,0,0,0,0,0,16,0,0,0,0,0,7,0,0,0,2,0,0,0,16,0,0,217,0,0,0,557,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,78,0,0,0,0,0,1462,0,27,0,0,0,0,43,0,0
97,0,0,3,0,0,0,0,1162,0,0,0,87,0,0,0,0,0,2,4,0,2,0,0,2931,54,0,0,0,0,0,0,0,0,0,0,7445,32,0,20,63,0,3896,0,0,0,12,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,38,0,0,0,0,0,0,24,1159,8,0,0,0,0,0,0,0,0,0,3,0,0,208,177,0,18,0,0,0,0,5,53,0,0,0,0,4616,19888,0,0,0,0,0,0,0,0,0,732,9,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,140,0,0,6,0,2,0,40,0,15,0,0,0,36,0,0,3,0,0,0,0,0,0,955,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1711,0,0,184,0,0,0,0,0,0,1618,44738,3,0,0,0,0,0,0,5,0,0,0,0,0,27,0,0,0,0,0,0,0,9,0,0,81,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,8,0,0,0,0,0,141,0,0,0,0,0,0,65,0,0
98,0,0,15,0,0,0,0,1021,0,0,0,111,0,0,0,0,0,1,0,0,0,0,0,2929,199,6,0,0,0,0,0,0,0,0,0,7334,38,0,45,311,0,7187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,8,908,20,0,0,0,0,0,0,0,0,6,10,0,0,405,330,0,24,0,0,0,91,4,17,19,0,0,0,3808,34098,0,0,0,0,0,16,0,0,0,1109,19,0,0,0,0,48,0,6,0,0,0,38,3,0,0,0,0,0,0,0,0,108,0,0,10,0,0,0,210,0,25,0,0,0,52,0,1,3,0,0,0,0,0,0,1625,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,32,0,0,0,0,0,0,0,0,2721,0,2,418,0,0,0,0,0,2,2188,46612,3,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,18,0,0,54,0,0,0,182,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,9,0,0,0,0,0,41,0,6,0,0,0,0,33,0,0
99,0,0,16,0,0,0,0,1327,0,0,0,176,0,0,0,0,0,5,0,0,0,0,0,4934,576,3,0,0,0,0,0,0,0,3,0,6745,11,0,52,159,0,5989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,11,513,25,2,0,0,0,0,0,0,0,0,15,0,0,524,259,0,168,0,0,0,51,12,4,81,0,0,0,5563,30027,0,0,0,0,9,0,0,0,0,386,42,0,0,0,0,143,0,0,0,0,0,99,8,0,0,0,0,0,0,0,0,39,0,3,16,0,0,0,441,0,8,0,0,0,19,0,0,4,0,0,0,0,3,2,2334,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,2529,0,0,824,0,0,0,0,0,2,2813,31511,8,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,0,0,0,492,76,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,28,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,5,0,0,0,0,0,102,0,0,0,0,0,0,40,0,0
100,0,0,7,0,0,0,0,2504,0,0,0,886,0,0,0,0,0,0,3,0,4,0,0,3073,1534,5,0,0,0,0,0,0,0,8,0,20504,0,0,87,498,0,4306,0,0,0,10,0,0,0,0,0,31,0,0,0,0,77,0,0,0,0,0,498,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,175,0,0,0,0,3,0,10,733,50,0,0,0,0,0,0,0,0,3,21,0,0,411,1004,9,69,0,0,0,95,4,301,63,0,0,0,4061,36215,0,0,0,0,6,0,0,0,0,279,199,0,0,0,0,238,0,90,0,0,0,161,8,0,0,0,0,0,0,0,0,361,0,0,7,0,0,0,816,0,10,0,0,0,12,0,0,16,0,0,0,0,0,0,2919,0,0,46,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,5693,0,0,2475,0,0,0,0,0,2,3065,54081,11,0,0,0,0,0,0,47,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,77,0,0,0,324,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,64,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,6,0,0,0,0,0,387,0,8,0,0,0,0,28,0,0
101,0,0,19,0,0,0,0,2619,0,0,0,1560,0,0,0,0,0,20,0,0,12,0,28,2079,5382,36,0,0,0,0,0,0,0,9,0,16279,0,0,214,435,2,8134,0,0,0,0,0,0,2,0,0,25,0,0,0,0,79,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,281,0,0,0,0,3,0,0,84,103,0,2,0,0,0,0,0,0,8,41,0,0,544,1688,0,70,5,0,0,292,56,37,222,0,0,0,4321,26922,0,0,0,0,3,0,0,0,0,343,71,0,0,6,0,262,7,0,0,0,0,202,17,0,1,0,0,0,0,0,0,132,0,0,95,0,5,2,1558,0,34,0,22,0,7,0,0,56,0,0,0,0,5,1,4992,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,0,0,3,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,3869,0,3,4838,0,0,0,0,0,4,5947,41775,22,0,0,0,0,0,0,26,0,11,0,0,0,95,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1100,400,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,0,0,0,22,0,0,0,0,13,0,0,0,0,6,54,0,168,0,0,0,0,47,0,0
102,0,0,6,0,0,0,0,2494,0,0,2,117,0,0,0,0,0,9,6,0,6,0,8,3234,1440,3,0,0,0,0,0,0,0,12,0,3435,0,0,299,152,3,8107,0,0,0,0,0,0,6,0,0,0,0,0,0,0,834,0,0,0,0,0,268,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,44,89,43,7,0,0,0,0,0,0,0,6,31,0,0,828,170,0,317,0,0,0,0,114,10,150,0,0,0,11065,21901,0,0,0,0,7,0,0,0,0,1978,26,0,0,5,0,931,9,0,0,0,0,146,9,0,6,0,0,0,0,0,0,0,0,0,8,0,7,0,190,0,16,0,5,0,0,0,0,95,0,0,0,0,6,1,3039,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2182,0,0,600,3,0,0,0,0,3,1168,22490,4,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,1297,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,9,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0
