"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.06639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02042,0,0,0,0.07003,0.08742,0.03714,0,0,0,0.28115,0,0,0.06553,0.05526,0.4441,0,0,0,0.21649,0.00219,0,0.69868,1.96024,0,0,0,0,5.01599,0,0,0,0,0,0,0,0,0,0,0.00351,0,0,0.01082,5.292,0.66888,0,0,0,0,0.35843,0.04619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.05822,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.00026,0.00188,0,0.01411,0,0,92.40435,0,0,0,0,0,0,0,0,0,0,0,0.08183,0,0.09332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01223,0,0,0,0.11685,0.16219,0.06401,0.10597,0,0,0.58413,0,0,0.42911,0.03159,0.16617,0,0,0,0.07516,0.0398,0,0.81577,1.07257,0,0,0,0,0.66507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05631,0.57451,1.29835,0,0,0,0.04008,0.04486,0.23001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379,0,0,0,0,0,0,0.75541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16602,0,0,0,0,0,0,0,0,0,0,0.00429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03019,0,0,0,0.03931,0,0,0,0.24275,0.01797,0.03338,0,0,0,0.11088,0,0,0.03945,0.03781,0.00732,0,0,0,0.01889,0.0048,0,0.01131,1.32366,0,0,0,0,1.82692,0,0,0,0,0,0,0,0,0,0,0.00737,0,0,0.0039,0.95642,0.39272,0,0,0,0,0.00816,0.03966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03832,0,0,0,0,0,0,0,0,0,0,0,0,0.01712,0,0,0,0,0,0,0,0,0.53689,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6905,0,0,0,0,0,0,0,0,0,0,0,0.07243,0,0.01497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975,0,0,0,0.01748,0.06502,0.04205,0,0,0,0.17834,0,0,0.38336,0.01488,0.04051,0,0,0,0.02012,0,0,0.10543,0.15669,0,0,0,0,1.31032,0.00141,0,0,0,0,0,0,0,0,0,0.00797,0,0,0.02938,2.77595,0.24193,0,0,0,0.00299,0.02164,0.04391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08269,0,0,0,0,0,0.86927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76454,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.55667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00781,0,0,0,0.24496,0.06799,0.03769,0,0,0.17927,0,0,0.02517,0.03923,0,0,0,0,0,0,0,0.03172,0.09314,0,0,0,0,3.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,2.74544,1.38266,0,0,0,0.01805,0.0016,0.06795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80816,0,0
12,0,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0,0,0,0,0,0,0,0.01113,0.0054,0.01384,0,0,0,0,91.15773,0,0,0,0,0,0,0,0,0,0,2.35887,0.14909,0,0.47423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03439,0,0,0,0.03681,0.0044,0.0094,0.01043,0,0,0.20888,0,0,0.20569,0.05026,0.162,0,0,0,0.17905,0.02596,0,0.40013,0.64255,0,0,0,0,0.96697,0.00607,0,0,0,0,0,0,0,0,0,0.02404,0,0,0.03523,0.5492,0.51207,0.00115,0,0,0,0.02307,0.10623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01666,0,0,0,0,0,0,0.79262,0,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0,0,0,0,0.05309,0,0,0,0,0,0,0.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.57706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01313,0,0,0,0.00115,0.13262,0.05886,0.03276,0,0,0.38499,0,0,0.24865,0.03954,0.22432,0,0,0,0.23587,0.02081,0,0.21558,0.45221,0,0,0,0,1.89336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17215,0.46265,1.08798,0,0,0,0.08534,0,0.60973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0398,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.35568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638,0,0,0,0.07744,0.20907,0.10258,0.60005,0,0,0.66616,0,0,0.33437,0.20828,3.69336,0,0,0,0.23777,0.01479,0,0.44057,3.52326,0,0,0,0,0.24434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12844,0.25195,0.68429,0,0,0,0.03481,0.00287,0.62793,0,0,0,0,0,0,0.00314,0,0,0,0,0,0,0,0.00644,0,0,0,0,0,0,0,0.15918,0,0,0,0,0,0,0,0.55913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86548,0.09089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81391,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01121,0,0.00173,0,0,94.23168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05588,0,0,0,0.08153,0.06305,0.03888,0.03879,0,0,0.07989,0,0,0.0863,0.04116,0.20795,0,0,0,0.02662,0.01885,0,0.03164,1.18087,0,0,0,0,0.41188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11777,1.18422,0.87413,0,0,0,0,0.04037,0.14453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09255,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02729,0,0,0,0,0,0,0,0,0,0,0,81.08189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12936,0.00905,0,0,0.13721,0.37806,0.23145,0.04698,0,0,0.94412,0,0,1.05387,0.49206,0.50422,0,0,0,0.26626,0.07628,0,0.63285,2.58095,0,0,0,0,3.23325,0,0,0,0,0,0,0,0,0,0,0.00824,0,0,0.41849,2.87603,2.05968,0,0,0,0.02031,0.11806,0.25789,0,0,0,0,0,0,0,0,0,0,0,0.00828,0,0,0,0.00203,0,0,0,0,0,0,1.06922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32555,0,0
