time,Methanobrevibacter,Actinobaculum,Actinomyces,Schaalia,Alloscardovia,Bifidobacterium,Scardovia,Rothia,Nocardiopsis,Lancefieldella,Collinsella,Eggerthella,Enteroscipio,GGB45432,Gordonibacter,Raoultibacter,Bacteria_unclassified,Bacteroides,Jilunia,Phocaeicola,Coprobacter,Butyricimonas,Odoribacter,Leyella,Paraprevotella,Segatella,Alistipes,Parabacteroides,Candidatus_Saccharibacteria_unclassified,Mammaliicoccus,Staphylococcus,Granulicatella,Enterococcus,Leuconostoc,Weissella,Lactococcus,Streptococcus,GGB2998,GGB9512,GGB2982,GGB3109,GGB3363,GGB3256,GGB41458,GGB9559,GGB9715,GGB58233,GGB55957,Acutalibacter,Hydrogeniiclostridium,Agathobaculum,Clostridiaceae_unclassified,Clostridium,Lactonifactor,Pilosibacter,Anaerofustis,Eubacteriaceae_unclassified,Eubacterium,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,Lentihominibacter,Zhenpiania,Candidatus_Cibionibacter,Eubacteriales_unclassified,Evtepia,Flintibacter,Gemmiger,Intestinimonas,Allofournierella,Brotocaccenecus,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB9699,Hominenteromicrobium,Hominilimicola,Lawsonibacter,Massiliimalia,Merdimmobilis,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Anaerotignum,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Coprococcus,Diplocloster,Dorea,Eisenbergiella,Enterocloster,Faecalicatena,Faecalimonas,Fusicatenibacter,GGB3429,GGB3444,GGB74412,Gallintestinimicrobium,Hominifimenecus,Hominiventricola,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Mediterraneibacter,Oliverpabstia,Roseburia,Sellimonas,Simiaoa,Waltera,Wansuia,Wujia,Mogibacterium,GGB4456,Intestinibacter,Romboutsia,Coprobacillus,Faecalibacillus,Thomasclavelia,Erysipelotrichaceae_unclassified,Holdemanella,Holdemania,Longicatena,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Dialister,Megasphaera,Veillonella,Fusobacterium,Oxalobacter,Parasutterella,Sutterella,GGB6606,Enterobacter,Escherichia,Klebsiella,Haemophilus,Bilophila,Akkermansia
13,0,0,0.00836,0.00199,0,4.0867,0,0,0,0,0.52459,0.04966,0,0,0,0,0,41.1626,0.00148,22.10903,0,0,0,0,3.41813,0,0.11981,1.13365,0.03113,0,0,0.0015,0,0,0,0,0.04232,0,0,0,0,0.00146,0,0.03443,0,0,0,0,0,0,0.11625,0.4592,2.38735,0,0,0,0,0.05911,0.00309,0,0,0.05269,0,0,0,0,0,0,0,0,0.02114,0.07452,0,0,0,0,0,0,0,0,0.00083,0,0,0,0,0,0.00011,0.95363,5.31754,0.00846,4.24041,0.25019,0,1.93341,0,0.00576,0,0.15852,0.30662,0,0,0,0,0,0.00244,0,0,0,0,1.58345,0,0.00148,0,0,0,0,0,0.00196,0,0,0,0.00218,0.59048,0,0,0,0,0,0,0,0,1.41989,0.02046,0,0,0,3.79411,0,0.16348,3.21953,0,0,0.03145,0,0,0.09343,0
14,0,0,0.01,0.00148,0,4.50259,0,0,0,0,0.95473,1.39633,0,0,0,0,0.04398,36.94123,0.00676,4.936,0.41369,0.08033,0.01565,0,2.75185,0,1.14513,1.09174,0.02592,0,0,0.00037,0,0,0,0,0.09815,0,0.2154,0.01553,0,0,0.14746,0.10822,0.05445,0.00879,0,0.01954,0,0,1.01342,0.29719,3.19136,0,0.03769,0.0012,0,0.5812,0.00057,0.01213,0,0.41089,0.10231,0.28859,0.0253,0,0.00476,0.00359,0.00099,0.04382,1.01168,0.52583,0,0.00596,0.00267,0.01718,0,0.00472,0.33481,0,0.00702,0,1.88677,0.03508,0.00468,0.55158,0.00266,1.94286,7.52228,0.28272,9.33683,1.30037,0,4.62836,0,0.08255,0.00593,0.20213,1.22834,0,0,0,0.00539,0,0.11965,0,0.03505,0,0.0436,1.74988,0,0.06128,0,0,0.13415,0.00392,0,0.00047,0,0,0,0.00416,1.10042,0,0.00153,0,0.03022,0.00154,0.00123,0,0,1.72431,0.00564,0,0,0,1.00053,0,0.20342,0.95334,0,0,0.00966,0,0,0.88725,0
15,0,0,0.03658,0.01316,0,3.39848,0,0,0,0,0.90588,0.28453,0,0,0,0,0.00028,35.73869,0.00304,18.79801,0.00977,0.00853,0,0,3.2484,0,0.2152,1.02384,0.01985,0,0,0.00194,0,0,0.0197,0,0.0866,0,0.0539,0,0.00623,0.00099,0.01637,0.03036,0.00246,0,0,0,0,0,0.56469,0.28636,1.89117,0,0.00175,0,0,0.31816,0.00152,0,0,0.12156,0.00067,0.01259,0,0,0,0,0,0.00084,0.46966,0.11446,0,0,0,0,0,0,0.00417,0,0,0,0.0927,0,0,0.05466,0,0.96801,5.74088,0.07278,6.25692,0.45045,0,2.02867,0,0.00595,0,0.54093,0.56589,0,0,0.0077,0,0,0.01179,0.13057,0,0,0.0103,1.6771,0,0.05257,0,0,0.01094,0,0,0.00306,0.00181,0.02549,0,0.38674,0.80658,0,0,0,0,0,0.00056,0,0,1.26389,0.01805,0.0022,0,0,9.41985,0,0.17199,1.32142,0,0,0.00921,0,0,0.17995,0
16,0,0,0.01818,0,0,10.7722,0,0,0,0,1.14659,2.18079,0,0,0,0.01229,0.07281,18.00154,0.00223,3.29163,0.03303,0,0,0,2.13427,0.02128,0.27785,1.86846,0.00363,0,0,0,0,0,0.00228,0,0.23816,0,0.1347,0.00697,0,0.00572,0.83298,0.0864,0.07639,0.00509,0,0.02754,0,0,1.93189,0.60495,2.93083,0.00804,0.02311,0.00024,0,0.91314,0,0.03493,0,0.37325,0.43839,0.2947,0.03544,0.0047,0,0.03518,0,0.02111,1.08507,1.0494,0,0.01187,0.10758,0.15712,0.01224,0.02329,0.12178,0.00142,0.00202,0,1.4139,0.01903,0,0.26256,0.01993,1.97602,13.27472,0.16214,12.09757,1.65192,0,6.59559,0,0.11845,0.00958,0.33279,2.8045,0,0.00039,0,0.02326,0,0.0579,0.02388,0.03206,0,0.06864,2.72756,0,0.14558,0.03209,0,0.03663,0.01536,0,0,0,0.0488,0,0.01131,0.90726,0.00348,0.00184,0,0.0164,0.00335,0,0,0,2.17309,0.01051,0.01535,0,0,0.18057,0,0.1069,0.44576,0,0,0.00818,0.0027,0,0.68773,0
17,0,0,0.02954,0,0.00996,13.32822,0.00221,0,0,0.00821,1.92925,1.30186,0,0,0,0,0.03455,11.32493,0,4.41365,0,0,0,0,1.29833,0.02657,0.02155,7.27932,0.0079,0.00327,0.01152,0.00505,0,0,0,0.0018,1.16659,0,0.09119,0,0,0,0.15533,0.13806,0.02257,0,0,0,0,0,0.95338,1.28234,1.93804,0,0.00981,0,0,0.05544,0,0.00056,0,0.21984,0.07189,0.00051,0,0,0,0.3752,0,0.00321,0.94606,0.62897,0,0.01428,0.106,0.00096,0,0,0.00149,0,0,0,0.00539,0,0,0.02019,0.00547,1.31779,8.11641,0.37773,11.38958,1.85325,0,5.40904,0,0.01668,0,1.35829,8.05213,0,0,0.00015,0.00954,0,0.0049,0,0.00019,0,0.05921,3.52745,8e-04,0.06558,0.00691,0.00026,0.00095,0.00795,0,0,0,0,0.00043,0,2.55486,0,0.00398,0,0,0,0.00533,0,0,3.9039,0.02139,0.00142,0,0.00457,2.31215,0,0.1515,0.10723,0,0,0.04552,0.00046,0,0.06207,0
18,0,0,0.00525,0,0,7.11592,0,0,0,0,1.23037,0.86949,0.0262,0,0.02005,0.05118,0.07026,29.82227,0.00551,3.23752,0.04807,0.08056,0.05484,0.00105,1.63843,0.03145,3.05755,3.70309,0,0,0,0,0,0,0,0,0.05222,0.01844,0.10471,0.04047,0,0.01889,0.59743,0.09758,0.03906,0.41185,0.00172,0.00251,0,0.00198,1.46955,0.34447,1.75003,0.01472,0.01536,0.02266,0.05013,0.40142,0,0.04994,0.00729,0.40798,0.18675,0.25999,0.03336,0.00155,0,0.15976,0.01182,0.21088,2.8952,0.39424,0.00514,0.89237,0.33684,0.03244,0.03165,0.01499,0.38077,0.24706,0.00032,0.01067,1.71379,0.09051,0.03376,0.23075,0.01176,1.77465,6.27322,0.43674,9.8501,0.97331,0.00952,3.40114,0.00011,0.11329,0.00837,0.20885,3.86004,0.00454,0,0.00027,0.07215,0.00087,0.10242,0.01565,0.04682,0,0.19354,1.69723,0.00123,0.37496,0.01069,0,0.14978,0.02033,0,0,0,0,0,0,1.40777,0.00243,0.00231,0,0.03699,0,0,0,0,1.97118,0.02042,0.0135,0,0,0.5004,0.01456,0.07881,0.72431,0,0,0.00727,0,0,0.44434,0
19,0,0.0018,0.07839,0.00381,0.00044,22.61674,0,0.00347,0,0.00104,1.6635,0.11152,0,0,0,0,0,7.82528,0,11.0037,0,0,0,0,2.46324,0.01961,0.04646,2.85613,0.00481,0,0,0.00353,0,0,0.00136,0,0.48982,0,0,0,0,0,0.14177,0.08032,0.0046,0.00211,0,0,0,0,0.83567,0.19004,2.22316,0,0.0056,0,0,0.10094,0,0,0,0.54084,0,0,0,0,0,0.01856,0,0,1.04389,0.00255,0,0.03068,0.01748,0,0,0,0.00034,0.00097,0,0,0.16365,0,0,0,0.00714,1.05473,8.453,0.26026,13.28948,0.62646,0,2.44781,0,0,0,0.32029,12.61199,0,0,0,0.00326,0,0.00772,0.00417,0,0,0.02465,0.8961,0,0.03213,0,0,0,0,0,0,0,0,0.85126,0.0192,2.11015,0,0,0,0,0,0.00084,0,0,0.72841,0.01639,0,0,0.00285,1.51019,0,0.07323,0.01239,0,0,0.01294,0,0,0.02511,0
20,0,0,0.02556,0.01166,0,14.09399,0,0,0,0,1.36488,0.50839,0,0,0,0,0.0106,19.5837,0,4.27534,0,0,0,0,3.76158,0.00319,0.22077,4.02399,0,0,0,0.00963,0,0,0,0,0.71631,0,0.02237,0,0,0,0.08698,0.14501,0.01229,0,0,0,0,0,2.27582,0.22228,3.03257,0,0.03839,0,0,0.31063,0,0,0,0.53989,0.0065,0.00283,0,0.00437,0,0.03986,0,0.00356,3.77777,0.08282,0,0.19902,0.05459,0,0,0,0.00495,0.00323,0,0,0.00062,0,0.00012,0.01472,0.01211,1.13792,7.85741,0.27872,14.91793,1.11003,0,3.17924,0,0.00487,0.00654,0.08509,6.11068,0.00124,0,0,0.00857,0,0.02715,0.01625,0,0,0.08511,0.98427,0,0.10446,0.00079,0,0.0179,0,0,0.00032,0,0,0.00115,0.09948,1.30024,0,0,0,0,0,0.0028,0,0,2.09809,0.02762,0.00943,0,0.00739,0.32931,0.0053,0.26373,0.23974,0,0,0.00862,0,0,0.16964,0
21,0,0,0.005,0,0,7.29021,0,0,0,0,1.36429,0.56536,0.00277,0,0.00608,0.0097,0.02562,34.32121,0.00081,4.17193,0.01175,0.01647,0.0085,0,3.07466,0.04672,1.35013,3.01875,0,0,0,0,0,0,0,0,0.21573,0,0.02564,0,0,0,0.76978,0.10495,0.0451,0.37093,0.00012,0,0,0,1.32429,0.1709,1.39708,0.01082,0.03812,0,0.00562,0.60141,0,0.00824,0,1.27099,0.02074,0.07472,0.01807,0,0,0.14407,0.00085,0.07195,4.857,0.12151,0.00114,1.68402,0.52334,0.00247,0.00261,0.00086,0.4974,0.06489,0,0,2.02092,0.0153,0.03811,0.11725,0.00963,0.9766,3.97975,0.57198,7.61165,1.3621,0,2.36091,0,0.03037,0,0.03779,3.98991,0.01945,0,0,0.0537,0.00012,0.07493,0.01206,0.01227,0,0.17302,1.4532,0,0.77271,0.00092,0,0.53326,0.011,0,0.00038,0,0,0,0.01513,1.11721,0,0,0,0.00738,0,0,0,0,2.11077,0.03489,0.00359,0,0.00594,0.14039,0.01895,0.07614,0.29577,0,0,0.00627,0,0,0.19291,0
22,0,0,0.00699,0,0,16.49579,0,0,0,0,1.46736,0.91929,0.00496,0.00239,0.01224,0.03783,0.06521,21.17033,0,2.17636,0.02086,0.00563,0,0,4.46996,0.00915,1.37129,1.62681,0,0,0,0,0,0,0,0,0.46131,0,5e-04,0.00672,0,0,0.44049,0.12708,0.08042,0.37758,6e-04,0,0,0,1.37639,0.13763,1.75395,0.0076,0.03028,0.00097,0.01467,0.66054,0,0.00794,0,1.93093,0.01919,0.03545,0.02304,0,0,0.07702,0,0.21852,6.21434,0.14685,0.00477,3.96888,0.55421,0.00767,0.00303,0,0.72812,0.12999,0.00312,0,3.62299,0,0.03055,0.05298,0,0.91973,4.05765,0.47828,6.428,0.68591,0,2.18651,0,0.04017,0,0,4.68446,0,0.00077,0,0.10506,0.00275,0.07034,0.03378,0,0,0.07891,1.02314,0,1.39344,9e-04,0,0.61451,0.0101,0,0,0,0,0,0.02295,0.20984,0,0.0016,0,0.00677,0,0,0,0,2.13894,0,0,0,0.18503,0.02509,0.03021,0.14481,1.08497,0,0,0,0,0.05338,0.16323,0
23,0,0,0.0232,0.01046,0,23.19116,0,0,0,0,2.97372,0.26226,0,0,0,0,0.00298,11.57512,0,3.96625,0,0,0,0,3.45949,0.00769,0.15058,0.88276,0,0,0,0,0,0,0,0,0.20607,0,0,0,0,0,0.34821,0.11763,0.0333,0.07983,0,0,0,0,1.08995,0.0826,1.14896,0,0.06104,0,0,4.04955,0.00052,0,0,1.88781,0,0,0,0,0,0.03004,0,0.03015,9.40266,0.02012,0,0.45066,0.20267,0,0,0,0.05801,0.00522,0,0,1.18873,0,0.00181,0.00344,0.01037,0.94045,5.18192,1.04513,5.69511,0.92796,0,1.50365,0,0,0,0,11.19962,0,0,0.00239,0.0663,0.00115,0.05278,0,0,0,0.09641,1.32795,0,0.78738,0,0,0.21898,0,0,0.00098,0,0,0,0,1.53507,0,0,0,0,0,0,0,0,0.80635,0.03093,0.00301,0,0.03293,0.00812,0.00098,0.12209,1.37755,0,0,0.00744,0,0.01049,0.00012,0.00179
24,0,0,0.01952,0.01209,0,14.20729,0,0,0,0,0.88091,0.17752,0,0,0,0,0.00053,22.12048,0,4.76011,0,0,0,0,2.92334,0.04868,0.02796,2.26015,0.00179,0,0,0,0,0,0,0,0.4895,0,0,0,0,0,0.27131,0.14427,0.01676,0.01463,0,0,0,0,0.93401,0.09873,1.2321,0,0.0802,0,0,4.99458,0,0,0,0.99087,0,0,0,0,0,0.00221,0,0.00275,9.75713,0.02955,0,0.14993,0.23703,0,7e-05,0,0.00296,0,0,0,0.00185,0,0,0.02553,0.01921,1.31305,4.33627,0.58383,8.45069,1.44181,0,1.9068,0,0,0,0,6.77421,0,0,0,0.11663,0,0.08187,0,0,0,0.07507,1.53298,0,0.82513,0,0.00074,0.07053,0,0,0,0,0,0,0.01804,1.21743,0,0.00326,0,0,0,0,0,0,1.10791,0.03733,0.00359,0,0.00263,0.11096,0,0.21843,2.61747,0,0.09176,0.03138,0.09463,0,0,0
25,0,0.00061,0.07803,0.01729,0,21.3063,0,0,0.00021,0.00034,1.25413,0.1182,0,0,0,0,0,12.85019,0,6.46563,0,0,0,0,2.11651,0.04996,0.02359,1.27422,0.00188,0,0,0,0,0.01278,0,0,0.36821,0,0,0,0,0,0.26366,0.07251,0.00188,0.00044,0,0,0,0,1.1771,0.05774,3.26561,0,0.05945,0,0,0.64452,0,0,0,0.81284,0,0,0,0.00117,0,0,0.00012,0.00041,6.06627,0.00848,0,0.06152,0.1044,0,0.00288,0,0.00188,0.00313,0,0,0.01461,0,0,0.00205,0.01952,2.0774,5.46074,0.51388,11.52386,1.26125,0,2.32054,0,0,0.00569,0,10.89195,0,0,0.00428,0.03819,0,0.03156,0,0,0,0.0444,1.5087,0,0.28146,0,6e-04,0.01254,0,0,0.00019,0.00576,0.0092,0.31435,0,2.58857,0,0,3e-04,0,0,0,0,0.00769,0.96784,0.02623,0.00958,0.00721,0.01932,0.72021,0,0.23094,0.51393,0,0,0.00747,0.00595,0.00699,9e-04,0
