"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
0,0,0,0,0,0,0,0,0,0.03894,0,0,0,0,0,0,0,0,0,0,0.05536,0,0,0,0,0,0,0,0,81.37673,0,0,0,0,0,3.75436,0,0,0,0,0,4.52087,0,1.52523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03418,0,0,0.08949,0,0.77895,0,0,0.05866,0.07608,0,0,0.02988,0,0,0,0,0,3.21484,0,0,0,0.56748,0,0,0,0,0,0,0,0,0,0,1.86118,0,0.00284,0,0,0,0.14692,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863,0,0,0,0,0,0,0.44675,0,0.03212,0,0,0,0,0,0,0,0,0,0,0.14952,0,0,0,0,0.01075,0,0,0,0,0,0,0,0.0143,0,0,0,0,0,0,0,0,0,0,0,0.04776,0.07583,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.44137,0,0,0,0,0,0,0,0,0,0,0.02989,0,0,0,0,0,0,0,0,79.23052,0,0,0,0,0,2.44911,0,0,0,0,0,5.75867,0,1.19517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01742,0,0,0,0.021,0,0,0,0,0,0,0,0,0,1.17827,0,0,0.3634,0,0.18215,0,0,0.13381,0.10987,0.04099,0,0.08233,0,0,0.0991,0,0,0.35633,0,0,0,0.74231,0,0,0,0,0,0,0.00091,0,0,0,6.5721,0.00651,0,0,0,0,0.26718,0,0,0,0,0,0,0,0,0,0,0,0.07066,0,0,0,0,0.39772,0,0,0,0,0,0,0.01903,0,0.12003,0,0,0,0,0,0,0,0,0,0,0.03118,0,0,0,0,0,0,0,0,0,0,0,0,0.0234,0,0,0,0,0,0,0,0,0,0,0,0,0.05958,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.16281,0,0,0,0,0,2.50718,0,0,0,0,0,4.9587,0,0.73849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09733,0,0.42165,0,0,0.04023,0.21223,0,0,0.03096,0,0,3.49637,0,0,7.12397,0,0,0,0.99275,0,0,0,0,0,0,0,0,0,0,15.16904,0,0,0,0,0,0.79881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03236,0,0,0,1.90842,0,0,0,0,0,0,0,0,0,0,0.12509,0,0,0,0,0,0,0,0,0,0,0,0,0.01299,0,0,0,0,0,0,0,0,0,0,0,0,0.12978,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0.01466,0,0,0,0,0,0,0.03455,0,0,0,0.00462,0,0,0,0,0,0,0,0,51.09044,0,0,0,0,0,2.22866,0,0,0,0,0,4.51196,0,1.04182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16618,0,0,0,0.03915,0,0,0,0,0,0,0,0,0,5.35145,0,0,0.13672,0,0.7614,0,0,0.069,0.0661,0,0,0.07603,0,0,0.28136,0,0,7.49297,0,0,0,1.03306,0,0,0,0,0,0,0,0,0,0,18.65519,0.00667,0,0,0,0.59154,1.63845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24709,0,0,0,0,0.00714,0,0.06255,0,3.94603,0,0,0,0,0,0,0,0,0,0,0.0649,0,0,0,0,0.01057,0,0,0.03405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33569,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0.02347,0,0,0.00234,0,0,0,0,0,55.59677,0,0,0,0,0,0.45915,0,0,0,0,0,3.82746,0,1.06519,0,0,0,0,0,0,0,0,0,0,0.03499,0,0,0,0,0,0,0,0,0,0.02726,0,0,0,0,0,0,0.00228,0,0,2.47808,0,0,0.1272,0,0.90393,0,0,0.05928,0.25674,0,0,0.03824,0,2.8894,0.67315,0,0,19.59889,0,0,0,0.33776,0,0,0,0,0,0,0.05556,0,0,0,9.79199,0.01953,0,0,0,0.10774,1.01252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945,0.03443,0,0,0,0,0,0,0.23401,0,0.03323,0,0,0,0,0,0,0,0,0,0,0.03788,0,0,0,0,0.00783,0,0,0,0,0,0,0,0.06118,0,0,0,0,0,0,0,0,0,0,0,0,0.01977,0,0,0,0,0,0,0,0,0.15833,0,0
10,0,0,0,0,0,0,0,0,0.21658,0,0,0,0,0,0,0,0,0,0,0.03119,0,0,0,0,0,0,0,0,66.37179,0,0,0,0,0,1.93971,0,0,0,0,0,4.85872,0,2.51447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31685,0,0,0.60564,0,1.47203,0,0,0.08202,0.40152,0,0,0.14302,0,0.33894,0.89166,0,0,2.21234,0,0,0,1.30718,0,0,0,0,0,0,0.00842,0,0,0,4.62393,0,0.00267,0,0,0.3172,4.51004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11056,0,0,0,0,0,0,0.02662,0,0.03845,0,0,0,0,0,0,0,0,0,0,0.11585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03554,0.01005,0,0,0,0,0,0,0,0,0.49702,0,0
12,0,0,0,0,0,0,0,0,0.15763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.25523,0,0,0,0,0,0.059,0,0,0,0,0,0.00284,0,1.04255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05275,0,0,0,0,0,0,0,0,0,0,0,0,0.03447,0,0.0102,0,0,0,0,0,0,0,0.07838,0,0.47856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00574,0,0,0,3.64672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04696,0,0,0,0.05006,0,0,0,0,0,0,0,0,0,0,0.06199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01693,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,3.98276,0,0,0,0,0,0,0,0,0,0,0.02803,0,0,0,0,0,0,0,0,47.75214,0,0,0,0,0,0.02183,0,0,0,0,0,0.31689,0,2.73523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24349,0,0,0,0,0,0,0,0,0,0,0,0,2.62194,0,1.55791,0,0,0.03497,0,0,0,0,0.50373,0,5.76041,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02883,0,0,0,32.07942,0.16196,0,0,0,0.00847,0,0,0,0,0,0,0,0,0.03857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,1.37649,0,0,0,0,0,0,0,0,0,0,0.05324,0,0,0,0,0,0,0,0,60.88353,0,0,0,0,0,0.14961,0,0,0,0,0,0.51677,0,2.14211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39021,0,0,0.24238,0,0.16052,0,0,0.61718,0.11976,0,0,0.55698,0,0,8.69087,0,0,0,0,0,0,0,0,0,0,0,0.01625,0,0.04868,0,0,0,21.74598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08288,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0.05166,0,0,0,0,0,0,0,0,0,0,0.05944,0,0,0,0,0,0,0,0,56.49462,0,0,0,0,0,2.80876,0,0,0,0,0.00033,12.83153,0,2.62476,0,0,0,0,0,0,0,0,0,0,0.00709,0,0,0,0,0,0,0,0,0,0.13076,0,0,0,0,0,0,0,0,0,0.50002,0,0,0.0371,0,0.05388,0,0,0.14961,0.0503,0.00635,0,0.16277,0,2.34199,7.29273,0,0,4.09024,0,0,0,0,0,0,0,0,0,0,0.06901,0,0,0,8.43927,0.15645,0,0,0,0.06967,0.37279,0.07045,0,0,0,0,0,0,0,0,0,0,0,0.01117,0,0,0,0.56808,0,0,0,0,0.02813,0,0.02397,0,0.14268,0,0,0,0,0,0,0,0,0,0,0.15897,0,0,0,0,0.02444,0,0,0,0,0.09265,0,0,0.03526,0,0,0,0,0,0,0,0,0,0,0,0,0.04305,0,0,0,0,0,0,0,0,0,0,0
