"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
0,0,0,0,0,0,0,0,0,0.06575,0,0,0,0,0,0,0,0,0,0,0.05362,0,0,0,0,0,0,0,0,70.07973,0,0,0,0,0,2.78847,0,0,0,0,0,13.86025,0,1.68897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04605,0,0,0,0,0.2418,0,0,0,0,0.56908,0,0,0.16816,0,0.05252,0,0,0.05313,0,0,0,0.19157,0,1.14376,0.1546,0,0,0.87094,0,0,0,0,0,0,0,0,0,0,0.06381,0,0,0,2.606,0.10351,0,0,0,0,4.07464,0.04726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70104,0,0,0,0,0,0,0.04672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.04196,0,0,0,0,0,0,0,0,0,0,0.20691,0,0,0,0,0,0,0,0,50.50152,0,0,0,0,0,1.92656,0,0,0,0,0,12.4966,0,2.84545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6871,0,0,0,0,0.42894,0,0,0,0,5.09189,0,0,0.11244,0,0.09578,0,0,0.31823,0,0,0,0.4566,0.00239,1.64285,0.62385,0,0,1.58705,0,0,0,0,0,0,0,0,0,0,0.02367,0,0.05604,0,13.83559,0.24302,0,0,0.03544,0.00098,5.31395,0.33596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61052,0,0,0,0,0,0,0.47515,0,0,0,0,0,0,0,0,0,0,0.00357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11915,0,0,0,0,0,0,0,0,48.95938,0,0,0,0,0,2.46303,0,0,0,0,0,17.77638,0,2.37721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01859,0,0,0,0,0.50545,0,0.08941,0,0,1.89497,0,0,0.10508,0,0.05367,0,0,0.14533,0,0,0,0.44735,0,1.97665,0.2726,0,0,1.5016,0,0,0,0,0,0,0,0,0,0,0.05503,0,0.01034,0,10.61713,0.02428,0,0,0,0,6.66369,0.6593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47122,0,0,0,0,0,0,0.77975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259,0.13987,0,0,0,0,0,0,0,0,54.00237,0,0,0,0,0,2.64536,0,0,0,0,0,16.1703,0,0.90209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94987,0,0,0,0,0.53545,0,0.0637,0,0,1.94408,0,0,0.06706,0,0.10284,0,0,0.33869,0,0,0,1.95545,0,2.44771,0.44711,0,0,0.45982,0,0,0,0,0,0,0,0,0,0,0.02736,0,0.00347,0,6.01958,0.07119,0,0,0,0,3.77026,0.1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88008,0,0,0,0,0,0,1.03035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01887,0,0,0,0,0,0,0,0.64273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421,0,2.15104,0,0
8,0,0,0,0,0,0,0,0,0.01135,0,0,0,0,0,0,0,0,0,0.00059,0.00473,0,0,0,0,0,0,0,0,55.96423,0,0,0,0,0,5.09791,0,0,0,0,0,18.47514,0,1.68394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66435,0.30904,0,0,0,0.4715,0.00339,0.02138,0,0,1.70788,0,0,0.05397,0,0.094,0,0,0.07995,0,0,0,0.51375,0,2.21753,0.0581,0,0,0.12818,0,0,0,0,0,0,0,0,0,0,0.05042,0,0.00369,0,4.30115,0.02412,0,0,0.00508,0,2.35611,0.20754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4469,0,0,0,0,0,0,0.83164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613,0,0,0,0,0,0,0,0.91005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02817,0,1.26806,0,0
10,0,0,0,0,0,0,0,0,0.01484,0,0,0,0,0,0,0,0,0,0.00801,0.14629,0,0,0,0,0,0,0,0,50.64407,0,0,0,0,0,3.3811,0,0,0,0,0,18.03803,0,1.1366,0,0,0,0,0,0,0,0,0,0,0.00722,0,0,0,0,0,0,0,0,0,1.04286,0,0,0,0,0.95659,0.00487,0.05253,0,0,1.61784,0,0,0.03468,0,0.12641,0,0,0.2392,0,0,0,0.64744,0,2.02963,0.71256,0,0,0.37319,0,0,0,0,0,0,0,0,0,0,0,0,0.00607,0,4.15396,0.0833,0,0,0.00693,0,5.68663,0.20313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26536,0,0,0,0,0,0,1.3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02856,0,2.73327,0,0
14,0,0,0,0,0,0,0,0,0.14105,0,0,0,0,0,0,0,0,0,0,0.0783,0,0,0,0,0,0,0,0,62.59663,0,0,0,0,0,2.32585,0,0,0,0,0,13.13869,0,1.52527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13779,0,0,0,0,0.08432,0,0,0,0,1.62189,0,0,0.20835,0,0.06299,0,0,0.20131,0.00706,0,0,0.46969,0,2.54656,2.3528,0,0,1.66121,0,0,0,0,0,0,0,0,0,0,0.08587,0,0.0132,0,1.87383,0.0064,0.00975,0,0,0,7.71046,0.02448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47677,0,0,0,0,0,0,0.14946,0,0,0,0,0,0,0,0,0,0,0,0.358,0,0.01064,0,0,0,0.00164,0,0,0,0,0,0,0,0.05501,0,0,0,0,0,0,0,0,0,0,0,0,0.01484,0,0,0,0.02637,0,0,0,0,0.02353,0,0
16,0,0,0,0,0,0,0,0,0.40651,0,0,0,0,0,0,0,0,0,0.03374,0.28514,0,0,0,0,0,0,0,0,46.79534,0,0,0,0,0,5.78871,0,0,0,0,0,12.73248,0,1.38726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47269,0,0.0266,0,0,2.41508,0,0,0.99255,0,0.73739,0,0,0.24129,0,0,0,0.84039,0,0.51689,2.57506,0,0,0.868,0,0,0,0,0,0,0,0,0,0,0.02272,0,0.09404,0.02118,6.42325,0.16789,0.012,0,0,0,7.0771,0.30155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36755,0,0,0,0,0,0,1.41929,0,0,0,0,0,0,0,0,0,0,0,1.29906,0,0.00942,0,0,0,0.03875,0,0,0,0,0,0,0.02851,1.35791,0.12902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878,0,0,0,0,0.02786,0,0
18,0,0,0,0,0,0,0,0,0.48636,0,0,0,0,0,0,0,0,0,0.0192,0.10444,0,0,0,0,0,0,0,0,63.09668,0,0,0,0,0,2.64402,0,0,0,0,0,12.07192,0,1.52704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142,0,0,0,0,0.17453,0,0,0,0,2.12699,0,0,0.22309,0,0.4871,0,0,0.59829,0,0,0,0.68658,0.0148,1.55418,0.23747,0,0,0.90738,0,0,0,0,0,0,0,0,0,0,0.17396,0,0.02257,0.02261,2.63308,0.00856,0.02994,0,0,0.00638,8.049,0.13152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32664,0,0,0,0,0,0,0.57678,0,0,0,0,0,0,0,0,0,0,0,0.75761,0,0.02828,0,0,0,0.0103,0,0,0,0,0,0,0.00134,0.20591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04612,0,0,0,0,0.0079,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03275,0,0,0,0,0,0,0,0,74.50641,0,0,0,0,0,2.20671,0,0,0,0,0,15.1773,0,1.86903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119,0,0,0,0,0.31848,0,0,0.12693,0,0.2006,0,0,0.29127,0.00683,0,0,0.68885,0.00139,0,0.02694,0,0,1.19581,0,0,0,0,0,0,0,0,0,0,0.07153,0,0,0,2.50467,0.12606,0,0,0,0,0,0.07884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304,0.26017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883,0,0,0,0.02504,0,0,0,0,0,0,0
