"time","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__02d06","g__1-68","g__5-7N15","g__Achromobacter","g__Acidaminococcus","g__Acinetobacter","g__Actinobacillus","g__Actinomyces","g__Adlercreutzia","g__Aerococcus","g__Aggregatibacter","g__Agrobacterium","g__Agrococcus","g__Akkermansia","g__Alcanivorax","g__Alicyclobacillus","g__Alistipes","g__Alkalimonas","g__Alkaliphilus","g__Allobaculum","g__Amycolatopsis","g__Anaerobacillus","g__Anaerococcus","g__Anaerofustis","g__Anaerostipes","g__Anaerotruncus","g__Anaerovorax","g__Anoxybacillus","g__Aquabacterium","g__Arcanobacterium","g__Arcobacter","g__Arthrobacter","g__Asticcacaulis","g__Atopobium","g__Azospirillum","g__Bacillus","g__Bacteroides","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Brevibacterium","g__Brevundimonas","g__Brochothrix","g__Bulleidia","g__Burkholderia","g__Butyricimonas","g__Butyrivibrio","g__Caloramator","g__Campylobacter","g__Cardiobacterium","g__Carnobacterium","g__Catenibacterium","g__cc_115","g__Cellvibrio","g__Cetobacterium","g__CF231","g__Chitinophaga","g__Christensenella","g__Chryseobacterium","g__Citrobacter","g__Cloacibacillus","g__Cloacibacterium","g__Clostridium","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprococcus","g__Corynebacterium","g__Crenothrix","g__Cronobacter","g__Cupriavidus","g__Cytophaga","g__Dechloromonas","g__Dehalobacterium","g__Deinococcus","g__Delftia","g__Dermacoccus","g__Desulfovibrio","g__Dialister","g__Dietzia","g__Dorea","g__Dyadobacter","g__Eggerthella","g__Eikenella","g__Enhydrobacter","g__Enterobacter","g__Enterococcus","g__Epulopiscium","g__Erwinia","g__Escherichia","g__Exiguobacterium","g__Facklamia","g__Faecalibacterium","g__Filifactor","g__Finegoldia","g__Flavobacterium","g__Fluviicola","g__Frigoribacterium","g__Fructobacillus","g__Fusobacterium","g__Gallicola","g__Gemella","g__Geobacillus","g__Gordonia","g__Granulicatella","g__Haemophilus","g__Helcococcus","g__Holdemania","g__Hydrogenophaga","g__Hyphomicrobium","g__Janthinobacterium","g__Jeotgalicoccus","g__Jonquetella","g__Kingella","g__Klebsiella","g__Kocuria","g__Lachnobacterium","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leucobacter","g__Leuconostoc","g__Luteimonas","g__Lutispora","g__Lysinibacillus","g__Lysobacter","g__Macrococcus","g__Megamonas","g__Megasphaera","g__Methanobrevibacter","g__Methanosphaera","g__Methylibium","g__Methylobacterium","g__Methylopila","g__Methylosinus","g__Microbacterium","g__Micrococcus","g__Microvirgula","g__Mitsuokella","g__Mobiluncus","g__Mogibacterium","g__Morganella","g__Moryella","g__Mucispirillum","g__Mycoplana","g__Mycoplasma","g__Myroides","g__Neisseria","g__Novosphingobium","g__Ochrobactrum","g__Odoribacter","g__Oligella","g__Oribacterium","g__Oscillospira","g__Oxalobacter","g__p-75-a5","g__Paenibacillus","g__Pantoea","g__Parabacteroides","g__Paracoccus","g__Paraprevotella","g__Parvimonas","g__Paucibacter","g__Pediococcus","g__Pedobacter","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcus","g__ph2","g__Phascolarctobacterium","g__Planomicrobium","g__Porphyromonas","g__Prevotella","g__Proteus","g__PSB-M-3","g__Pseudobutyrivibrio","g__Pseudomonas","g__Pseudoramibacter_Eubacterium","g__Psychrobacter","g__Pyramidobacter","g__Ralstonia","g__rc4-4","g__RFN20","g__Rhizobium","g__Rhodoplanes","g__Roseburia","g__Roseomonas","g__Rothia","g__Rubellimicrobium","g__Ruminococcus","g__Salinicoccus","g__Salmonella","g__Scardovia","g__Schwartzia","g__Sedimentibacter","g__Sediminibacterium","g__Selenomonas","g__Serratia","g__Sharpea","g__Shewanella","g__Shuttleworthia","g__Slackia","g__SMB53","g__Sneathia","g__Sphaerochaeta","g__Sphingobacterium","g__Sphingobium","g__Sphingomonas","g__Sphingopyxis","g__Sporosarcina","g__Staphylococcus","g__Stenotrophomonas","g__Streptococcus","g__Succiniclasticum","g__Succinivibrio","g__Sutterella","g__Synergistes","g__TG5","g__Thermus","g__Trabulsiella","g__Treponema","g__Trichococcus","g__Truepera","g__Trueperella","g__Turicibacter","g__Unclassified","g__vadinCA11","g__Vagococcus","g__Varibaculum","g__Veillonella","g__WAL_1855D","g__Wautersiella","g__Weissella","g__YRC22"
1,3.4356882115793e-06,0,0.000441485935189293,0,0,3.4356882115793e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000374490015062044,1.71784410579366e-06,0,0,1.37427528463372e-05,0,0,0,0,0,0,0,0.0924440626480877,0.000384797079698084,0.000407129053072498,0.00149280652793316,0,0,0,0,0,0.00194631737186283,0,0,5.15353231737897e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280008589243363,0.000144298904886531,0,0,0.00549366545033023,0,0,0,0,0,0,0,0,0,0,0,0.000767876315289827,0,0.000140863216675052,0,1.71784410579366e-06,0,0,0,0,0,0,0,0,0,0.00353704101383136,0,0,0,0,0,0,0,0,0,0,0,0,0.000175220098790845,0,2.23319733752154e-05,0,0,0,0,0,0,0,0,1.03070646347579e-05,0.0108705175014533,0,0,0,0,0,0,0,1.71784410579366e-06,0,0,0,1.71784410579366e-06,3.4356882115793e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360747262217329,0,0,0.00294782048553084,3.4356882115793e-06,0,0,0,0.00396306635205958,0,0.00579944167771528,0,0,0,0,0,0,0,0,0.005704960275336,0,0,0.000158041657733049,0,0,0,0,0,0,0,0,0,0,0,0,0.000345286665264271,0,0,0,0.00408675112768004,0,0,0,0,0,0,0,0,0,0,0,0,1.71784410579366e-06,0,0,0,0,0,0,0,0,0,1.54605969521369e-05,0,0,0.000123684775617055,0,0,0,0,0,0,0,0,1.20249087405576e-05,0.857489370912035,0,0,0,1.88962851637162e-05,0,0,0,0
2,0,0,0.000321097116326426,0,0,1.03579714944105e-06,0,0,5.17898574719525e-06,0,1.03579714944105e-06,1.03579714944105e-05,0,0,0,0,4.76466688743085e-05,0,0,1.03579714944105e-06,0,0,0,0,0,0,0,0.000646337421250496,1.55369572416058e-05,0,0,4.14318859776421e-06,0,0,0,0,0,0,0,0.090360871767432,0.000422605236971709,0.00196179980103953,0.000731272787505204,0,0,0,2.07159429888211e-06,0,0.00250455750733891,0,0,0,0,0,0,0,0,0,0,0,3.10739144831314e-06,0,0,0,0,0.00105754888957818,0.000136725223726059,0,0,0.00124399237647817,1.03579714944105e-06,0,0,0,0,0,7.25058004607735e-06,0,0,0,9.01143520012614e-05,0.000437106397064465,0,6.21478289664632e-05,0,3.10739144831314e-06,0,0,0,0,0,0,0,0,0,0.00275314882321759,0,0,0,0,0,0,1.03579714944105e-06,0,0,0,0,0,2.07159429888211e-06,0,2.90023201843094e-05,1.03579714944105e-06,0,0,0,0,0,0,0,0,0.00359214451425552,1.03579714944105e-06,0,0,0,0,0,0,1.03579714944105e-06,0,0,0,0,1.03579714944105e-06,1.03579714944105e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07159429888211e-06,0,0,0.000483717268789463,0,0,0.00318611203167439,0.000279665230347982,0,0,0,0.00369676002635956,0,0.00315400232005417,2.07159429888211e-06,0,0,0,0,0,0,0,0.0091460888295646,0,5.17898574719525e-06,2.38233344371543e-05,0,0,0,1.03579714944105e-06,0,0,0,0,0,0,0,0,9.63291348979278e-05,0,0,0,0.0046124047064529,0,0,0,0,0,0,0,0,0,0,0,0,1.03579714944105e-06,0,0,0,0,0,0,0,0,0,4.14318859776421e-06,0,0,0.000104615512093416,0,0,0,0,0,0,0,0,3.10739144831314e-06,0.868726176626818,0,0,0,0,1.03579714944105e-05,0,0,0
3,2.11100891162048e-05,0,0.000681554305754329,0,0,0,0,0,3.01572701660641e-06,0,0,6.03145403321281e-06,0,0,0,0,0.000301572701660641,0,0,0,0,0,0,0,0,0,0,0.000307604155694414,0,0,0,3.01572701660641e-06,0,0,0,0,0,0,0,0.0731886789924919,0.000582035314206077,0.000259352523428231,0.0012424795308432,0,0,0,0,0,0.000379981604093688,0,0,0,3.01572701660641e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000307604155694414,8.14246294485331e-05,0,0,0.00389933503248113,0,0,0,0,0,0,0,0,3.01572701660641e-06,0,3.01572701660641e-06,0.00692109350311931,0,0.000370934423044029,0,0,0,0,0,0,0,0,0,0,0,0.0229376195888191,0,0,0,0,0,0,0,0,0,0,0,0,7.23774483986739e-05,0,4.82516322657826e-05,0,0,0,0,0,0,0,0,3.01572701660641e-06,0.0126147861104728,0,0,0,0,0,0,0,0,0,0,0,0,6.03145403321281e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11100891162048e-05,0,3.01572701660641e-06,0.000648381308571578,2.71415431495778e-05,0,0,0,0.00100423709653218,0,0.00858577481628861,0,0,0,0,0,0,0,0,0.000301572701660641,0,0,0.000105550445581424,0,0,0,0,0,0,0,0,0,0,0,0,0.00019300652906313,0,0,0,0.00690601486803988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71415431495778e-05,0,0,2.11100891162048e-05,0,0,0,0,0,0,0,0,0,0.85785973859925,0,0,0,4.82516322657826e-05,0,0,0,0
4,2.80533523782823e-05,0,0.00100737038085705,0,0,2.55030476165656e-06,0,0,0,0,1.27515238083229e-05,0,0,0,0,0,0.000867103618965634,0,0,0,0,0,0,0,0,0,0,0.00109408074275461,2.55030476165656e-06,0,0,2.55030476165656e-06,0,0,0,0,2.55030476165656e-06,0,0,0.0447450969913453,0.00137971487606047,0.000145367371414845,0.00173165693316975,0,0,0,2.55030476165656e-06,0,0.000283083828544339,2.55030476165656e-06,0,0,0,0,0,0,0,0,0,0,1.53018285699994e-05,0,0,0,0,0.000999719466572496,5.10060952333315e-05,0,0,0.00764071306595166,0,0,0,0,0,0,2.55030476165656e-06,0,2.55030476165656e-06,0,4.33551809483818e-05,0.00579684272326116,0,0.000614623447561494,0,0,0,0,0,2.55030476165656e-06,0,0,0,0,0,0.010693427865653,0,0,0,0,0,0,0,0,0,0,0,0,1.27515238083229e-05,0,1.7852133331656e-05,0,0,0,0,0,0,0,0,1.53018285699994e-05,0.00410599066628168,0,0,0,0,0,0,0,0,0,0,0,0,1.27515238083229e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57042666632319e-05,0,0,0.00128790390463987,5.61067047565645e-05,0,0,0,0.00166534900936632,0,0.00788044171354621,0,0,0,0,0,0,0,0,0.00125985055226319,0,2.55030476165656e-06,6.63079238032308e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00020147407617181,0,0,0,0.00630435332658298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67103618965634e-05,0,0,2.29527428550492e-05,1.02012190466663e-05,0,0,0,0,0,0,0,2.55030476165656e-06,0.899648058029573,0,0,0,0.000114763714274846,1.7852133331656e-05,0,0,0
5,1.09568028057467e-05,0,0.00263511107477484,0,0,0,4.1088010521525e-06,0,0,0,1.643520420863e-05,2.73920070144167e-06,0,0,0,0,0.00114361629284955,0,0,0,0,0,0,0,0,0,0,0.000813542608327436,0,0,0,1.23264031564775e-05,0,0,0,0,0,0,1.36960035071883e-06,0.0476648313763608,0.0134727586500161,0.000224614457517777,0.015542224779961,0,0,0,0,1.36960035071883e-06,0.000239680061376397,0,0,0,0,0,0,0,0,0,0,0,1.36960035071883e-05,0,0,0,0,0.000356096091186817,0.000152025638929903,0,0,0.00819294925316623,0,0,0,0,0,0,2.73920070144167e-06,0,1.78048045593408e-05,0,0,0.000430054510126403,0,0.000920371435683281,0,0,0,0,0,0,0,0,0,0,0,0.0067507601286849,0,0,0,0,0,0,1.36960035071883e-06,0,0,0,0,0,2.73920070144167e-05,0,1.78048045593408e-05,0,0,0,0,0,0,0,0,1.23264031564775e-05,0.00602487194280416,1.36960035071883e-06,0,0,2.73920070144167e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73920070144167e-05,0,0,0.00179691566014422,3.83488098201034e-05,0,0,0,0.000701235379567547,0,0.00377598816693938,0,0,0,0,0,6.84800175359417e-06,0,0,0.00208179253309647,0,5.47840140288335e-06,0.000198592050854271,0,0,1.36960035071883e-06,0,0,0,0,0,0,0,0,0,0.000264332867689592,0,5.47840140288335e-06,0,0.0140849700067854,0,0,0,0,0,0,0,0,0,0,0,0,1.36960035071883e-06,0,0,0,0,1.36960035071883e-06,0,0,0,0,0.000223244857166265,0,0,5.47840140288334e-05,0,0,0,0,0,0,0,0,0,0.871894431269723,0,0,0,0.000123264031564775,2.73920070144167e-06,0,0,0
7,5.40752457025767e-06,0,0.00732989955498719,0,0,0,0,0,1.75744548533224e-05,1.35188114256342e-06,8.11128685537651e-06,0,0,0,0,0,1.35188114256342e-06,0,2.70376228511883e-06,0,0,0,0,0,0,0,0,7.16497005558792e-05,0,0,0,2.70376228511883e-06,0,0,0,0,1.35188114256342e-06,0,0,0.102377958965901,0.00217112111495989,6.7594057128271e-05,0.00263346446572243,0,0,0,0,4.05564342768825e-06,0.000100039204549737,2.70376228511883e-06,0,1.35188114256342e-06,0,0,0,0,0,0,0,0,0,1.35188114256342e-06,0,0,0,5.40752457025767e-06,1.35188114256342e-05,1.35188114256342e-06,0,0.000632680374719688,1.35188114256342e-06,0,0,0,0,0,0,0,0.000531289289027481,0,0,5.40752457025767e-06,0,0.00131132470828734,0,0,0,0,0,1.35188114256342e-06,0,0,0,0,0,0.0183179894817306,0,0,0,0,0,0,1.35188114256342e-06,0,0,0,0,0,0.000118965540545709,0,1.35188114256342e-06,0,0,0,0,0,0,0,1.35188114256342e-06,2.70376228511883e-06,0.00449635668016729,2.70376228511883e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46316799794593e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83895039938578e-05,0,0,0.000304173257076619,0,0,0,0,0.000546159981595645,0,0.00284570980509312,2.70376228511883e-06,0,0,0,0,0,1.35188114256342e-06,0,0.00346757512506591,0,1.89263359958919e-05,0.000140595638826619,0,0,0,9.46316799794593e-06,0,0,0,0,0,0,0,0,0.000329858998786539,0,0,0,0.000200078409099474,0,0,0,0,0,2.16300982811107e-05,0,0,0,0,0,0,0,0,0,0,0,1.21669302830648e-05,0,0,1.35188114256342e-06,0,4.05564342768825e-05,0,0,7.57053439834874e-05,0,0,0,0,0,0,0,0,5.40752457025767e-06,0.851652674667964,0,0,0,3.10932662789966e-05,6.7594057128271e-06,0,0,0
8,7.24983536841395e-06,0,0.0013073869781042,1.20830589473566e-06,6.0415294736883e-06,0,0,0,0,0,3.86657886316611e-05,3.02076473683414e-05,0,0,0,0,0.00383395460399807,0,0,0,0,0,0,0,0,4.83322357894263e-06,0,0.000374574827368154,2.41661178947132e-06,0,0,0,0,0,0,0,1.20830589473566e-06,0,0,0.0131620761113586,0.0125434234932544,6.76651301051568e-05,0.00300143184251901,0,0,0,1.20830589473566e-06,0,0.000362491768421698,0,0,0,0,0,0,0,0,0,0,0,5.67903770525459e-05,0,2.41661178947132e-06,0,0,0.00362854260190232,0.000610194476841057,0,0,0.0014741331915777,3.62491768421698e-06,0,0,0,0,0,8.45814126315961e-06,0,8.45814126315961e-06,0,4.83322357894263e-06,2.29578120000676e-05,0,0.000570320382316351,0,9.66644715788526e-06,0,0,0,6.0415294736883e-06,0,0,0,0,0,0.010266975174374,0,0,0,0,0,0,0,0,0,0,0,0,4.34990122104437e-05,0,5.07488475789176e-05,0,0,0,0,0,0,0,0,0,9.06229421052244e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41661178947132e-06,1.20830589473566e-06,1.20830589473566e-06,0,0,0,0,0,0,0,0,2.29578120000676e-05,0,1.20830589473566e-06,0.000744316431158526,6.64568242105112e-05,0,0,0,0.000366116686105034,0,0.000876021773683102,1.20830589473566e-06,0,0,0,0,4.22907063157981e-05,0,4.83322357894263e-06,1.57079766315736e-05,0,0.000144996707368479,4.22907063157981e-05,0,0,0,1.20830589473566e-06,0,0,0,0,0,0,0,0,9.30395538947157e-05,0,9.66644715788526e-06,0,0.0186381184263143,0,0,1.20830589473566e-06,0,0,0,0,0,0,0,0,0,1.20830589473566e-06,0,0,0,0,0,0,0,0,0,0.000292410026525849,0,0,6.0415294736883e-06,0,0,0,1.20830589473566e-06,0,0,0,0,4.71239298947807e-05,0.926619583025862,0,0,0,2.41661178947132e-06,0.000349200403578795,0,0,0
9,1.25574052820036e-05,0,0.00478975315755832,0,1.7939150402868e-06,0,0,0,1.97330654431628e-05,0,3.76722158459508e-05,5.38174512086441e-06,0,1.43513203222984e-05,0,0,8.96957520143401e-06,0,0,0,0,0,0,0,3.5878300805696e-06,1.7939150402868e-06,0,1.61452353625932e-05,0,0,0,0,0,0,0,0,3.5878300805696e-06,0,0,0.00139745981638309,0.0130579075782533,8.96957520143401e-06,0.0321415756804393,0,0,0,0,0,4.12600459266604e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25574052820036e-05,0,0,0.000351607347896341,0.000412600459266604,0,0,0.00525796498308222,3.5878300805696e-06,0,0,0,0,0,0,0,1.07634902417288e-05,0,0,3.22904707251864e-05,0,0.00199483352480014,0,3.22904707251864e-05,0,0,1.7939150402868e-06,0.000468211825515903,0,1.7939150402868e-06,0,0,0,0.0420296355445278,0,1.7939150402868e-06,0,0,0,0,3.5878300805696e-06,0,0,0,0,0,0.0201079937496657,0,1.07634902417288e-05,0,0,0,0,0,0,0,0,0,0.000331874282452138,1.61452353625932e-05,1.61452353625932e-05,0,0,0,0,0,0,0,0,1.7939150402868e-06,1.7939150402868e-06,0,0,0,0,0,0,0,0,0,0,0,5.38174512086441e-06,0,8.96957520143401e-06,1.7939150402868e-06,0,0,0,0,0,0,0,1.7939150402868e-06,0,1.25574052820036e-05,0.000274469001163185,0,0,0,0,4.66417910474248e-05,0,8.96957520143401e-06,1.7939150402868e-06,0,0,0,0,3.94661308864056e-05,5.38174512086441e-06,8.96957520143401e-06,1.97330654431628e-05,0,7.89322617726113e-05,3.76722158459508e-05,0,0,0,5.38174512086441e-06,0,0,0,0,0,0,0,0,6.99626865711373e-05,0,8.96957520143401e-06,0,0.000739092996597778,0,0,1.7939150402868e-06,0,0,0,0,0,0,0,0,0,5.38174512086441e-06,0,0,0,0,0,0,0,0,0,0.00563109922144951,0,0,1.43513203222984e-05,0,0,0,1.7939150402868e-06,0,0,0,0,3.5878300805696e-06,0.869747416812507,0,0,3.5878300805696e-06,0.000410806544224949,0.000139925373142475,0,0,0
10,0,0,0.00264777249324135,0,0,0,0,0,0,0,3.2353036329905e-05,1.55294574383344e-05,0,0,0,0,2.45883076106078e-05,0,0,0,0,0,0,0,0,0,0,5.69413439405128e-05,1.2941214531942e-06,0,0,0,0,0,0,0,0,0,0,0.00970720502041822,0.0144320424460191,2.07059432510592e-05,0.00765990488145319,0,0,0,6.47060726598101e-06,0,0.000411530622115752,1.2941214531942e-06,0,1.2941214531942e-06,0,0,0,0,0,0,0,0,1.55294574383344e-05,0,0,0,0,0.00100941473349064,0.00108576789923089,0,0,0.00557636941426321,1.2941214531942e-06,0,0,0,0,0,1.2941214531942e-05,0,1.55294574383344e-05,0,0,2.5882429063924e-06,0,0.000543531010340804,0,2.20000647043755e-05,0,0,0,7.7647287191572e-06,0,0,0,0,0,0.0203979423849244,0,0,0,0,0,0,0,0,0,0,0,0,3.62354006894536e-05,0,3.36471577830212e-05,0,0,0,0,0,0,0,0,1.2941214531942e-06,0.000676825520020573,1.81177003447268e-05,0,0,0,0,1.2941214531942e-06,0,0,0,0,0,1.2941214531942e-06,1.2941214531942e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75295221425698e-05,0,0,0.000836002458762665,2.5882429063924e-06,0,0,0,0.000128118023866304,0,0.00159824005953308,0,0,0,0,0,0,0,0,1.42353359851382e-05,0,0,8.54120159108693e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.43531010340804e-05,0,5.17648581278481e-06,0,0.022802419908682,0,0,1.2941214531942e-06,0,0,0,0,1.2941214531942e-06,0,0,0,0,1.68235788915306e-05,0,0,0,0,0,0,0,0,0,0.00125141544523857,0,0,0,0,0,0,0,0,0,0,0,5.04707366745318e-05,0.908605260530694,0,0,0,2.84706719703565e-05,1.2941214531942e-06,0,0,0
12,6.58226737153207e-06,0,0.00375408649089752,0,0,0,0,0,0,0,1.75527129907589e-05,8.77635649536943e-06,0,0,0,0,0.000638479935038471,0,0,0,0,0,0,0,0,0,0,0.000540842969027609,1.09704456192268e-06,0,0,0,0,0,0,0,0,0,0,0.018556508764918,0.00265375079528238,3.40083814195791e-05,0.0047161945717015,0,0,0,0,0,0.0004805055261325,0,0,0,0,0,0,0,0,0,0,0,1.86497575526776e-05,0,0,0,0,0.00289510059890248,0.000653838558905933,0,0,0.00280623998939818,1.09704456192268e-06,0,0,0,0,0,1.42615793049828e-05,0,9.87340105730813e-06,0,2.19408912383735e-06,5.4852228096134e-06,0,0.00134826776660216,0,1.42615793049828e-05,0,0,0,9.87340105730813e-06,0,0,0,0,0,0.0135243653593767,0,0,0,0,0,0,0,0,0,0,0,0,7.67931193345075e-06,0,2.85231586098856e-05,0,0,0,0,0,0,0,0,1.09704456192268e-06,0.00150185400527077,3.29113368577605e-06,1.09704456192268e-06,0,0,0,0,0,0,0,0,0,2.19408912383735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78901638965263e-05,0,0,0.000751475524916796,2.41349803622109e-05,0,0,0,0.000568269083076076,0,0.00980648133902017,0,0,0,0,0,9.87340105730813e-06,1.09704456192268e-06,1.09704456192268e-06,2.85231586098856e-05,0,9.87340105730813e-06,4.93670052864405e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000118480812687617,0,0,0,0.0262500822955956,0,0,0,0,0,0,0,0,0,0,0,0,3.29113368577605e-06,0,0,0,0,0,0,0,0,0,0.000114092634439943,0,0,2.19408912383735e-06,0,0,0,0,0,0,0,0,0,0.907858130173679,0,0,0,2.63290694860482e-05,4.16876933531099e-05,0,0,0
