time,g__AV80,g__Abiotrophia,g__Acetatifactor,g__Acinetobacter,g__Actinomyces,g__Acutalibacter,g__Adlercreutzia,g__Aeromonas,g__Agathobaculum,g__Akkermansia,g__Alcaligenes,g__Aliarcobacter,g__Alistipes,g__Alloiococcus,g__Anaerobutyricum,g__Anaerococcus,g__Anaerofilum,g__Anaerofustis,g__Anaeromassilibacillus,g__Anaerosporobacter,g__Anaerostipes,g__Anaerotignum,g__Anaerotruncus,g__Anaerovibrio,g__Angelakisella,g__Aquabacterium,g__Asaia,g__Avispirillum,g__BX12,g__Bacteroides,g__Baekduia,g__Bariatricus,g__Bdellovibrio,g__Beduini,g__Bifidobacterium,g__Bilophila,g__Bittarella,g__Blautia,g__Bog,g__Borkfalkia,g__Bosea,g__Brachybacterium,g__Bradyrhizobium,g__Brevundimonas,g__Bryocella,g__Bulleidia,g__Burkholderia,g__Butyribacter,g__Butyricicoccus,g__Butyrivibrio,g__CAG-1024,g__CAG-127,g__CAG-1427,g__CAG-238,g__CAG-269,g__CAG-274,g__CAG-302,g__CAG-353,g__CAG-41,g__CAG-417,g__CAG-83,g__Caccousia,g__Campylobacter,g__Capnocytophaga,g__Caproiciproducens,g__Catenibacillus,g__Caulobacter,g__Cellulosilyticum,g__Christensenella,g__Chryseobacterium,g__Cloacibacterium,g__Clostridium,g__Cohnella,g__Collinsella,g__Comamonas,g__Conchiformibius,g__Coprobacillus,g__Coprococcus,g__Copromonas,g__Copromorpha,g__Corynebacterium,g__Cuneatibacter,g__Cupriavidus,g__Cutibacterium,g__DTU014,g__Deinococcus,g__Desulfovibrio,g__Dialister,g__Dielma,g__Dorea,g__Dysosmobacter,g__ER4,g__Edaphobacter,g__Eggerthella,g__Eikenella,g__Eisenbergiella,g__Emergencia,g__Emticicia,g__Enterocloster,g__Erysipelatoclostridium,g__Erysipelothrix,g__Ethanoligenens,g__Eubacterium,g__Evtepia,g__Ezakiella,g__Faecalibacillus,g__Faecalibacterium,g__Faecousia,g__Fenollaria,g__Fimbriiglobus,g__Fimbriimonas,g__Fimenecus,g__Fimiplasma,g__Finegoldia,g__Flavobacterium,g__Flavonifractor,g__Frisingicoccus,g__Fusicatenibacter,g__Fusobacterium,g__GCA-900066905,g__GWA2-73-35,g__Gemmata,g__Gemmiger,g__Glutamicibacter,g__Gordonibacter,g__Gp,g__Haemophilus,g__Harryflintia,g__Helcococcus,g__Holdemania,g__Hungatella,g__Hydrogeniiclostridium,g__Hydrogenoanaerobacterium,g__Intestinibacillus,g__Intestinibacter,g__JABFSM01,g__JC017,g__KBS-83,g__KBS-96,g__Lachnoanaerobaculum,g__Lachnospira,g__Lacticaseibacillus,g__Lactobacillus,g__Lactococcus,g__Lagierella,g__Lancefieldella,g__Lawsonella,g__Lawsonibacter,g__Leuconostoc,g__Limiplasma,g__Limivicinus,g__Limivivens,g__Longibaculum,g__Longicatena,g__MARSEILLE-P3954,g__Massilia,g__Massilibacillus,g__Massilicoli,g__Massiliimalia,g__Massilioclostridium,g__Mediterraneibacter,g__Merdibacter,g__Merdicola,g__Merdisoma,g__Methylobacterium,g__Micrococcus,g__Microvirgula,g__Mogibacterium,g__Monoglobus,g__Moraxella,g__Murdochiella,g__Muricomes,g__Negativicoccus,g__Neisseria,g__Neobittarella,g__Nesterenkonia,g__Niameybacter,g__Nocardioides,g__Nostoc,g__Novosphingobium,g__Odoribacter,g__Onthenecus,g__Onthomonas,g__PALSA-1081,g__Paludicola,g__Parabacteroides,g__Paraburkholderia,g__Paracoccus,g__Paralachnospira,g__Paramuribaculum,g__Pararheinheimera,g__Parasediminibacterium,g__Parvimonas,g__Pauljensenia,g__Pe,g__Pediococcus,g__Pedobacter,g__Peptoniphilus,g__Phascolarctobacterium,g__Phocaeicola,g__Phocea,g__Polynucleobacter,g__Porphyromonas,g__Prevotella,g__Pseudoflavonifractor,g__Pseudomonas,g__QAKW01,g__QAMM01,g__QHXM01,g__RQZE01,g__RUG13038,g__RUG13077,g__RUG762,g__Ralstonia,g__Reyranella,g__Roseburia,g__Rothia,g__Rubneribacter,g__Rubrimentiphilum,g__Ructibacterium,g__Ruminococcus,g__Ruthenibacterium,g__S5-A14a,g__SBAT01,g__SFDB01,g__SFLA01,g__Scatavimonas,g__Scatomonas,g__Sediminibacterium,g__Sellimonas,g__Soleaferrea,g__Solibaculum,g__Sphingomonas,g__Sphingopyxis,g__Staphylococcus,g__Stoquefichus,g__Streptococcus,g__Suipraeoptans,g__Sulfurospirillum,g__Tepidimonas,g__Terrisporobacter,g__Trueperella,g__Turicibacter,g__UBA10511,g__UBA1258,g__UBA1259,g__UBA1394,g__UBA1417,g__UBA1822,g__UBA2658,g__UBA5026,g__UBA5905,g__UBA644,g__UBA737,g__UBA738,g__UMGS1071,g__UMGS1375,g__UTPRO1,g__Urinicoccus,g__Ursidibacter,g__VFJQ01,g__VFKE01,g__Varibaculum,g__Veillonella,g__Vermiphilus,g__Vescimonas,g__Vibrio,g__Vitreoscilla,g__WQUU01,g__WRAI01,g__WRMH01,g__Weissella,g__Z2-YC6860,g__Zag
45,0,0,559,0,0,3,203,0,319,23,0,0,206,0,3,0,13,0,2,0,564,130,29,0,0,0,0,5,13,16725,0,61,0,0,0,0,6,2139,0,0,0,0,0,0,0,0,0,239,5,78,4,22,4,59,0,0,242,0,272,23,1545,2,0,0,0,12,0,0,2,0,0,24,0,0,0,0,0,2411,106,20,0,0,0,0,2,0,0,0,0,93,487,0,0,8,0,104,5,0,12,10,0,0,507,71,0,1315,15111,0,0,0,0,0,0,0,0,16,0,480,0,0,0,0,694,0,10,0,0,2,0,15,0,9,0,2,0,0,0,0,0,0,139,0,0,2,0,0,0,53,22,40,159,27,0,0,0,0,0,0,2,0,363,0,0,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,1,2166,0,0,0,0,43,0,0,0,2276,23748,3,0,0,0,0,0,0,0,0,0,54,0,0,0,0,44,0,0,0,0,118,5,0,0,2,23,0,0,0,73,0,0,0,0,0,7,10,0,0,0,0,0,0,0,23,0,0,63,0,0,14,3,6,12,0,11,82,0,0,0,0,0,0,0,0,40,0,0,4,9,0,2,0,0
46,0,0,2082,15,0,0,285,0,388,28,0,0,620,0,10,0,14,0,6,0,442,143,29,0,0,43,0,4,0,13837,0,80,0,0,0,0,6,2886,0,0,0,0,0,0,0,0,0,539,3,9,3,3,9,40,0,0,187,0,462,5,2191,0,0,0,2,15,0,0,0,0,0,15,0,0,0,0,0,1356,235,34,0,0,0,0,2,0,0,0,3,231,534,0,0,15,0,217,0,0,0,14,0,0,548,76,0,1470,11016,0,0,0,0,0,0,0,0,18,0,535,0,2,0,0,645,0,17,0,0,0,0,25,0,10,0,2,0,0,0,0,0,0,183,0,0,2,0,0,0,56,4,54,250,18,0,0,0,0,0,0,0,0,634,0,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,329,2,0,0,0,0,0,1,2163,0,0,0,0,110,0,0,0,1788,23752,0,0,0,0,0,36,0,0,0,0,135,0,0,0,0,236,0,0,0,0,520,17,0,0,0,16,0,0,0,68,0,0,0,0,0,19,22,0,0,0,0,0,0,0,9,2,0,72,0,0,6,6,5,16,0,17,111,0,0,0,0,0,0,0,0,248,0,0,2,7,0,4,0,0
47,0,0,576,0,0,0,265,0,121,3,0,0,428,0,0,0,10,0,0,0,25,219,19,0,0,0,0,5,0,11254,0,8,0,0,0,0,2,959,0,0,0,0,50,0,0,0,0,454,0,23,0,0,0,51,0,0,21,0,165,23,1041,0,0,0,0,7,0,0,2,0,0,12,0,0,0,0,0,4783,268,1,0,0,0,0,2,0,0,0,2,81,146,0,0,8,0,627,7,0,1,3,0,0,312,43,0,504,10060,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,352,0,4,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,69,0,0,0,0,0,49,32,2,7,23,11,0,0,0,47,0,0,0,0,330,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,1,1585,0,0,0,0,0,0,0,0,1879,30185,6,0,0,0,0,0,0,0,0,0,93,0,0,26,0,203,0,0,0,0,541,8,0,0,3,0,0,0,0,21,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,33,0,0,0,3,0,0,0,17,64,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,0
48,0,0,309,0,0,0,124,0,31,28,0,0,1558,0,0,0,16,0,14,0,41,525,104,0,0,0,0,2,1,9580,0,17,0,0,0,0,6,230,0,0,0,0,0,0,0,0,0,81,3,281,6,7,6,30,0,0,774,0,77,11,4183,0,0,0,0,1,0,0,4,0,0,34,0,0,0,0,0,526,341,15,0,0,0,0,28,0,0,0,2,29,690,0,0,4,0,630,0,0,3,5,0,0,377,22,0,175,3978,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,162,0,6,0,0,0,0,21,0,4,0,3,0,0,0,0,0,0,48,0,0,0,0,0,0,25,2,25,89,0,0,0,0,0,0,3,4,6,329,0,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,4077,0,0,0,0,45,0,0,0,3088,20509,4,0,0,0,0,0,0,2,0,0,390,0,0,0,0,2,0,0,0,0,439,45,0,0,2,45,0,0,0,63,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,3,0,25,0,0,0,8,6,4,0,51,0,0,0,0,0,0,0,0,0,390,0,0,6,5,0,3,0,0
49,0,0,864,0,0,8,29,0,207,0,0,0,465,0,0,0,7,0,6,0,12,258,18,0,0,0,0,13,0,12033,0,33,0,0,0,0,4,121,0,0,0,0,0,0,0,0,0,666,0,341,0,43,5,24,0,0,27,0,151,81,1017,0,0,0,2,0,0,0,0,0,0,51,0,0,0,0,0,1401,296,2,0,0,0,0,4,0,0,0,12,14,305,0,0,0,0,112,6,0,85,0,0,0,434,13,0,119,4893,0,0,0,0,0,0,0,0,7,0,36,0,0,0,0,93,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,44,0,0,111,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,1713,26624,3,0,0,0,1,0,0,0,0,0,124,2,0,0,0,369,0,0,0,0,961,15,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,5,0,23,75,0,0,0,0,0,0,0,0,162,0,0,0,0,0,2,0,0
50,0,0,740,138,0,26,155,0,85,4,42,0,485,0,0,0,10,0,1,0,14,118,5,0,0,0,0,6,2,12539,0,15,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,781,0,127,0,54,6,17,0,0,74,0,52,0,815,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2996,216,7,0,0,0,0,8,0,0,0,3,15,516,0,0,6,0,79,7,0,8,2,0,0,174,27,0,294,8333,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,219,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,186,0,0,0,0,0,0,26,3,6,169,0,0,0,0,0,0,3,0,0,97,0,0,11,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,1698,0,0,0,0,14,0,0,0,1292,20767,0,0,0,0,3,0,0,0,0,0,124,0,0,0,0,335,15,0,0,0,313,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,5,3,0,110,0,0,0,4,3,8,0,17,0,0,0,0,0,0,0,0,0,186,0,0,2,5,0,2,0,0
51,0,0,718,3,0,30,193,0,108,10,0,0,662,0,0,0,7,0,5,0,96,81,11,0,0,0,0,9,0,13480,0,14,0,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,526,4,2268,6,13,5,22,0,0,153,4,181,0,755,0,0,0,0,15,0,0,0,0,0,29,0,0,0,0,0,3585,176,14,0,0,0,0,8,0,0,0,2,69,342,0,0,7,0,307,2,0,2,6,0,0,323,40,0,1235,11321,0,0,0,0,0,0,0,0,9,0,297,0,0,0,0,633,0,5,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,111,0,0,3,0,0,0,22,5,12,130,0,0,0,0,0,0,0,0,0,300,0,0,24,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,1,1585,0,0,0,0,4,0,0,0,1463,21667,0,0,0,0,1,0,3,3,0,0,213,2,0,0,0,276,0,0,0,0,882,1,0,0,2,21,0,0,0,24,0,0,0,0,0,4,5,0,0,0,0,0,0,0,13,0,0,183,0,0,0,4,0,7,0,27,36,0,0,0,0,0,0,0,0,144,0,0,3,2,0,0,0,0
52,0,0,961,13,0,24,287,0,48,22,0,0,1277,0,0,0,17,0,5,0,84,145,29,0,0,0,0,0,8,12341,0,5,0,0,0,0,4,1089,0,2,0,0,0,0,0,0,0,486,5,2238,4,13,1,40,0,0,543,49,227,0,1286,0,0,0,0,19,0,0,12,0,20,68,0,0,0,0,0,4510,155,29,0,0,0,0,25,0,0,0,2,77,659,21,0,8,0,573,2,0,0,12,0,0,613,65,0,1384,14473,0,0,0,0,0,2,0,0,12,0,313,0,0,0,0,1010,0,8,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,115,0,0,5,0,0,0,44,10,38,145,10,0,2,0,0,0,0,5,0,406,0,0,50,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,2833,0,0,3,0,42,0,0,0,1862,22808,0,0,0,0,0,0,2,8,0,0,381,0,0,0,0,209,0,0,0,0,1308,17,0,0,8,62,0,0,0,73,0,0,0,0,0,7,21,0,0,0,0,0,0,0,41,0,0,316,0,0,0,8,19,25,0,25,15,0,0,0,0,0,0,0,0,266,0,0,7,14,0,6,0,0
53,0,0,999,2,0,9,142,0,81,0,0,0,519,0,0,0,11,0,2,0,46,127,89,0,0,0,0,21,0,12099,0,13,0,0,0,0,6,860,0,3,0,0,0,0,0,0,0,1038,5,304,2,5,2,36,0,0,53,21,195,0,3110,1,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,1032,533,3,0,0,0,0,0,0,0,0,12,46,354,0,0,5,0,144,0,0,34,0,0,0,671,47,0,627,22735,0,0,0,0,0,0,0,0,28,0,138,0,0,0,0,234,0,9,0,0,0,0,50,0,7,0,0,0,0,0,0,0,0,712,0,0,2,0,0,0,55,8,4,49,0,0,0,0,0,0,0,2,0,199,0,0,31,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,1940,0,0,0,0,12,0,0,0,1083,41593,4,0,0,0,0,0,0,3,0,0,75,4,0,0,0,170,0,0,0,0,132,0,0,0,0,7,0,0,0,41,0,1,0,0,0,2,11,0,0,0,0,0,0,0,10,0,0,43,0,0,0,5,0,11,0,15,71,0,0,0,0,0,0,0,0,304,0,0,2,0,0,6,0,0
54,0,0,673,0,0,11,288,0,181,14,0,0,586,0,0,0,2,0,0,0,234,100,6,0,0,0,0,4,3,10140,0,113,0,0,0,0,2,3173,0,4,0,0,23,0,0,0,0,559,0,1231,0,0,14,15,0,0,55,13,449,0,699,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,3551,424,10,0,0,0,0,2,0,0,0,4,114,152,0,0,7,0,212,0,0,44,5,0,0,348,48,0,2632,18793,0,0,0,0,0,0,0,0,11,0,735,0,0,0,0,643,0,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,188,2,0,0,0,0,0,24,3,10,129,18,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,791,0,0,0,0,8,0,0,0,863,25389,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,46,0,0,0,0,7,0,0,0,0,2,0,0,0,31,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,2,9,0,2,126,0,0,0,0,0,0,0,0,60,0,0,2,0,0,5,0,0
56,0,0,457,6,0,7,82,0,141,5,0,0,1845,0,0,0,10,0,0,0,45,147,30,0,0,0,0,23,0,16712,0,3,0,0,0,0,0,374,0,13,0,0,0,0,0,0,0,553,0,19215,0,0,5,40,0,0,148,210,377,0,1470,0,0,0,0,5,9,0,0,0,0,13,0,0,0,0,0,3129,115,0,0,0,0,0,12,0,0,0,5,20,360,0,0,2,0,52,0,0,0,1,0,0,535,29,0,507,9908,0,0,0,0,0,0,0,0,18,0,27,0,2,0,0,194,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,574,0,0,46,0,0,0,66,9,2,133,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,1890,0,0,0,0,19,0,0,0,826,34735,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,142,0,0,0,0,30,0,0,0,2,29,4,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,9,0,48,0,0,0,8,6,24,0,9,0,0,0,0,0,0,0,0,0,80,0,0,0,4,0,7,0,0
57,0,0,258,0,0,1,2,0,9,0,0,0,419,0,0,0,6,0,0,0,3,49,12,0,0,0,0,6,0,7402,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,96,0,3946,0,49,0,4,0,0,52,29,26,0,406,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,102,91,0,0,0,0,0,0,0,0,0,2,2,102,0,0,0,0,78,0,0,36,0,0,0,568,4,0,32,1452,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,2,0,0,0,32,0,0,41,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,956,0,0,0,0,5,0,0,0,790,21521,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,0,0,0,37,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,13,2,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0,0,0
58,0,0,103,0,0,0,13,0,8,3,0,0,382,0,0,0,2,0,0,0,12,28,8,0,0,0,0,5,0,4499,0,0,0,0,0,0,0,57,0,0,0,0,0,28,0,0,0,61,0,5041,0,14,0,6,0,0,36,25,17,0,304,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,273,27,2,0,0,0,0,3,0,0,0,2,2,65,0,6,0,0,52,0,0,0,0,0,0,95,4,0,58,2253,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,5,3,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,705,0,0,0,0,14,0,0,0,336,10469,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,16,0,0,3,0,37,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0
59,0,0,174,0,0,0,97,0,72,9,0,0,543,0,6,0,4,0,2,0,188,42,13,0,0,0,0,10,0,4371,0,23,3,0,0,0,0,911,0,2,0,0,0,0,0,0,0,22,0,3804,2,20,7,9,0,0,134,10,47,0,976,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1160,29,13,0,0,0,0,2,0,0,0,0,41,155,0,0,6,0,178,0,0,0,2,0,0,260,47,0,471,8541,0,0,0,0,0,0,0,0,14,0,223,0,0,0,0,619,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,36,0,0,0,22,2,3,74,0,0,0,0,0,0,0,0,0,121,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,664,0,0,0,0,21,0,0,0,576,12030,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1273,1,0,0,0,12,52,0,0,30,0,0,0,0,0,2,5,0,0,0,0,0,0,0,3,4,0,46,0,0,0,0,5,10,0,6,5,0,0,0,0,0,0,0,0,65,0,0,0,8,0,0,0,0
60,0,0,279,16,0,0,15,0,65,0,0,0,728,0,0,0,4,0,0,0,9,23,8,0,0,0,0,10,0,7719,0,1,0,0,0,0,0,116,0,6,0,0,0,0,0,0,0,81,0,5422,2,94,2,6,0,0,151,8,76,0,494,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,465,104,0,0,0,0,0,4,0,0,0,2,3,155,0,0,3,0,39,0,0,0,0,0,0,127,15,0,65,4386,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,91,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,28,5,2,78,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,893,0,0,0,0,19,0,0,0,294,18058,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,0,0,0,272,0,0,0,2,11,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,6,0,0,30,0,2,5,0,2,5,0,0,0,0,0,0,0,0,27,0,0,5,0,0,3,0,0
61,0,0,231,39,0,5,13,0,143,10,0,0,623,0,0,0,0,0,0,0,41,15,6,0,0,0,0,16,0,5193,0,16,0,0,0,0,0,329,0,10,0,0,0,0,0,0,0,71,0,3241,0,152,4,20,0,0,204,95,71,0,628,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1106,63,0,0,0,0,19,2,0,0,0,0,18,219,0,0,0,0,152,2,0,2,2,0,0,250,18,0,182,7008,0,0,0,0,0,0,0,0,19,0,37,0,0,0,0,395,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,227,0,0,4,0,0,0,45,8,3,110,0,0,0,0,0,0,0,0,0,84,0,0,9,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,1220,0,0,0,0,22,0,0,0,274,15857,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,142,0,0,0,0,769,0,0,0,0,3,6,0,0,24,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,6,0,18,0,0,32,2,0,11,0,1,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,18,0,0
62,0,0,242,55,0,0,68,0,157,2,0,0,548,0,0,0,7,0,0,0,27,42,7,0,0,0,0,3,2,4637,0,19,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,199,0,1531,0,189,0,16,0,0,314,31,148,0,1510,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,1172,37,6,0,0,4,0,2,0,0,0,3,26,332,0,0,0,0,112,2,0,0,1,0,0,226,31,0,344,7574,0,0,0,0,0,0,0,0,39,0,79,0,0,0,0,420,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,45,4,6,112,0,0,0,0,0,0,0,0,0,161,0,0,6,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,3,1922,0,0,0,0,4,0,0,0,536,12013,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,558,0,0,0,0,2,3,0,0,21,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,51,0,0,4,2,7,11,0,8,4,0,0,0,0,0,0,0,0,75,0,0,3,0,0,4,0,0
63,0,0,264,19,0,0,119,0,162,5,0,0,252,0,0,0,0,0,3,0,135,29,0,0,0,15,0,8,3,4438,0,25,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,202,0,3763,0,167,0,12,0,0,167,63,151,0,593,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2001,47,5,0,0,0,0,3,0,0,0,0,31,172,0,0,4,0,165,0,0,0,5,0,0,371,25,0,520,8267,0,0,0,0,0,0,0,0,12,0,225,0,0,0,0,471,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,23,0,3,62,0,0,0,0,0,0,0,0,0,158,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,0,0,0,2,747,0,0,0,0,11,0,0,0,586,15626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,499,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,8,0,0,0,0,0,4,0,0,0,0,35,0,0,0,0,2,4,0,4,37,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,0
64,0,0,354,0,0,1,90,0,119,4,0,0,484,0,1,0,5,0,0,0,97,38,9,0,0,0,0,3,0,6420,0,17,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,130,2,1578,0,173,0,33,0,0,506,42,119,0,1066,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1565,27,3,0,0,0,0,3,0,0,0,2,21,261,0,0,0,0,324,0,0,0,4,0,0,383,22,0,260,6269,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,315,0,3,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,99,0,0,0,0,0,0,26,0,11,76,0,0,0,0,0,0,0,0,0,79,0,0,3,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,2,1401,0,0,0,0,33,0,0,0,1056,18390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,484,0,0,0,0,16,3,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,21,0,0,1,7,3,9,0,8,23,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,0
65,0,0,252,0,0,0,72,0,49,2,0,0,399,0,1,0,5,0,2,0,44,40,17,0,0,0,0,3,0,4861,0,9,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,239,0,1287,0,183,0,3,0,0,108,87,41,0,633,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,985,28,0,0,0,0,0,0,0,0,0,0,11,155,0,0,0,0,123,0,0,0,2,0,0,171,33,0,149,5597,0,0,0,0,0,0,0,0,16,0,73,0,0,0,0,297,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,345,0,0,6,0,0,0,41,0,9,35,0,0,0,0,0,0,0,0,0,115,0,0,5,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,2,685,0,0,0,0,4,0,0,0,651,12370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,229,6,0,0,2,5,0,0,0,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2,4,3,0,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
