"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
0,0,0,0,0,0,0,0,0,0.03001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.05077,0,2.11394,0,0,0,0.89485,0,0,0,0,0,4.02502,0,0.74359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13903,0,0,0,0,0.00878,0.03693,0,0,0,0.71544,0,0,0.00072,0,0.03563,0,0,0.00122,0.00247,0,0,0.04661,0,0,0.00525,0,0,0.68898,0,0,0,0.29031,0,0,0,0,0,0,0,0,0,0,4.26499,0.1319,0,0,0.00571,0.60932,0.04837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01373,0,0.0401,0,0,0,0,0,0,0.01008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02493,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.00355,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,59.28748,0,5.93262,0,0,0,1.6206,0,0,0,0,0.00485,15.35849,0,1.00784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17462,0,0,0,0.25429,0,0,0,0,0.00218,0,0,0,0,0.81067,0,0,0,0,0.01443,0,0,0,0,0,0,0.03228,0,0.08865,1.13196,0,0,2.78414,0,0,0,3.12825,0,0,0,0,0,0,0.00488,0,0,0,4.49516,0.03382,0,0,0,3.14533,0.01453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01001,0.03798,0,0.14611,0,0,0,0,0,0,0.20376,0,0,0,0,0,0,0,0,0,0.01155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02512,0,0,0,0,0,0,0,0,0,0,0,0,0.23328,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0.01064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.68859,0,4.31214,0,0,0,1.50142,0,0,0,0,0,12.7115,0,1.94911,0,0,0,0,0,0,0,0,0,0,0.01394,0,0,0,0,0,0.03012,0,0,0,0.14734,0,0,0,0,0.00535,0.02406,0,0,0,1.36049,0,0,0.05243,0,0.16018,0,0,0,0.04083,0,0,0.05812,0,0.51209,1.81623,0,0,4.9323,0,0,0,1.13892,0,0,0,0,0,0,0.01542,0,0,0,4.48418,0.05168,0,0,0,4.25247,0.23508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19285,0.03788,0,0.11373,0,0,0,0,0,0,0.06186,0,0,0,0,0,0,0,0,0,0.04229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04677,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0.01456,0,0,0,0,0,0,0,0,0,0,0.00296,0,0.00189,0.00104,0,0,0,0,0,60.03455,0,4.69215,0,0,0,1.24336,0,0,0,0,0,11.21585,0,2.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00845,0,0,0,0.3472,0,0,0,0,0.00863,0.01532,0.0021,0,0,1.34664,0,0,0,0,0.00189,0,0,0,0,0,0,0.089,0,1.24123,1.26747,0,0,3.73903,0,0,0,2.10919,0,0,0,0,0,0,0.01308,0,0,0,5.6135,0.02311,0,0,0,4.01608,0.25853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02198,0.05165,0,0.3963,0,0,0,0,0,0,0.03413,0,0,0,0,0,0,0,0,0,0.09451,0,0,0,0,0,0.00338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08471,0,0,0,0.00575,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0.14481,0,0,0,0,0,0,0,0,0,0,0.04307,0,0,0,0,0,0,0,0,47.54754,0,6.66222,0,0,0,1.83327,0,0,0,0,0,24.22575,0,0.65375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01064,0,0,0,0.62324,0,0,0,0,0,0.00158,0,0,0,2.51814,0,0,0.00207,0,0,0,0,0,0,0,0,0.08517,0,0.26375,1.54558,0,0,3.3138,0,0,0,2.04344,0,0,0,0,0.00967,0,0.01644,0,0,0,2.61006,0,0,0,0,4.96662,0.01951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15607,0.13333,0,0.30989,0,0,0,0,0,0,0.12169,0,0,0,0,0,0,0,0,0,0.08572,0,0,0,0,0,0.00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0.04702,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.49028,0,1.57908,0,0,0,0.67941,0,0,0,0,0,4.01017,0,1.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0,0,0.514,0,0,0,0,0,0.01644,0.01067,0,0,5.60054,0,0,0,0,0,0,0,0,0.01586,0,0,0.07749,0,1.39018,0.68984,0,0,12.87827,0,0,0,0.81187,0,0,0,0,0,0,0.12447,0,0,0,13.51624,0.0472,0,0,0,15.31542,0.45252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13219,0,0.55294,0,0,0,0,0,0,0.05471,0,0,0,0,0,0,0,0,0,0.00935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01671,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0.16858,0,0,0,0,0,0,0,0,0,0,0.06003,0,0.03529,0.02822,0,0,0,0,0,41.4587,0,1.82649,0,0,0,0.45964,0,0,0,0,0,3.32418,0,0.87854,0,0,0,0,0,0,0,0,0,0,0.03034,0,0,0,0,0,0,0,0,0,0.5576,0,0,0,0,0,0.01171,0.43988,0,0,2.49863,0,0,0.2751,0,0.07782,0,0,0.02557,0.45136,0,0,0.21675,0,1.64077,1.60287,0,0,18.64198,0,0,0,0.0744,0,0,0.02448,0,0,0,0.60024,0,0,0,18.55734,0.03069,0,0,0,3.81355,0.69125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41928,0,0.8832,0,0,0,0,0,0,0.00245,0,0,0,0,0,0,0,0,0,0.13637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01265,0,0,0,0,0,0,0,0,0,0,0,0,0.03527,0,0,0,0.00876,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0.01286,0,0,0,0,0,0,0,0,0,0,0.00494,0,0.08854,0.06157,0,0.00068,0,0,0,44.42626,0,1.92032,0,0,0,0.74576,0,0,0,0,0,3.69349,0,1.45541,0,0,0,0,0,0,0,0,0,0,0.04101,0,0,0,0,0,0,0,0,0,0.89724,0,0,0,0,0,0.01056,0.05145,0,0,5.7961,0,0,0.32298,0,0.07442,0,0,0.00416,0.44486,0,0,0.15576,0,2.0443,3.77165,0,0,8.42943,0,0,0,0.50808,0,0,0,0,0.0086,0,0.23579,0,0,0,18.05211,0.05223,0,0,0,4.82954,0.58433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39745,0,0.80485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02144,0,0,0,0,0,0.04768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04487,0.02896,0,0,0,0,0,40.35914,0,1.67871,0,0,0,0.64928,0,0,0,0,0,4.35642,0,0.90295,0,0,0,0,0,0,0,0,0,0,0.0138,0,0,0,0,0,0,0,0,0,0.68305,0,0,0,0,0,0,0,0,0,5.73065,0,0,0.02463,0,0.00153,0,0,0,0.01351,0,0,0,0,1.28228,1.66522,0,0,23.10878,0,0,0,0.89916,0,0,0,0,0,0,0.08561,0,0,0,10.15839,0.00336,0,0,0,7.25766,0.15207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948,0,0.51812,0,0,0,0,0,0,0.06404,0,0,0,0,0,0,0,0,0,0.16824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04754,0,0,0,0.00723,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0.01421,0,0,0,0,0,0,0,0,0,0,0.01711,0,0.14367,0.11664,0,0.00136,0,0,0,27.90778,0,1.50217,0,0,0,0.64453,0,0,0,0,0,3.60742,0,1.69877,0,0,0,0,0,0,0,0,0,0,0.01248,0,0,0,0,0,0.08114,0,0,0,0.11277,0,0,0,0,0,0.01786,0.02175,0,0,5.06299,0,0,1.51484,0,0.12042,0,0,0.01132,0.27485,0,0,0.45871,0.00578,1.32689,13.74522,0,0,14.91542,0,0,0,0.19681,0,0,0,0,0,0,0.97174,0,0.00284,0,19.41402,0,0,0,0,3.93853,0.52788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32937,0,1.07289,0,0,0,0,0,0,0.01819,0,0,0,0,0,0,0,0,0,0.05217,0,0,0,0,0,0.09363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04582,0,0,0,0,0,0,0,0,0,0,0
