"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
4,0,0,0,0,0,0,0,0,0.28407,0,0,0,0,0,0,0,0,0,0,0.90813,0,0,0,0,0,0,0,0,71.68481,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02908,0,0,0,1.85914,0,0,0,0,0.48158,0,0,0,0.15582,0,0,0,0.00347,0,11.24909,0,0,0.27066,0,0,0,0,0,0,0,0,0,0,0,0,0.01039,0,5.58988,0.17185,0,0,0,0.00553,0.04444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52045,3.70454,0,0,0,0,0,0.04559,0,0,0,0,0,0,0,0,0,0,0,0.02003,0,0.00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48904,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1.74673,0,0,0,0,0,0,0,0,0,0,0.72523,0,0,0,0,0,0,0,0,54.41045,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183,0.04638,0.03751,0,0,4.18805,0,0,0.00348,0,0.32154,0,0,0,0.79105,0,0,0,0.15621,0,4.75342,0,0,0.39433,0.00111,0,0,0,0,0,0,0,0,0,0,0,0.20816,0,25.41262,0.40773,0,0,0.00293,0.04651,0.03722,0,0,0,0,0,0,0,0,0,0,0,0,0.03462,0,0,0,1.12,2.17938,0,0,0,0,0,0.15404,0,0.013,0,0,0,0,0,0,0,0,0,0.07099,0,0.00396,0,0,0,0,0,0,0,0,0,0,0,0.02708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2609,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3.25233,0,0,0,0,0,0,0,0,0,0,1.12149,0,0,0,0,0,0,0,0,38.18109,0,0,0,0,0,0,0,0,0,0,0,0.00128,0,0.97289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03881,0,0,0,0,0,0.02265,0,0,0,16.63344,0,0,0.19505,0,0.40675,0,0,0,1.82281,0,0,0,0.21117,0,5.54316,0,0,0.42974,0.01823,0,0,0,0,0,0,0,0,0,0,0,0.18357,0,22.62875,0.39579,0,0,0,0.03078,0.04052,0,0,0,0,0,0,0.00333,0,0,0,0,0,0.05031,0,0,0,2.82674,2.59657,0,0,0,0,0,0.1707,0,0,0,0,0,0,0,0,0,0,0,0.07372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43291,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,3.81488,0,0,0,0,0,0,0,0,0,0,0.81523,0,0,0,0,0,0,0,0,48.57469,0,0,0,0,0,0.05738,0,0,0,0,0,0,0,1.78038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07995,0,0,0,0,0,0.03379,0,0,0,5.79444,0,0,0.12846,0,0.35805,0,0,0,1.99751,0,0,0,0.13201,0,4.94648,0,0,0.0989,0,0,0,0,0,0,0,0,0,0,0,0,0.14685,0,21.58081,0.16751,0.00085,0,0,0.01721,0.04666,0,0,0,0,0,0,0,0.00608,0,0,0,0,0.08433,0,0,0,2.76347,3.90044,0,0,0,0,0,0.16348,0,0,0,0,0,0,0,0,0,0,0,0.12418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01171,0,0,0,0,0,0,0,0,0,0,0,0.00345,0,0,0,2.37081,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0.61712,0,0,0,0,0,0,0,0,0,0,0.89447,0,0,0,0,0,0,0,0,66.38177,0,0,0,0,0,0.43436,0,0,0,0,0,0,0,1.58394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01337,0.09946,0,0,0,1.27827,0,0,0.07299,0,0.11801,0,0,0,0.79646,0,0,0,0.04161,0,4.69146,0,0,0.34945,0,0,0,0,0,0,0,0,0,0,0,0,0.03061,0,15.22922,0.44605,0,0,0.00339,0.03045,0.04151,0.00387,0,0,0,0,0,0.00518,0,0,0,0,0,0.01103,0,0,0,0.92888,4.05835,0,0,0,0,0,0.15304,0,0,0,0,0,0,0,0,0,0,0,0.0912,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.593,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0.99033,0,0,0,0,0,0,0,0,0,0,0.25671,0,0,0,0,0,0,0,0,76.15168,0,0,0,0,0,0.78711,0,0,0,0,0,0,0,0.87601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02359,0,0,0,0.00861,0,0,0,0,0.02463,0.02028,0,0,0,1.36348,0,0,0.04404,0,0.20311,0,0,0,0.30724,0,0,0,0.0141,0,3.1322,0,0,0.23711,0,0,0,0,0,0,0,0,0,0,0,0,0.02494,0,8.99924,0.16238,0,0,0.00678,0.03306,0.08002,0,0,0,0,0,0,0.00062,0,0,0,0,0,0.00559,0,0,0,0.72526,5.06779,0,0,0,0,0,0.00684,0,0,0,0,0,0,0,0,0,0,0,0.02494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42229,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,2.59076,0,0,0,0,0,0,0,0,0,0,0.57143,0,0,0,0,0,0,0,0,59.86649,0,0,0,0,0,0.63888,0,0,0,0,0,0,0,1.79261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689,0,0,0,0,0.00644,0.04478,0.00909,0,0,4.32913,0,0,0.63347,0,0.38069,0,0,0.00372,0.71692,0,0,0,0.16645,0,4.25231,0,0,1.22366,0.0094,0,0,0,0,0,0,0,0,0,0,0,0.12659,0,16.9914,0.32812,0,0,0,0.08177,0.02952,0.04731,0,0,0,0,0,0.00056,0,0,0,0,0,0.08195,0,0,0,0.94933,2.3205,0,0,0,0,0,0.18812,0,0,0,0,0,0,0,0,0,0,0,0.0986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06242,0,0,0,1.45065,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,6.65129,0,0,0,0,0,0,0,0,0,0,2.03675,0.00261,0,0,0,0,0,0,0,39.46482,0,0,0,0,0,0.09888,0,0,0,0,0,0,0,3.65908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06193,0,0,0,0.0665,0,0,0,0,0,0.06544,0,0,0,3.80984,0,0,0.06917,0,0.22294,0,0,0,1.02547,0,0,0,0.07267,0,6.61412,0,0,0.71485,0,0,0,0,0,0,0,0,0,0,0,0,0.28425,0,25.67074,0.38677,0,0,0,0.05567,0.19226,0,0,0,0,0,0,0.00767,0,0,0,0,0,0,0,0,0,2.50664,4.88186,0,0,0,0,0,0.17658,0,0.03412,0,0,0,0,0,0,0,0,0,0.06943,0,0.00728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09038,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,5.56469,0,0,0,0,0,0,0,0,0,0,2.78632,0.00443,0,0,0,0,0,0,0,29.46048,0,0,0,0,0,0.36765,0,0,0,0,0,0,0,0.82465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00994,0,0,0,0,0,0.10114,0.00246,0,0,2.76707,0,0,0.20955,0,0.3827,0,0,0,0.5342,0.01173,0,0,0.08963,0,5.27273,0,0,0.75421,0,0,0,0,0,0,0,0,0,0,0,0,0.1306,0,43.10411,0.3542,0.00189,0,0.00488,0.18554,0.13638,0.01175,0,0,0,0,0,0,0,0,0,0,0,0.03654,0,0,0,4.02597,0.58596,0,0,0,0,0,0.42516,0,0,0,0,0,0,0,0,0,0,0,0.12022,0,0.01255,0,0,0,0,0,0,0,0,0,0,0,0.01681,0,0,0,0,0,0,0,0,0,0,0,0,0.00418,0,0,0,1.69968,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,5.89011,0,0,0,0,0,0,0,0,0,0,1.27841,0,0,0,0,0,0,0,0,56.50491,0,0,0,0,0,0.56274,0,0,0,0,0,0,0,1.37322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03045,0,0,0,0,0.0066,0.04702,0.01094,0,0,1.61957,0,0,0.257,0,0.7618,0,0,0,0.77853,0.43834,0,0,0.13267,0,5.86313,0,0,1.0398,0,0,0,0,0,0,0,0,0,0,0,0,0.20947,0,16.17485,0.27319,0,0,0,0.08386,0.1642,0.04509,0,0,0,0,0,0,0,0,0,0,0,0.07613,0,0,0,1.13223,0.95888,0,0,0,0,0,0.95953,0,0,0,0,0,0,0,0,0,0,0,0.21725,0,0.01177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173,0,0,0,3.0966,0,0,0,0,0,0,0
