"time","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__02d06","g__1-68","g__5-7N15","g__Achromobacter","g__Acidaminococcus","g__Acinetobacter","g__Actinobacillus","g__Actinomyces","g__Adlercreutzia","g__Aerococcus","g__Aggregatibacter","g__Agrobacterium","g__Agrococcus","g__Akkermansia","g__Alcanivorax","g__Alicyclobacillus","g__Alistipes","g__Alkalimonas","g__Alkaliphilus","g__Allobaculum","g__Amycolatopsis","g__Anaerobacillus","g__Anaerococcus","g__Anaerofustis","g__Anaerostipes","g__Anaerotruncus","g__Anaerovorax","g__Anoxybacillus","g__Aquabacterium","g__Arcanobacterium","g__Arcobacter","g__Arthrobacter","g__Asticcacaulis","g__Atopobium","g__Azospirillum","g__Bacillus","g__Bacteroides","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Brevibacterium","g__Brevundimonas","g__Brochothrix","g__Bulleidia","g__Burkholderia","g__Butyricimonas","g__Butyrivibrio","g__Caloramator","g__Campylobacter","g__Cardiobacterium","g__Carnobacterium","g__Catenibacterium","g__cc_115","g__Cellvibrio","g__Cetobacterium","g__CF231","g__Chitinophaga","g__Christensenella","g__Chryseobacterium","g__Citrobacter","g__Cloacibacillus","g__Cloacibacterium","g__Clostridium","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprococcus","g__Corynebacterium","g__Crenothrix","g__Cronobacter","g__Cupriavidus","g__Cytophaga","g__Dechloromonas","g__Dehalobacterium","g__Deinococcus","g__Delftia","g__Dermacoccus","g__Desulfovibrio","g__Dialister","g__Dietzia","g__Dorea","g__Dyadobacter","g__Eggerthella","g__Eikenella","g__Enhydrobacter","g__Enterobacter","g__Enterococcus","g__Epulopiscium","g__Erwinia","g__Escherichia","g__Exiguobacterium","g__Facklamia","g__Faecalibacterium","g__Filifactor","g__Finegoldia","g__Flavobacterium","g__Fluviicola","g__Frigoribacterium","g__Fructobacillus","g__Fusobacterium","g__Gallicola","g__Gemella","g__Geobacillus","g__Gordonia","g__Granulicatella","g__Haemophilus","g__Helcococcus","g__Holdemania","g__Hydrogenophaga","g__Hyphomicrobium","g__Janthinobacterium","g__Jeotgalicoccus","g__Jonquetella","g__Kingella","g__Klebsiella","g__Kocuria","g__Lachnobacterium","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leucobacter","g__Leuconostoc","g__Luteimonas","g__Lutispora","g__Lysinibacillus","g__Lysobacter","g__Macrococcus","g__Megamonas","g__Megasphaera","g__Methanobrevibacter","g__Methanosphaera","g__Methylibium","g__Methylobacterium","g__Methylopila","g__Methylosinus","g__Microbacterium","g__Micrococcus","g__Microvirgula","g__Mitsuokella","g__Mobiluncus","g__Mogibacterium","g__Morganella","g__Moryella","g__Mucispirillum","g__Mycoplana","g__Mycoplasma","g__Myroides","g__Neisseria","g__Novosphingobium","g__Ochrobactrum","g__Odoribacter","g__Oligella","g__Oribacterium","g__Oscillospira","g__Oxalobacter","g__p-75-a5","g__Paenibacillus","g__Pantoea","g__Parabacteroides","g__Paracoccus","g__Paraprevotella","g__Parvimonas","g__Paucibacter","g__Pediococcus","g__Pedobacter","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcus","g__ph2","g__Phascolarctobacterium","g__Planomicrobium","g__Porphyromonas","g__Prevotella","g__Proteus","g__PSB-M-3","g__Pseudobutyrivibrio","g__Pseudomonas","g__Pseudoramibacter_Eubacterium","g__Psychrobacter","g__Pyramidobacter","g__Ralstonia","g__rc4-4","g__RFN20","g__Rhizobium","g__Rhodoplanes","g__Roseburia","g__Roseomonas","g__Rothia","g__Rubellimicrobium","g__Ruminococcus","g__Salinicoccus","g__Salmonella","g__Scardovia","g__Schwartzia","g__Sedimentibacter","g__Sediminibacterium","g__Selenomonas","g__Serratia","g__Sharpea","g__Shewanella","g__Shuttleworthia","g__Slackia","g__SMB53","g__Sneathia","g__Sphaerochaeta","g__Sphingobacterium","g__Sphingobium","g__Sphingomonas","g__Sphingopyxis","g__Sporosarcina","g__Staphylococcus","g__Stenotrophomonas","g__Streptococcus","g__Succiniclasticum","g__Succinivibrio","g__Sutterella","g__Synergistes","g__TG5","g__Thermus","g__Trabulsiella","g__Treponema","g__Trichococcus","g__Truepera","g__Trueperella","g__Turicibacter","g__Unclassified","g__vadinCA11","g__Vagococcus","g__Varibaculum","g__Veillonella","g__WAL_1855D","g__Wautersiella","g__Weissella","g__YRC22"
1,9.25112169732049e-06,0,0.00322679124802414,0,0,0,0,0,0,0,5.5506730183963e-06,1.66520190551889e-05,0,0,0,0,2.40529164131374e-05,0,0,1.29515703762647e-05,0,0,0,0,0,0,0,0.00573384522800484,5.5506730183963e-06,0,0,1.8502243394661e-06,0,0,0,0,0,0,0,0.0320514361966306,0.00494564965939052,0.000725287941071464,0.00224432212376925,0,0,0,0,0,0.00108238123858718,1.8502243394661e-06,0,1.8502243394661e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127665479423175,3.70044867892419e-06,0,0,0.000479208103922075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000838151625778462,0,0,0,0,0,0,0,0,0,0,0,0.0143614413229328,0,0,0,0,0,0,0,0,0,0,0,0,5.18062815050188e-05,0,2.59031407526095e-05,0,0,0,0,0,0,0,0,5.5506730183963e-06,0.00101207271368764,1.8502243394661e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000508811693352827,0,0,0.00253850779373811,3.70044867892419e-06,0,0,1.8502243394661e-06,0.00522318331031134,0,0.00527683981615283,0,0,0,0,0,0,0,0,0.0155215319837802,0,0,0.0745880938846611,0,0,0,0,0,0,0,0,0,0,0,0,9.06609926337328e-05,0,3.70044867892419e-06,0,0.00389102186178489,0,0,5.5506730183963e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8502243394661e-05,0,0,0.000181321985267666,0,0,0,0,0,0,0,0,7.40089735786841e-06,0.825133447325038,0,0,0,9.25112169732049e-06,0,0,0,0
2,0,0,0.000324059497935657,0,0,0,0,0,0,0,3.07165400886708e-06,1.53582700443554e-06,0,0,0,0,4.60748101330063e-05,0,0,0,0,0,0,0,0,0,0,0.000179691759518985,0,0,0,0,0,0,0,0,0,0,0,0.00391021555328327,0.00252029211427702,0.000314844535908776,0.000287199649830133,1.53582700443554e-06,0,0,0,0,0.000562112683623757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110579544319375,1.53582700443554e-06,0,0,0.0001474393924257,0,0,0,0,0,0,0,0,0,0,0,3.07165400886708e-06,0,0.000124401987359297,0,1.53582700443554e-06,0,0,0,1.53582700443554e-06,0,0,0,0,0,0.00273991537591936,0,0,0,0,0,0,0,0,0,0,0,0,8.13988312351178e-05,0,1.07507890310548e-05,0,0,0,0,0,0,0,0,0,0.00065886978490301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53582700443554e-06,0,0,0.000155118527447968,0,0,0.00130545295376951,0,0,0,0,0.00085391981446633,0,0.0017354845150113,0,0,0,0,0,0,0,0,0.00931171912789851,0,0,0.160151432548572,0,0,0,0,0,0,0,0,0,0,0,0,9.0613793261599e-05,0,0,0,0.00104743401702484,0,0,0,0,0,0,0,0,0,0,0,0,3.07165400886708e-06,0,0,0,0,0,0,0,0,0,9.21496202660125e-06,0,0,0.00135459941791154,0,0,0,0,0,0,0,0,0,0.811908802586738,0,0,0,3.99315021153521e-05,0,0,0,0
3,1.32602252898421e-05,0,0.00227943272732818,0,0,0,0,0,1.32602252898421e-06,0,5.30409011594083e-06,0,0,0,0,0,0.00707035212455607,0,0,0,0,0,0,0,0,0,0,6.63011264492104e-06,3.97806758696063e-06,0,0,0,0,0,0,0,0,0,0,0.00805426084106099,0.0180299283266095,0.000107407824847797,0.000661685241964324,0,0,0,0,0,0.000102103734731876,0,0,1.32602252898421e-06,0,0,0,2.65204505796041e-06,0,0,0,0,3.97806758696063e-06,0,2.65204505796041e-06,0,0,0.000625882633680258,2.65204505796041e-06,0,0,0.000481346178022216,0,0,0,0,0,0,2.65204505796041e-06,0,2.65204505796041e-06,0,0,3.97806758696063e-06,0,0.000155144635891284,0,5.30409011594083e-06,0,0,0,2.65204505796041e-06,0,0,1.32602252898421e-06,0,0,0.0278597334123461,0,0,0,0,0,0,1.32602252898421e-05,0,0,0,0,0,0.000334157677304613,0,3.84546533406261e-05,0,0,0,0,0,1.32602252898421e-06,0,0,2.38684055216437e-05,0.00464770904972574,4.77368110434875e-05,0,0,2.65204505796041e-06,0,1.32602252898421e-06,0,0,0,0,0,2.65204505796041e-06,1.32602252898421e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32602252898421e-06,0,0,0,0,4.11066983985865e-05,0,0,7.95613517390125e-05,0,2.65204505796041e-06,0.000611296385862676,0,0,0,0,0.000669641377137005,0,0.000925563725230585,0,0,0,0,0,0,0,0,0.000452173682383051,0,1.32602252898421e-06,0.0981296451525985,0,0,0,0,0,0,0,0,0,0,0,0,6.23230588622698e-05,0,3.97806758696063e-06,0,0.00349406936387085,0,0,1.32602252898421e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32602252898421e-06,0.000262552460738481,0,0,4.37587434565469e-05,0,1.32602252898421e-06,0,0,0,0,0,0,0,0.824551307040799,0,0,0,5.7018968746349e-05,2.65204505796041e-06,0,0,0
4,2.66543464362032e-05,0,0.00084050039095206,0,0,0,0,0,0,0,1.06617385744413e-05,0,0,0,0,0,0.00219987205918402,0,0,0,0,0,0,0,0,0,0,0.000122609993606095,0,0,0,0,0,0,0,0,0,0,0,0.00773153742289344,0.00886701258107585,0.000117279124318934,0.000538417798009624,0,0,0,0,0,0.000124386950035215,0,0,1.77695642907421e-06,0,0,0,1.06617385744413e-05,0,0,0,0,3.55391285814042e-06,0,0,0,0,0.00050643258228626,1.77695642907421e-06,0,0,0.000703674745914004,0,0,0,0,0,0,2.13234771488425e-05,0,7.10782571630085e-06,0,0,1.77695642907421e-06,0,0.000389153457967926,0,1.77695642907421e-06,0,0,0,1.95465207198023e-05,0,0,0,0,0,0.0241968156830096,0,0,0,0,0,0,0,0,0,0,0,0,0.00193332859483199,0,3.90930414396447e-05,0,0,0,0,0,0,0,0,8.88478214536105e-06,0.00112836733246233,1.77695642907421e-06,0,0,0,0,0,0,0,0,0,0,1.77695642907421e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77695642907421e-06,0,0,0,0,1.77695642907421e-06,0,0,0.000124386950035215,0,5.33086928722063e-06,0.000998649513138358,0,0,0,0,0.000543748667297185,0,0.00159037600402159,0,0,0,0,0,0,0,0,0.00536996232865207,0,0,0.115283602235075,0,0,0,0,0,0,0,0,0,0,0,0,2.4877390007083e-05,0,0,0,0.00537529319794364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209680858631385,0,0,3.19852157233638e-05,0,0,0,0,0,0,0,0,0,0.82085258371573,0,1.77695642907421e-06,0,2.66543464362032e-05,0,0,0,0
5,9.95619275133308e-06,1.65936545855618e-06,0.00195307314472145,0,1.65936545855618e-06,0,0,0,0,0,4.97809637566654e-06,0,0,0,0,0,0.0122378202568561,0,0,2.82092127955171e-05,0,0,0,0,0,0,1.65936545855618e-06,7.96495420108248e-05,3.31873091710436e-06,0,0,0,0,0,0,0,0,0,1.65936545855618e-06,0.0126924863776877,0.0149757732634757,0.000681999203466736,0.00520211071258124,0,0,0,0,1.65936545855618e-06,0.000511084561236192,0,0,0,0,0,0,1.65936545855618e-06,0,0,0,0,4.97809637566654e-06,0,0,0,0,0.00136233904147603,4.97809637566654e-06,0,0,0.0013689765033098,0,0,0,0,0,0,2.82092127955171e-05,0,2.48904818784328e-05,0,0,0,0,0.000618943316041934,0,9.95619275133308e-06,0,0,0,0,0,1.65936545855618e-06,0,0,0,0.0152893933315334,0,0,0,0,0,0,0,0,0,0,0,0,1.49342891270196e-05,0,2.98685782539592e-05,0,0,0,0,0,0,0,0,2.65498473368749e-05,0.00076828620731173,9.95619275133308e-06,1.65936545855618e-06,0,0,0,0,0,0,0,0,0,0,1.65936545855618e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65936545855618e-06,0,0,0,0,1.65936545855618e-06,0,0,0.000263839107911307,0,3.31873091710436e-06,0.00213062524877976,3.31873091710436e-06,0,0,0,0.00277943714307565,0,0.000944178945918601,0,0,0,0,0,0,0,0,0.00353610779218529,0,1.49342891270196e-05,0.0633213859722111,0,0,0,3.31873091710436e-06,0,0,0,0,0,0,0,0,5.30996946737497e-05,0,1.65936545855618e-06,0,0.00666235231611036,0,0,0,0,0,8.29682729279091e-06,0,0,0,0,0,1.65936545855618e-06,0,0,0,0,0,0,0,0,0,0,4.14841364638545e-05,0,0,5.4759060132392e-05,0,0,0,0,0,0,0,0,8.29682729279091e-06,0.852195340454709,0,0,0,8.29682729279091e-06,3.31873091710436e-06,0,0,0
7,1.29515853555811e-05,0,0.00248670438827189,0,2.91410670499674e-05,0,0,0,0,0,1.61894816944664e-05,1.61894816944664e-05,0,0,0,0,3.23789633888527e-06,0,0,0,0,0,0,0,0,0,0,0.00316180577492047,0,0,0,0,3.23789633888527e-06,0,0,0,0,0,0,0.0272776577032043,0.0114200603872704,0,0.00294486672023316,0,0,0,6.47579267779055e-06,0,3.23789633888527e-06,1.13326371861385e-05,0,4.85684450834792e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000422545472225528,1.29515853555811e-05,0,0,0.00195245149235382,0,0,0,0,0,0,0,0,1.61894816944664e-05,0,0,1.13326371861385e-05,0,0.00147000493785791,0,8.09474084723319e-06,0,0,0,1.61894816944664e-06,0,0,0,0,0,0.0338813472286921,0,0,0,0,0,0,0,0,0,0,0,0,0.00131944275809875,0,0.000110088475522299,0,0,0,0,0,0,0,0,1.61894816944664e-06,0.00101669945041198,2.75221188805248e-05,0,0,0,0,0,0,0,0,0,0,0,9.71368901667582e-06,0,0,0,0,0,0,0,0,0,0,1.61894816944664e-06,0,0,0,0,0,0,0,3.23789633888527e-06,0,0,4.85684450834792e-06,0,8.09474084723319e-06,0.000307600152194101,0,0,0,0,0.000937370990110287,0,0.000221795899214641,0,0,0,0,0,9.38989938278729e-05,0,8.09474084723319e-06,0.00863708848400147,0,0.000221795899214641,0.0484907355915709,0,0,0,0,0,0,0,0,0,0,0,0,0.000101993734675086,0,3.23789633888527e-06,0,0.000764143535978925,0,0,0,0,0,0,3.23789633888527e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246080121755281,0,0,3.5616859727738e-05,0,0,0,3.23789633888527e-06,0,0,0,0,0,0.851744821427908,0,0,0,0.000369120182632921,0.000132753749894696,0,0,0
8,0,0,0.00159902862722347,0,0,0,0,0,0,1.86802409722321e-06,7.84570120833747e-05,2.80203614584481e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000410965301389106,0.0254966608969117,3.73604819444641e-06,0.00447018173207191,0,0,0,1.12081445833392e-05,0,3.73604819444641e-06,0,0,0,0,5.60407229166962e-06,0,0,0,0,0,0,0,0,0,0,0,2.05482650695553e-05,2.24162891666785e-05,0,0,0.00127025638611178,1.86802409722321e-06,0,0,0,0,0,0,0,1.30761686805624e-05,0,1.86802409722321e-06,0,0,0.000508102554445512,0,4.4832578333357e-05,0,0,0,2.98883855555713e-05,0,0,0,0,0,0.0877896604823156,0,7.47209638889283e-06,0,0,0,0,3.73604819444641e-06,0,0,0,0,0,0.000732265446112297,0,0,0,0,0,0,0,0,0,0,0,1.68122168750089e-05,0.000233503012152401,0.000364264698959025,0,0,0,3.73604819444641e-06,0,0,5.60407229166962e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73604819444641e-06,0,0,0,0,3.17564096528945e-05,0,0,9.34012048611604e-06,0,1.86802409722321e-05,9.15331807640372e-05,3.73604819444641e-06,0,0,0,0.000220426843472538,0,3.73604819444641e-06,0,0,0,0,0,2.61523373611249e-05,0,0,5.23046747222498e-05,0,3.92285060417874e-05,0.0378237520040192,0,0,0,3.73604819444641e-06,0,0,0,0,0,0,0,0,9.34012048611604e-06,0,4.67006024306802e-05,0,0.000300751879652836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34012048611604e-06,0,0,0,0,0.00319992527853805,0,0,9.34012048611604e-06,0,0,0,0,3.73604819444641e-06,0,0,0,0,0.834801288808082,0,0,0,7.09849156944819e-05,4.10965301389106e-05,0,0,0
9,2.46147787129749e-06,0,0.00275439373796851,0,2.46147787129749e-06,0,0,0,0,0,1.23073893564675e-05,1.96918229703399e-05,0,0,0,0,9.84591148516997e-06,0,0,0,0,0,0,0,0,3.69221680693624e-05,0,7.38443361387248e-06,0,0,0,0,0,0,0,0,0,0,0,0.0080170334267978,0.00546201939639376,9.84591148516997e-06,0.00257962882030778,0,0,0,4.92295574259499e-06,0,2.95377344555299e-05,0,0,1.23073893564675e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115689459950842,1.4768867227765e-05,0,0,0.000300300300297854,0,0,0,0,0,0,0,0,7.38443361387248e-06,0,0,0,0,0.000423374193861729,0,0.000204302663317032,0,0,0,0,0,0,0,0,0,0.097159454532777,0,1.72303450990625e-05,0,0,0,0,0,0,0,0,0,0,0.000162457539505315,0,4.92295574259499e-06,0,0,0,0,0,0,0,0,0,9.84591148516998e-05,1.96918229703399e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43066016831949e-05,0,4.92295574259499e-06,0.000706444149061641,0,0,0,0,0.00122581597990419,0,5.90754689110599e-05,0,0,0,0,0,0.000120612415693397,7.38443361387248e-06,9.84591148516997e-06,0.000194456751832122,0,0.00016738049524787,0.0095923792644354,0,0,0,0,0,0,0,0,0,0,0,0,9.84591148516997e-06,0,4.92295574259499e-06,0,0.000861517254953123,0,0,4.92295574259499e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46147787129749e-06,0.000699059715446808,0,0,0.000339683946238294,0,0,0,2.46147787129749e-06,0,0,0,0,0,0.868291242054572,0,0,0,6.15369467823373e-05,0.000100920592722977,0,0,0
11,1.80045011247976e-05,0,0.00533683420840476,0,0,0,1.50037509373347e-06,0,0,0,3.00075018746294e-05,4.35108777182226e-05,0,0,0,0,0.0114163540882142,0,0,0,0,0,0,0,0,0,0,1.50037509373347e-06,0,0,0,0,0,0,0,0,0,0,0,0.00270517629400231,0.053426856757381,4.5011252812044e-06,0.006192048011841,0,0,0,1.20030007498717e-05,0,5.25131282807514e-05,0,0,0,1.50037509373347e-06,0,0,0,0,0,0,0,9.00225056240881e-06,1.50037509373347e-06,1.50037509373347e-06,0,0,0.000441110277557112,0.00011252813203001,0,0,0.000859714928709901,1.50037509373347e-06,0,0,0,0,0,3.00075018746294e-06,0,7.50187546866734e-06,0,0,1.50037509373347e-06,0,0.000568642160524936,0,0.000304576144027958,0,0,0,0,0,1.50037509373347e-06,0,0,0,0.0515348837013127,0,0,0,0,0,0,0,0,0,0,0,0,0.000517629407337406,0,5.85146286556373e-05,0,0,0,0,0,0,0,0,3.00075018746294e-06,4.65116279056655e-05,1.50037509373347e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5011252812044e-06,0,0,0,0,0,0,0,0,0,9.15228807177096e-05,0,7.50187546866734e-06,0.000583645911463151,0,0,0,0,0.000262565641403757,0,8.40210052490022e-05,1.50037509373347e-06,0,0,0,0,0,1.50037509373347e-06,0,1.35033758435932e-05,0,0,0.00192648162035437,0,0,0,0,0,0,0,0,0,0,0,0,3.45086271558938e-05,0,3.00075018746294e-06,0,0.00345986496615671,0,0,4.5011252812044e-06,0,0,0,0,0,0,0,0,0,7.50187546866734e-06,0,0,0,0,0,0,0,0,1.50037509373347e-06,0.000213053263309448,0,0,1.50037509373347e-06,0,0,0,0,0,0,0,0,0.000814703675897257,0.858732183023141,0,0,0,3.15078769684508e-05,1.50037509373347e-06,0,0,0
12,0,0,0.00134247908684832,0,1.83649669883628e-06,0,0,0,0,7.34598679534114e-06,8.08058547488525e-05,3.67299339768057e-05,0,3.12204438801748e-05,0,0,0.000106516808532397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83649669883628e-06,0,0,0.00322672469986367,0.0441071412926283,1.10189801930217e-05,0.0131401338801776,0,0,0,4.04029273744263e-05,3.67299339768057e-06,0,1.83649669883628e-06,0,7.34598679534114e-06,7.34598679534114e-06,3.67299339768057e-06,0,0,0,0,0,0,3.67299339768057e-06,0,0,0,0,0.00012855476891852,7.71328613510319e-05,0,0,0.00193750401727085,1.83649669883628e-06,0,0,0,0,0,0,0,3.67299339768057e-05,0,0,5.50949009651085e-06,0,0.000312204438801748,0,5.32584042662983e-05,1.83649669883628e-06,0,0,6.79503778569805e-05,0,0,0,0,0,0.0543970321415928,0,0,0,0,0,0,2.5710953783744e-05,0,0,0,0,1.83649669883628e-06,0.0257458472554829,0,1.83649669883628e-06,0,0,0,0,0,0,3.67299339768057e-06,0,0,4.77489141696674e-05,0.000159775212798695,0.000157938716099884,0,0,0,1.2855476891852e-05,0,0,0,0,0,0,1.83649669883628e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50949009651085e-06,0,0,0,0,6.06043910615394e-05,0,0,1.83649669883628e-06,0,2.5710953783744e-05,9.91708217371554e-05,3.67299339768057e-06,0,0,0,0.000378318319960919,0,9.73343250383451e-05,1.83649669883628e-06,0,5.50949009651085e-05,0,0,0,3.67299339768057e-06,0,0.000422394240732365,0,0,0.00280065746571568,0,0,0,1.83649669883628e-06,0,0,0,0,0,0,0,0,0,0,0.000189159159980059,0,0.000741944666329355,0,0,0,0,0,1.83649669883628e-06,0,1.83649669883628e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00700807140275204,0,0,2.02014636871131e-05,0,0,0,0,0,0,0,0,3.67299339768057e-05,0.838492970781007,0,0,0,0.00420925043373717,0,0,0,0
