"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06411,0,75.05445,0,0,0,0,0,0.21653,0,0,0,0,0.19592,0.00206,0,3.37333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29056,0,0,0,0.66697,0,0,0.0879,0,1.12053,0,0,0.07058,0.08013,2.52756,0,0.16493,0,0,5.32313,0,0,0.26081,0,0,0,0,0,0,0,0,0,0,0.008,0,0.00984,0,3.67754,0.00443,0,0,0,1.98258,0.48626,0,0,0,0,0,0,0,0,0.13939,0,0,0,0,0,0,0,0.03594,1.99167,0.19372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76279,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01949,0,0,0,0,0,0,0,0,75.83476,0,0,0,0,0,0.13613,0,0,0,0,0,0,0,2.48341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3486,0,0,0,0,0,0,0,0,0.95932,0,0,0.29275,0.05905,0.34748,0,0,0,0,6.65308,0,0,0.55138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44341,0,0,0,0,4.01672,1.62034,0,0,0,0,0,0,0,0,0.16406,0,0,0,0,0,0,0,0.07903,1.51415,0.23091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07316,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03423,0,0.00886,0.01216,0,0,0,0.04452,0,52.67108,0,0,0,0,0,0.24748,0,0,0,0,0,0,0,2.04168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0,0,0,0.07858,0,0,0,0.0063,0,1.08551,0.00701,0,0,0.76862,0,0,0.16434,0.01242,0.46835,0,0,0.82982,0.22707,0.35558,0,0.41872,0.01272,0,8.32075,0,0,0.32169,0,0,0,0,0,0,0,0,0,0,0.04591,0,0.079,0,12.96649,0.14994,0,0,0,7.54734,4.13326,0.03819,0,0,0,0,0,0,0.0223,0.37363,0,0,0,0,0,0,0,1.441,4.01757,0.44624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45244,0,0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01688,0,0,0,0,0.12799,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589,0,86.44152,0,0,0,0,0,0.00991,0,0,0,0,0,0,0,1.07652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226,0,0,0,0.05234,0,0,0,0,0,0.59566,0,0,0,0.81527,0,0,0.13559,0.10977,0.18441,0,0,0.11527,0.02286,0,0,0.03876,0.05207,0,1.7253,0,0,1.01009,0,0,0,0,0,0,0,0,0,0,0.09038,0,0,0,4.1223,0.45224,0,0,0,0.14092,0.36109,0,0,0,0,0,0,0,0,0.12466,0,0,0,0,0,0,0,0.00886,1.77221,0.24513,0,0,0,0,0,0,0.06355,0,0,0,0,0,0,0,0,0,0.20698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01494,0,0,0,0.00324,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02279,0,0,0,0,0,0,0.02293,0,57.96169,0,0,0,0,0,0.30178,0,0,0,0,0,0,0,1.2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0,0,0.07241,0,0,0,0,0,0.59463,0.0046,0,0,4.0593,0,0,0.96661,0.02426,0.82459,0,0,0.39922,0.09076,0.00049,0,0.30386,0,0,8.06091,0,0,0.77785,0,0,0,0,0,0,0,0,0,0,0.09631,0,0,0,6.66666,0.06339,0,0,0,10.56439,0.58539,0.08338,0,0,0,0,0,0,0,0.07264,0,0,0,0,0,0,0,0.12449,5.51721,0.15791,0,0,0,0,0.07402,0,0.01592,0,0,0,0,0,0,0,0,0,0.25826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01688,0,81.46847,0,0,0,0,0,0.3866,0,0,0,0,0,0,0,1.95765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02046,0,0,0,0.16951,0,0,0,0.00741,0.006,1.39746,0.01937,0,0,0.25793,0,0,0,0.0814,0.10396,0,0,0.2124,0.07074,0.21802,0,0.13417,0.1589,0,0,0,0,0.32349,0,0,0,0,0,0,0,0,0,0,0.00701,0,0.01493,0,8.48092,0.26074,0,0,0,1.78363,0.84343,0.06375,0,0,0,0,0,0,0,0.31386,0,0,0,0,0,0,0,0.06328,0,0.28301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53215,0,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00542,0,0,0,0,0.33329,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938,0,74.69953,0,0,0,0,0,0.26993,0,0,0,0,0,0,0,7.37688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34222,0.00807,0,0,0.75412,0,0,0.13545,0.0313,0.06864,0,0,0.12359,0,0,0,0.11033,0.00483,0,0.94829,0,0,0.05285,0,0,0,0,0,0,0,0,0,0,0,0,0.00144,0,8.78367,0.01243,0,0,0,2.97328,0.61116,0.0013,0,0,0,0,0,0,0,0.1334,0,0,0,0,0,0,0,0.01101,0,0.17099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674,0,0,0,0,2.04815,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04086,0,0.00212,0.0026,0,0,0,0.04642,0,75.90896,0,0,0,0,0,0.33335,0,0,0,0,0,0.00462,0,5.59186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01581,0,0,0,0,0,0.72802,0,0,0,0.11636,0,0,0.35764,0.00083,0.55678,0,0,0.10047,0.10382,0.02279,0,0.27459,0.01243,0,2.04222,0,0,0.11074,0,0,0,0,0,0,0,0,0,0,0.00118,0,0.05829,0,6.55503,0.18898,0,0,0,3.88624,0.75761,0,0,0,0,0,0,0,0,0.1861,0,0,0,0,0,0,0,0.20164,0,0.2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55019,0,0.00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01181,0,0,0,0,0.9861,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04599,0,0,0,0,0,0,0,0,65.9275,0,0,0,0,0,0.47485,0,0,0,0,0,0,0,3.74988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04195,0,0,0,0,0,0.47728,0,0,0,0,0,0,0.58309,0.13534,0.16703,0,0,0.03229,0.07413,0,0,0.03783,0.0503,0,0.44201,0,0,0.17116,0,0,0,0,0,0,0,0,0,0,0.20894,0,0.11714,0,17.53423,0.13285,0,0,0,2.55079,0.26512,0.01164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18784,0,0,0,0,0,0,3.12926,0,0,0,0,0,0,0,0,0,0,0,0.44649,0,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0.30577,0,0,0,0,0,0,0,0,0,0,0,0.11231,0,0,0,0.00866,0,0,0,0,2.5765,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07984,0,0,0,0,0,0.00398,0.03512,0,72.57206,0,0,0,0,0,0.58377,0,0,0,0,0,0,0,11.90312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53193,0,0,0,0,0,0,0.17052,0.06752,0.09269,0,0,0.13022,0.04599,0.11169,0,0.39169,0.1379,0,3.4017,0,0,0.07985,0,0,0,0,0,0,0,0,0,0,0.0233,0,0.31987,0,3.01853,0.12818,0,0,0.12378,1.58683,0.49158,0.02233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34415,0,0,0,0,0,0,0,0,0,0,0,0.57208,0,0.00574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01302,0,0,0,0,0.01104,0,0
