time,Actinobaculum,Actinomyces,Pauljensenia,Peptidiphaga,Schaalia,Alloscardovia,Bifidobacterium,Scardovia,Rothia,Corynebacterium,Arachnia,Propionibacterium,Nocardiopsis,Lancefieldella,Olsenella,Collinsella,Adlercreutzia,Eggerthella,GGB9365,Gordonibacter,Bacteria_unclassified,Bacteroides,Phocaeicola,Odoribacter,Leyella,Paraprevotella,Prevotellamassilia,Segatella,Alistipes,GGB1410,Parabacteroides,Candidatus_Saccharibacteria_unclassified,Gemella,Abiotrophia,Granulicatella,Enterococcus,Companilactobacillus,Lacticaseibacillus,Lactiplantibacillus,Latilactobacillus,Leuconostoc,Levilactobacillus,Ligilactobacillus,Limosilactobacillus,Weissella,Lactococcus,Streptococcus,GGB3109,GGB3363,GGB9715,GGB51510,GGB55957,Acutalibacter,Agathobaculum,Clostridiaceae_unclassified,Clostridium,Pilosibacter,Eubacteriaceae_unclassified,Eubacterium,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,Lentihominibacter,Zhenpiania,Candidatus_Cibionibacter,Evtepia,Flintibacter,Gemmiger,Anaerotruncus,Bittarella_ex_Durand_et_al_2017,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB45648,GGB9730,Hominenteromicrobium,Hominilimicola,Hydrogenoanaerobacterium,Massiliimalia,Merdimmobilis,Neobittarella_ex_Bilen_et_al_2018,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Anaerotignum,GGB3818,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Coprococcus,Dorea,Eisenbergiella,Enterocloster,Extibacter,Faecalicatena,Faecalimonas,Fusicatenibacter,GGB3511,GGB74412,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Mediterraneibacter,Oliverpabstia,Roseburia,Sellimonas,Shuttleworthella,Simiaoa,Waltera,Wansuia,Mogibacterium,GGB4456,Intestinibacter,Peptostreptococcus,Romboutsia,Coprobacillus,Faecalibacillus,Thomasclavelia,Amedibacillus,Erysipelotrichaceae_unclassified,Holdemanella,Holdemania,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Selenomonas,Allisonella,Anaeroglobus,Dialister,Megasphaera,Veillonella,Fusobacterium,Parasutterella,Sutterella,GGB6606,Citrobacter,Enterobacter,Escherichia,Klebsiella,Plesiomonas,Raoultella,Hafnia,Aggregatibacter,Haemophilus,Bilophila,Desulfovibrio,GGB9818,Saccharomyces
12,0,0.00056,0,0,0,0.01175,5.43474,0,0,0,0,0,0,0.00083,0,0.59685,0,0.00349,0.0027,0,0.00643,23.77127,8.95633,0,0.00127,0.00651,0,0.03472,0.23484,0,1.34045,0,0,0,0,0,0,0,0,0,0,0,0.03764,1.39315,0,0,0.32738,0.02819,0.00158,0,0,0.00163,0.00338,0.63151,0,1.70187,0,0.02397,0.22353,0,0,0,0,0,0,0.03736,0,0,0.01087,1.86892,0.10565,0,0,0,0.00882,0.01412,0,0.00778,0,0,0,0.03637,0,0.00171,0.02171,0,7e-04,0,0.00328,1.53692,7.30505,0,4.85076,0.12533,0.00224,0,0.20155,0,0.43221,1.14644,0.0076,0.00171,0.00485,0.00146,0.00762,0,0,1.15772,0,6.57221,0.21478,0,0,0.00216,0.00426,0,0,0,0,0.31004,0,0,0.10881,0,0.00166,0,0,0,0.16353,9.22231,0.58401,0.08062,0,0.25428,0,0.00917,13.09334,0.07055,0.65768,0.02703,3.64595,0,0,0.01798,0.0353,1.21189,0,0,0.00418,0,0.00169,0.03127,0,0,0
13,0,0.02206,0,0,0,0.02488,4.43199,0,0.00118,0,0,0,0,0,0.00281,0.95485,0,0.00197,0,0,0.00028,15.69607,10.91397,0,0,0,0.0011,0.04119,0.24709,0,4.00122,0,0,0,0,0.00428,0,0,0,0,0,0,0.06414,0.69352,0.2973,0.00013,0.58144,0.03428,0,0,0,0,0.00836,0.70901,0,5.16271,0,0.00995,0.0614,0,0,0,0,0,0,0.01497,0,0,0,0.93427,0.09372,0,0,0,0.00283,0.00086,0,0,0,0,0,0.00229,0,0.00098,0,0,0,0,0.00431,0.99443,7.99606,0,8.29415,0.55536,0,0,0.14824,0,0.47277,1.37388,0.00285,0.00433,0.00024,0,0.0015,0,0,2.09664,0,7.6312,0.17191,0,0,0.00283,0,0,0,0,0,1.15535,0,0,0.15821,0.00177,0,0,0,0,0.00278,6.84102,0.73307,0.03961,0,0.24227,0,0.00225,10.3048,0.09262,2.42522,0.02222,1.09377,0,0,0.00182,0.39745,1.69274,0,0.00183,0,0,0.00036,0.023,0,0,0
14,0,0.09949,0,0,0,0.02671,1.83448,0,0.00891,0,0,0.00162,0,0.00022,0.00215,0.74726,0,0.02874,0,0,0.03451,28.94175,10.96103,0,0,0,0,0.00647,1.13696,0,4.67275,0,0,0,0.00208,0.01379,0,0,0,0.03717,0.00498,0,0.07009,1.75197,0.02474,0.00971,0.79642,0.07297,0.01775,0,0.03151,0.10447,0.06871,0.45101,0,2.82737,0,0.1115,0.02783,0,0,0,0,0.01898,0.00967,0.00746,0,0.00387,0.01762,0.74877,0.32978,0,0,0,0.00563,0.00184,0,0.17941,0,0,0.01164,0.0318,0,0,0.0136,0.00039,0.01928,0,0.00063,0.5069,2.90559,0,4.20136,2.91067,0,0.00056,0.65455,0,0.34874,4.21208,0.00165,0.01381,0,0.00469,0.06222,0,0,3.83161,0,3.14948,0.47665,0,0,0.00188,0.0043,0,0,0.00226,0,0.2538,0,0,0.29444,0.03056,0.02423,0,0.01011,0,0.00177,4.4253,1.60668,0.01715,0,0.11546,0,0,0.52922,0.03071,6.10564,0.00475,0.75726,0,0.1738,0.01995,4.50482,0.12808,1.20463,0,0,0,0,0.14514,0,0,0
15,0,0.03032,0,0,0,0.02362,5.02999,0,0,0,0,0.0027,0,0.00291,0,1.6616,0.0187,0.08503,0.00717,0,0.06561,22.94097,10.53273,0,0,0,0,0.00455,1.53533,0.00158,5.148,0,0,0,0.00498,0.02387,0,0,0,0.00834,0,0,0.01572,0.41855,0.0016,0,0.12951,0.08391,0,0,0.03078,0.00214,0.04393,1.24456,0,1.56545,0,0.21538,0.23283,0,0.00316,0,0,0.11153,0.06606,0.03844,0,0.01011,0.09318,1.90441,0.61306,0.00712,0,0,0.01528,0.03719,0,0.02111,0.00233,0,0.17527,0.02739,0.03216,0,0.04757,0.01102,0.16707,0,0.00133,0.81675,3.74699,0,8.32994,1.2504,0,0.00153,0.36429,0,0.27586,3.66402,0,0.00712,0,0.00976,0.26142,0,0,2.34214,0,7.01641,0.40158,0,0,0.01955,0.01906,0,0,0,0,0.01339,0,0,0.79706,0.01033,0.06757,0,0.00367,0,0,5.61404,1.03233,0.0172,0,0.23878,0,0,4.64225,0.00536,1.71556,0.0525,1.18,0,0.01415,0,1.25088,0.00662,0.00996,0,0,0,0,0.30218,0,0.00221,0
16,0,0.05347,0,0,0,0.01386,3.27256,0,0,0,0,0.00044,0,0.00148,0,0.70466,0.05526,0.10782,0.01244,0.00042,0.11583,20.4526,2.11476,0,0,0.00073,0,0.00678,0.91076,0.00023,7.35941,0.00149,0,0,0,0.00251,0,0,0,0,0,0,0.07338,0.89332,0.01544,0,0.35206,0.05659,0.01513,0,0.02145,0.01189,0.02887,1.41755,0,1.10306,0,0.22171,0.23463,0,0.00558,0,0,0.20601,0.01738,0.04343,0.00225,0.01325,0.02243,6.8739,0.30533,0,0,0.00406,0.45048,0.00065,0,0.09789,0.00101,0,0.20989,0.00383,0.01541,0.01213,0.05682,0.01258,0.07322,0,0.01129,15.01664,0.81422,0.00193,8.01756,1.76638,0.00263,0.0225,0.36405,0.01425,0.98855,3.91297,0.04834,0.05197,0,0.01767,0.17277,0,0,1.97333,1e-04,8.97754,0.68106,0,0,0.00981,0.02575,0,0,0,0,0.1524,0,0.00361,0.7903,0.01035,0.02619,0.00024,0.01445,0.00145,0,4.6241,0.86063,0.04641,0,0.21978,0,0.01313,1.3242,0.04209,0.25758,0.03505,0.23565,0,0,0,0.07345,0,0,0,0,0,0.00585,0.30689,0.00479,0,0
17,0.00022,0.05014,0,0,0,0.00238,8.32946,0,0,0.00013,0,0.00262,0,0.00076,0.00282,2.28796,0,0.01016,0,0,0,25.37489,6.56489,0,0,0.00425,0,0.0342,1.53806,0,9.61762,0.00584,0.00158,0,0.00373,0.01641,0,0,0,0,0,0,0.00304,0.1156,0,0,0.1159,0.0399,0.0038,0,0,0,0,0.40506,0,2.46846,0,0.00013,0.02819,0.00106,0,0,0,0,0,0.00796,0,0,0,1.09648,0.01316,0,0,0,0.00584,0,0,0,0,0,7e-04,0,0,0.00271,0,0,0,0,0.00752,1.54971,5.98558,0,11.28938,0.10284,0.00201,0,0.10956,0,0.7302,1.01749,0.02556,0.00493,0,0,0.0058,0,0,0.83537,0,8.28218,0.19064,0,0,6e-05,0,0.00265,0,0.0048,0,0.0188,0.00271,0.00058,0.23852,0,0.00761,0,0,0.003,0.0067,4.64648,0.95274,0.01938,0,0.43323,0,0.00609,4.20458,0.07151,0.51007,0.02398,0.38195,0,0,0,0.0389,0.07966,0,0,0,0,0,0.0511,0,0,0
18,0,0.07429,0,0,0,4e-04,12.77244,0,0.00036,0,0,0.00416,0,0,0,1.29001,0,0.00351,0,0,0,12.73828,8.53255,0,0,0.00627,0,0.0511,0.20199,0,3.61486,0.01114,0,0,0.00332,0.02863,0,0,0,0,0,0,1.43693,2.00338,0,0,1.39504,0.01991,0.00595,0,0,0,0,0.53968,0,2.44682,0,0,0.00745,0,0,0,0,0,0,0.0027,0,0,0.00201,0.3412,0.00061,0,0,0,0,0,0,0,0,0,0.00063,0,0,0.00822,0,0,0,0,0.00527,1.40428,11.43084,0,14.19129,0.09218,0.00373,0,0.0305,0,0.26492,1.64398,0.05224,0,0,0,0,0,0,1.49143,0,9.69797,0.0485,0,0,0,0,0,0,0,0,0.10675,0,0.0094,0.26849,0,0,0,0,0,0,6.57647,0.77566,0.03767,0,0.93079,0,0.01288,2.04088,0.28983,0.17915,0.0049,0.18408,0,0,0,0.25378,0.39656,0,0,0,0,0.00377,0.02801,0,0,0
19,0,0.06698,0,0,0.00275,0.00113,4.36431,0,0,0,0,0,0,0,0.00211,0.83786,0,0,0,0,0.00569,20.50372,9.06221,0,0,0.00248,0,0.06877,0.1939,0,6.32961,0,0,0,0.0068,0,0,0,0,0,0,0,0.00718,0.04801,0,0,0.34295,0.0754,0,0,0.01116,0.00173,0.00166,0.91289,0,2.49492,0,3e-04,0.12785,0,0,0,0,0,0.00676,0.00747,0,0,0,2.98465,0.0727,0,0,0,0.00342,0,0,0.00096,0,0,0,0,0,0,0,0,0.00163,0,0.00381,1.92008,5.68286,0,10.03199,1.25228,0,0,0.1888,0,0.89091,1.24434,0.03387,0.0019,0,0,0,0,0,3.53192,0,10.68148,0.10923,0,0,0.0201,0,0,0.00128,0,0,0.81657,0,0.00693,0.22035,0,0.00066,0,0,0,0.02113,4.45465,0.54311,0.02261,0,0.21917,0,0.00207,3.20479,0.13639,4.44039,0.02973,1.30795,0,0,0,0.27246,0.11379,0,0,0,0,0.02026,0.02221,0,0,0
20,0,0.04594,0,0,0.00483,0.00032,8.5439,0,0,0,0,0,0,0,0.00162,1.49793,0,0.00722,0,0,0.00992,19.50855,9.43659,0,0,0,0,0.0133,0.60033,0,12.6723,0.00565,0,0,0.00107,0,0,0,0,0,0,0,0.07043,0.20564,0,0,1.22154,0.04691,0,0,0,0,0.05111,0.65752,0,0.96289,0,0.00788,0.53193,0,0,0,0,0,0.0026,0.05899,0,0,0,2.86837,0.12753,0,0,0,0.03557,0,0,0.00195,0,0,0.00774,0.00434,0,0,0.00558,0,0.00126,0,0.00877,0.77494,10.0782,0,6.80134,0.50883,0.00011,0,0.15532,0,0.9512,0.94533,0.03966,0,0,0.00151,0.01438,0,0,2.06689,0.00021,7.49794,0.16414,0,0,0.02301,0.00145,0,0,0,0,0.06897,0,0.0073,0.18482,0.00075,0.00934,0,0,0,0,4.21549,0.78933,0.01392,0,0.21045,0,3e-04,3.83398,0.24928,0.26747,0.02085,0.60881,0,0,0,0.0276,0.09339,0,0,0,0.00801,0.10738,0.03004,0,0,0
21,0,0.15508,0.00436,0.00187,0.05325,0.0482,8.43227,0.00218,0,0,0,0.00544,0.00033,0.01558,0.00423,2.00651,0,3e-04,0,0,0,8.59573,4.64214,0,0.00466,0.00152,0,0.01769,0.08293,0,2.88271,0.12722,0.03796,0.01113,0.07973,0.31251,0.11508,0,0.02087,0,0,0.02476,0.73061,0.36911,0,2.35881,1.77077,0.17895,0,0,0,0,0,0.22026,0,2.69155,0,0,0.08459,0.01324,0,0,0,0,0,0.01117,0,0,0,3.99429,0.0169,0,0,0,0.00407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01701,1.41939,14.00714,0,15.28536,1.73482,0.00468,0,0.04344,0,0.86449,2.19278,0.04095,0,0.01439,0,0.00016,0,0.00292,6.5406,0.00025,3.58868,0.01676,0,0,0.01275,0,0.00285,0,0.0045,0.04514,0.76012,0,0.00601,0.94165,0,0,0,0,0.02385,0,2.64945,0.15526,0.01777,0,0.82745,0,0.01046,2.62428,0.52386,3.58714,0.00291,0.03183,0,0,0.01942,0.69919,0.6687,0,0,0,0.01355,0.46431,0.00313,0,0,0
