time,Actinomyces,Schaalia,Bifidobacterium,Rothia,Corynebacterium,GGB9358,Olsenella,Collinsella,GGB51959,Adlercreutzia,Eggerthella,GGB45432,GGB9365,Gordonibacter,Raoultibacter,Slackia,Bacteria_unclassified,Bacteroides,Phocaeicola,Butyricimonas,Odoribacter,Leyella,Paraprevotella,Segatella,Alistipes,Parabacteroides,GGB1661,Candidatus_Saccharibacteria_unclassified,Bacillus,Gemella,Granulicatella,Enterococcus,Lacticaseibacillus,Latilactobacillus,Leuconostoc,Ligilactobacillus,Limosilactobacillus,Pediococcus,Weissella,Lactococcus,Streptococcus,Bacillota_unclassified,GGB2998,Negativibacillus,GGB2652,GGB2848,GGB51129,GGB3109,GGB3321,GGB3363,GGB3256,GGB4552,GGB9062,GGB58158,GGB45614,GGB9534,GGB52130,GGB9715,GGB9719,GGB36777,GGB51510,GGB3005,GGB58233,GGB51647,GGB9491,Christensenella,Acutalibacter,Anaeromassilibacillus,GGB9457,GGB9760,Bianquea,Agathobaculum,Clostridiaceae_unclassified,Clostridium,GGB3550,Lactonifactor,Pilosibacter,Anaerofustis,Eubacteriaceae_unclassified,Eubacterium,GGB3278,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,GGB2980,Lentihominibacter,Candidatus_Cibionibacter,Eubacteriales_unclassified,Flintibacter,Gemmiger,Intestinimonas,Anaerotruncus,Angelakisella,Bittarella_ex_Durand_et_al_2017,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB36331,GGB9237,GGB9469,GGB9619,GGB9620,GGB9646,GGB9699,GGB9788,Hominenteromicrobium,Hominilimicola,Hydrogenoanaerobacterium,Lawsonibacter,Massiliimalia,Merdimmobilis,Neobittarella_ex_Bilen_et_al_2018,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Anaerotignum,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Catenibacillus,Coprococcus,Cuneatibacter,Dorea,Eisenbergiella,Enterocloster,Faecalicatena,Faecalimonas,Frisingicoccus,Fusicatenibacter,GGB3511,GGB3619,GGB3737,GGB3828,GGB42621,GGB42632,GGB51491,GGB51511,GGB74412,Gallintestinimicrobium,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Lachnotalea,Mediterraneibacter,Oliverpabstia,Roseburia,Sellimonas,Simiaoa,Waltera,Wansuia,Mogibacterium,GGB4456,Intestinibacter,Paeniclostridium,Paraclostridium,Peptostreptococcus,Romboutsia,Coprobacillus,Faecalibacillus,Thomasclavelia,Amedibacillus,Amedibacterium,Dielma,Erysipelotrichaceae_unclassified,Holdemanella,Holdemania,Longicatena,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Allisonella,Dialister,Megasphaera,Veillonella,Parvimonas,Fusobacterium,Comamonas,Oxalobacter,Parasutterella,Sutterella,GGB6606,Aeromonas,Atlantibacter,Citrobacter,Enterobacter,Escherichia,Klebsiella,Kluyvera,Pluralibacter,Raoultella,Acinetobacter,Aggregatibacter,Haemophilus,Cloacibacillus,Bilophila,GGB9818,Akkermansia
15,0.00388,0.00057,0.05875,0,0,0.14125,0.00012,1.55354,0.04478,0.41377,0,0.03236,0.04156,0.01254,0.00675,0.21128,0.07637,3.07018,2.30315,0.01952,0.22572,0,0,6.68959,3.80238,0.60783,0,0.00116,0,0.00408,0,0.96986,0,0,0,0,0.00673,0,0,0.17369,0.10888,0.01286,0.10486,0.71493,0.09825,0.00184,0.06553,0.07988,0.00521,0.25544,0,1.83441,0,0.00226,0.00028,0.01001,0.00783,0.29244,0.01352,0.00032,0.00287,0.00235,0.00148,1.27118,0.01592,0.03253,0,0.00241,0,0.13562,0.03772,0.96803,0.58649,1.21131,0.11994,0.01802,0.49388,0,0.06964,0.33514,1.27398,0,0.00052,0.14269,0.67078,0.00141,0.02028,2.05098,0.03672,0.0128,0.00122,0.00643,1.74666,7.95697,0.07654,0.56747,0.00211,0.01043,0.02397,0.0074,0.00294,0.46756,0.00211,0,0.66945,0.13738,0.02381,0.03516,0.02493,0.00774,4.38027,4.04669,0.03132,0.08328,3.0163,0.10595,0.68257,1.04723,7.96909,1.61547,0.77698,0.47589,4.9913,0,1.0246,0.00011,1.65372,0,0.07321,1.63546,0,0.05071,2.23152,0.00061,0.00012,0.31413,0.0188,0.00155,0.01667,0.06325,0.01829,0,0.07427,0.13005,0.09655,0,0.39551,0.00135,1.98927,0.21624,4.21353,0,0.22712,3.36104,0.02213,0.00244,0.00994,0.03317,0,0,0,1.42717,0.05577,0.48341,0,0,0,0.0026,0.0252,0,0.04881,0.021,0,0.30081,0.04436,2.4335,0.00387,0.04638,0,0,0,0,0,0,0.00339,0.00843,0.8156,0,0,0,0.01614,0.07658,1.22195,0.14215,0.00089,0,0,0,0,0.0171,0.00037,0.33701,0.00462,0
16,0.01815,0.00887,0.09893,0,0,0.14556,0.00061,1.46814,0.04599,0.42165,0.00347,0.04854,0.0336,0.01447,0.01034,0.20533,0.13185,2.36469,2.29154,0.01963,0.40394,0,0,2.61938,3.22723,0.96982,0,0,0,0.03906,0.00123,0.01668,0.0823,0,0,0,0.08396,0,0.60944,2.08976,0.48855,0.00628,0.04149,0.76609,0.09422,0,0.06148,0.1161,0,0.29145,0,0.8661,0,0.00043,0,0,0.00659,0.1741,0.00734,0,0,0.00521,0,2.18094,0.01498,0.04678,0,0,0,0.23308,0.01658,1.77108,0.76319,0.96777,0.07383,0.00827,0.32138,0,0.01706,0.42974,2.44514,0,0.00239,0.09651,0.64499,0,0.00693,1.4666,0.05724,0.00725,0,0.01685,0.30983,5.50327,0.09085,0.91007,0,0.01112,0.005,0,0.00089,0.10176,0.00429,0,0.85841,0.12026,0.00784,0.03524,0.02004,0.01969,1.06327,1.44039,0.05637,0.01335,2.913,0.16328,0.14396,0.65063,10.05262,1.71828,1.24365,0.56333,7.73826,0.00219,1.83384,0.00115,1.82505,0.00185,0.05612,4.85677,0,0.06798,2.69945,0,0,0.16235,0.00958,0,0.0091,0.06633,0.01275,0.00722,0.09749,0.02879,0.09336,0,0.33002,0,3.38392,0.37895,7.23035,0,0.10927,1.34547,0.0342,0.00235,0.93886,0.06557,0,0,0.00151,0.84884,0.00249,0.64614,0,0,0,0.006,0.02522,0,0.15612,0.02466,0,0.03329,0.02286,1.69142,0.01979,0.01755,0.00368,0,0,0.00169,0.00248,0,0.00144,0.0026,0.19944,0,0,0,0.01208,0.21923,2.24706,0.06432,0.00031,0,0,0,0,0.09845,0.00274,0.25114,0,0
17,0.01078,0.00779,0.69298,0,0,0.09972,0,3.93699,0.00516,0.18518,0.00167,0.00512,0.01567,0.00582,0,0.31437,0.01308,1.51437,2.20581,0,0.00253,0.00092,0.00243,4.77021,0.17225,0.61651,0,0,0,0.01474,0.00039,0.00037,0,0,0,0,0.33585,0,0,0.4266,0.17042,0,0,0.04644,0.0051,0,0,0.01307,0,0.80978,0.00017,0.07868,0,0,0,0,0.00084,0.27828,0,0,0,0,0,0.32588,0.02238,0,0,0.00018,0,0.05807,0,1.40138,0.32552,2.35416,0.03715,0,0.31203,0,0,0.5207,0.29923,0,0,0.0636,1.06393,0,0,2.01073,0,0,0,0,0.01829,5.25398,0.00199,0.06306,0,3e-04,0,0,0,0.00047,0,0.00099,0.35668,7e-04,0,0.002,0,0,0.0926,0.58718,0.00764,0,1.06305,0.03348,0.01552,0.30572,8.64641,3.07299,3.26808,0.46432,12.90152,0.00536,0.94691,0,2.34791,0,0.00789,8.42834,0,0,10.30804,0,0,0.12844,0.016,0,0.00053,0.14543,0.00052,0,0.15108,0.01068,0.03641,0,0.31747,0,2.88732,0.67876,3.22224,0,0.02033,0.03917,0.00404,0.0037,0.0054,0.00166,0,0,0.00313,0.81114,0,1.86115,0.0026,0,0,0,0.01093,0,0.03394,0.01324,0,0.29254,0.05769,1.0218,0.04184,0.20118,0.01328,0,0,0.00142,0.01683,0,0,0.00125,0.37151,0,0,0,0.01473,0.56099,0.50123,2.31229,0,0,0,0,0.00095,0.39772,0,0.03097,0,0
18,0,0,0.83469,0,0,0.00808,0,1.10977,0.01727,0.0269,0.00166,0.00794,0.00311,0.00837,0,0.137,0.03168,3.57351,3.73425,0.00619,0.49659,0.0043,0.00249,24.05306,2.54754,5.71256,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0.01624,0.0493,0,0.00916,0.04514,0.1178,0,0.0061,0.10912,0.00641,0.49938,0,0.85835,0,0,0,0,0.00222,0.12057,0,0,0,0,0,0.5963,0.00436,0.00068,0,0.00072,0,0.0668,0,0.61833,0.22427,0.74237,0.13598,0,0.20627,0,0.00371,0.17835,0.49198,0,0,0.05215,1.0784,0,0,1.53448,0,0,0,0,0.74718,4.9308,0.01515,0.1886,0,0.01605,0.00652,0,0,0.11703,0,0,0.32304,0.02005,0.00292,0.00362,0.00128,0.00032,0.88281,2.38568,0.02842,0,0.59,0.049,0.12166,0.29835,4.9618,1.72657,2.09172,0.50853,5.28537,0.00472,0.7974,0,0.93867,0,0.01358,2.77802,0,0,4.58376,0,0,1.58981,0.01355,0,0.0016,0.06562,0.00318,0.00045,0.12878,0.07311,0.00903,0,0.31225,0,1.04316,0.39876,4.07306,0,0.23947,1.26294,0.0059,0,0.5923,0,0,0,0,0.2246,0.00173,0.95916,0,0,0,0,0.00363,0,0.02966,0.00141,0,0.00092,0.02413,2.91126,0.02027,0.01315,0.00779,0,0,0,0.0848,0,0,0.00471,0.97437,0,0,0,0.03875,0,0.15368,0.03896,0,0,0,0,0,0.07217,0,0.11123,0,0
19,0.00671,0.00312,1.56659,0,0,0.04562,0,2.1277,0.00279,0.05777,0,0.00416,0.0083,0.00541,0,0.16226,0.00215,1.42499,1.71638,0,0.05268,0,0,9.82794,0.32559,3.32944,0,0,0,0.00254,0,0.01071,0,0,0,0,0,0,0.00031,0.15576,0.18687,0,0,0.01519,0.05636,0,0,0.0243,0,0.82057,0,0.51642,0,0,0,0,0.00122,0.13665,0,0,0,0,0,0.65833,0,0,0,0,0,0.08702,0,1.73847,0.16502,1.31543,0.01186,0,0.47745,0,0.00049,0.23536,0.83451,0,0,0.04533,1.18587,0,0,3.58709,0,0,0,0,0.22396,5.55787,0.00319,0.09356,0,0,0,0,0,0.00459,0,0,0.43325,0.0012,0,0,0,0,0.26712,3.73532,0.01133,0,2.48515,0.00414,0.02097,0.24982,6.56002,1.76618,2.06251,0.9764,8.40979,0.00028,0.86157,0,1.54957,0,0,4.16286,0,0,9.5927,0,0,0.42119,0.0132,0,0.00552,0.07497,0,0,0.25109,0.00681,0,0,0.35334,0,1.93544,0.74813,4.18944,0,0.16029,0.64225,0.00361,0,0.02528,0.2554,0,0,0,1.10327,0,1.89899,0,0,0,0,0,0,0.00776,0.00467,0,0.08657,0.03807,1.40335,0,0.07285,0,0,0.02774,0,0,0,0,0,0.62112,0,0,0,0,0.37219,0.15483,2.9263,0,0,0,0,0.00456,0.21955,0,0.00013,0,0
20,0,0,0.36291,0,0,0.12914,0,1.2717,0.00337,0.14238,0.00504,0.01027,0.01702,0.00617,0,0.12274,0.03153,2.24168,1.9931,0,0.2257,0.00115,0,25.58033,1.44703,3.11643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47298,0.00611,0,0.00403,0.05118,0.01823,0,0.00686,0.02488,0,0.16089,0,0.58685,0,0,0,0,0.00023,0.12843,0,0,0,0,0,0.84162,0.00699,0.00061,0,0.00448,0,0.04172,0,1.00753,0.2568,2.10534,0.05179,0,0.34129,0,0.008,0.10673,0.77832,0,0,0.08014,0.81951,0,0,2.16946,0,0,0,0,0.27463,9.39828,0.02821,0.11037,0,0.03516,0.00612,0,0,0.00513,0,0,0.63787,0.01416,0.0016,0.00654,0.01038,0,0.73331,1.6308,0.00758,0,0.70476,0.01976,0.05586,0.21399,6.77816,1.41317,1.18862,0.36164,4.00224,0,0.74846,0,1.11115,0,0.00162,3.00716,0,0,4.03622,0,0,0.34334,0.00813,0,0.00552,0.05397,0.00138,0.00937,0.26884,0,0.03941,0,0.23267,0,1.00188,0.34654,4.36335,0,0.1747,0.64043,0.00548,0,0.0075,0.06779,0,0,0,0.69015,0,1.15342,0,0,0,0,0.00052,0,0.02103,0.00273,0,0.07766,0.03975,2.87967,0.00793,0.0609,0.00844,0,0,0,0.03554,0,0,0,0.65132,0,0,0,0,0.98215,0.04583,2.2289,0,0,0,0,0,0.07772,0,0.13444,0,0
21,0.00022,0.00083,1.29812,0,0,0.04305,0,3.4278,0.0462,0.04982,0.00346,0.02717,0.00382,0.02161,0,0.20172,0.04066,1.69989,1.06439,0,0.07185,0,0.00187,6.08922,0.77734,3.42884,0,0,0.00498,0,0,0,0,0,0,0,0.98289,0,0,0.19461,0.0807,0,0.01569,0.04572,0.03097,0,0.02386,0.0308,0,0.09583,0,0.38974,0,0,0,0,0.00377,0.25842,0.00533,0,0,0,0,1.83865,0.00762,0.00604,0,0.00752,0,0.04372,0,0.91119,0.25255,1.32721,0.0658,0,0.2685,0.00238,0.0273,0.69955,0.37322,0,0,0.14908,1.72138,0,0,3.45363,0.00014,0,0,0,0.39437,11.005,0.01109,0.31725,0,0.16422,0.0106,0.00023,0,0.09049,0,0,0.36862,0.03422,0.00247,0.01852,0.01145,0.00176,0.83834,3.51089,0.00344,0.00118,1.88228,0.02079,0.13873,0.51166,10.323,1.2685,1.45324,0.31345,6.84511,0.01594,1.3497,0,2.45672,0,0.00287,3.19373,0,0.00112,6.60839,0,0,0.06543,0.00276,0.00014,0.01519,0.06946,0.00888,0.00197,0.30458,0.01425,0.03959,0,0.33242,0,1.71658,0.59526,1.69186,0.00959,0.30907,1.29128,0.02122,0.0049,0,0.00239,0,0,0,0.26972,0,1.8242,0,0,0,0,0.00421,0,0.01527,0.0081,0,0.03101,0.14633,3.06788,0.0231,0.25302,0,0,0,0,0.00012,0,0,0.00062,0.51549,0,0,0,0,0.23595,0.01938,2.21091,0,0,0,0,0,0.00577,0,0.08603,0,0
22,0,0.00168,1.28225,0,0,0.04879,0,3.12686,0.02402,0.03372,0,0.01894,0.00691,0.01488,0,0.14283,0.02517,1.5769,1.38808,0.00344,0.16262,0,0.00226,8.05766,2.04551,4.64626,0,0,0,0,0,0.06228,0,0,0,0,0,0,0.03433,1.84788,0.00088,0,0.01085,0.06952,0.02073,0,0.02755,0.02286,0,0.04798,0,1.23987,0,0,0,0,0.00127,0.17977,0.00413,0,0,0,0,6.37596,0.00991,0.00369,0,0.0324,0,0.05171,0.0027,0.49601,0.23815,0.67418,0.02074,0,0.2286,0,0.0249,0.23791,0.55358,0,0,0.12302,2.73861,0,0,2.38732,0.00076,0,0,0.00014,0.38525,8.58836,0.00596,0.23519,0,0.10576,0.00394,0,0,0.08238,0,0,0.22783,0.03991,0,0.01169,0.00826,0.00065,0.88001,1.85591,0.00442,0.00022,2.51613,0.01458,0.19778,0.23759,10.99049,1.08034,0.96869,0.22401,6.32961,0.00871,0.65743,0,1.61525,0,0.00301,2.61071,0,0.00317,5.56325,0,0,0.10066,0.00052,0,0.0205,0.04658,0.00847,0,0.28801,0,0.02584,0,0.26389,0,0.87108,0.4336,1.95698,0.00279,0.51438,1.2314,0.01002,0.00162,0.15226,0.07448,0,0,0,0.32587,0,0.92679,0,0,0,0,0,0,0.01428,0.0023,0,0.1948,0.17084,1.81533,0.00356,0.15449,0.00218,0,0,0.00277,0,0,0,0.00177,0.44454,0,0,0,0.05065,0.09342,0.06094,3.78764,0.00133,0,0,0,0,0.02061,0,0.08739,0,0
23,0,0,0.64427,0,0,0.00683,0,1.46473,0.00013,0.02616,0,0.00054,0.00304,0.0052,0,0.12935,0.00531,1.32416,1.3123,0,0.04694,0,0.00503,37.46094,0.65688,1.49907,0,0,0,0,0,0.04749,0,0,0,0,0.0541,0,0.01589,3.33763,0.01262,0,0.00041,0.02918,0,0,0.00281,0.07047,0,0.00892,0,0.6596,0,0,0,0,0,0.29897,0,0,0,0,0,0.71675,0.00137,0,0,0,0,0.02786,0,0.75106,0.17262,2.41186,0.02221,0,0.18499,0,0,0.38581,0.62752,0,0,0.01298,1.19791,0,0,1.62637,0,0,0,0,0.32484,6.33933,0.00945,0.0499,0,0.02918,0.00502,0,0,0.03786,0,0,0.44886,0.04183,0,0.00388,0.00346,0,0.47037,0.55529,0.00693,0,0.32654,0.01318,0.06561,0.26331,4.8162,0.83259,0.73628,0.2148,5.37836,0.01751,0.56947,0,1.41656,0,0,2.03269,0,0.00674,3.72724,0,0,0.46717,0.00948,0,0.01104,0.03321,0.0055,0,0.16671,0,0.00933,0,0.19314,0,0.51662,0.27191,2.10402,0,0.62784,1.14467,0.00075,0,0,0,0,0,0,0.46766,0,1.31698,0,0,0,0,0,0,0.02109,0,0,0,0.04895,2.70605,0.02843,0.06483,0.00145,0,0,0,0,0,0,4e-04,0.55626,0,0,0,0.93133,0.8155,0.89817,0.44717,0.07444,0,0.00201,0,0,0.01041,0,0.03595,0,0
24,0,0,1.94893,0,0,0.01554,0,2.87275,0.0058,0.04005,0,0.0053,0.00236,0.00272,0,0.10084,0,2.01397,1.78444,0,0.0206,0,9e-05,22.8951,0.39234,3.97778,0,0,0,0,0,0.00103,0,0,0,0,0.12037,0,0.04866,0.30034,0.04223,0,0,0.00081,0,0,0,0.05127,0,0.00187,0,0.40171,0,0,0,0,0,0.29241,0,0,0,0,0,1.28511,0.00286,0,0,0.00852,0,0.02564,0,0.6474,0.18732,1.23908,0.04096,0,0.13569,0,0,0.19525,0.08954,0,0,0.04873,2.88525,0,0,1.38925,0,0,0,0,0.64556,7.16468,0,0.05388,0,0.01534,0,0,0,0.02651,0,0,0.31886,0.01088,0,0,0,0,0.37775,1.22913,0.02507,0,0.8112,0.00257,0.05197,0.23405,11.11061,0.98611,0.90031,0.14894,7.14667,0.01399,0.59136,0,1.31546,0,0,2.07753,0,0,4.8311,0,0,0.19076,0,0,0.0115,0.04965,0,0.00039,0.66991,0.00668,0,0,0.28606,0,0.464,0.51628,1.33252,0.00121,0.52127,0.60215,0.00086,0.00165,0,0,0,0,0,0.18698,0,0.51689,0,0,0,0,0.00202,0,0.00173,0.00177,0,0.14669,0.43988,4.55807,0.03308,0.42652,0,0,0,0.00123,0,0,0,0.00932,1.52172,0,0,0,0.05933,0.12966,0.8144,0.77279,0,0,0.00374,0,0,0.10068,0,0.00749,0,0.00172
25,0.0032,0.00081,0.85199,0,0,0.21346,0,2.07974,0.03809,0.19329,0.0034,0.04153,0.01149,0.03648,0.00521,0.18319,0.04586,2.42374,2.40805,0.00305,0.14903,0,0,9.60676,2.16308,3.0263,0,0,0,0.01915,0.00048,0.42703,0,0,0,0,0.00755,0,0.30538,0.48961,0.27979,0.00171,0.05887,0.17403,0.06672,0,0.0449,0.13705,0,0.0042,0,0.68083,0,0.00035,0,0.01193,0.00934,0.79969,0.00939,0,0,0,0,1.65023,0.01698,0.01351,0,0.01827,0.00377,0.09147,0.01444,0.95706,0.40569,0.79329,0.02571,0.00316,0.25325,0,0.04978,0.22155,0.13966,0,0.00053,0.10616,2.52152,0,0.00716,1.50316,0.04517,3e-04,0,0.00201,1.00759,7.94286,0.0656,0.3853,0,0.2454,0.00691,0.0022,0.01065,0.38576,0.00143,0,0.34565,0.06339,0.05102,0.01686,0.01888,0.00504,1.8274,2.76959,0.01005,0.0143,1.11212,0.06975,0.30661,0.61012,8.64165,1.09588,0.52427,0.46484,6.30362,0.01662,1.50941,0,2.14469,0,0.02254,1.15943,0,0.02927,6.24007,0.00137,0.00427,0.10026,0.00683,0,0.02108,0.06951,0.01474,0.00594,0.27828,0,0.02396,0,0.39352,0,1.10046,0.63081,2.97876,0.00357,1.01551,1.92642,0.03127,0.00283,0.00518,0.00388,0,0,0.00213,0.22482,0.00058,1.14722,0,0,0,0,0.00191,0,0.04345,0.01307,0,0.02161,0.1843,3.09996,0.02438,0.10952,0.00303,0,0.00355,0.00113,0.00177,0,0,0.00496,0.70596,0,0,0,0.01272,0.12691,3.50813,0.64803,0.02166,0,0.00965,0,0,0.0463,0,0.1272,0,0.00129
26,0,0,0.2477,0.00428,0,0.02664,0,1.63896,0.01195,0.03,0,0.0083,0.00097,0.02243,0,0.16083,0.01763,2.1878,2.458,0.01099,0.1613,0.00068,0.00311,27.6133,1.59594,5.13499,0,0,0,0.00964,0.00025,0.08482,0,0,0,0,0,0,0,0.00326,0.13233,0,0.02077,0.04198,0.00811,0,0.01244,0.06975,0,0.00107,0,1.01143,0,0,0,0,0.00094,0.41621,1e-04,0,0,0,0,0.66617,0.00718,0.00039,0,0.01446,0,0.08582,0,0.37733,0.36357,0.82306,0.03929,0,0.13344,0,0.00756,0.25623,0.10666,0,0,0.02041,1.17558,0,0.00099,0.69387,0.00375,0,0,0,0.55838,6.04461,0.07152,0.12192,0,0.08458,0.02545,0,0,0.18704,0,0.01385,0.32017,0.03969,0.00921,0.00984,0.00379,0.00346,0.58161,0.87149,0.03248,0.00443,0.44535,0.04549,0.11462,0.3478,7.44782,0.77836,0.82079,0.34188,6.44713,0.01552,0.99417,0,1.21555,0,0.00691,2.46539,0,0.00833,3.77637,0,0.00942,0.6717,0.01745,0,0.00486,0.04933,0.00271,0,0.29682,0.00599,0.00869,0,0.44366,0,1.0492,0.23835,3.76947,0.00256,0.98068,1.74745,0.00918,0.00314,0,0.00309,0,0.00583,0,0.02549,0.00565,2.03498,0,0,0,0,0.00798,0,0.03136,0.01297,0,0,0.06666,3.09744,0.01278,0.0057,0.01175,0.00145,0.00501,0,0.07998,0.00029,0,0.00091,0.83298,0,0,0,0.00476,0.71227,0.07053,1.22539,0,0,0,0,0.00507,0.13926,0.00018,0.10991,0,0
27,0,0,0.13111,0.00031,0,0.02252,0,1.32367,0.01803,0.06498,0.00181,0.03281,0.00039,0.0296,0.00687,0.13385,0.04928,2.22259,1.86145,0.02617,0.2236,0,0.00433,18.21505,2.727,4.86472,0,0,0,0.00013,0,0.1985,0,0,0,0,0,0,0,0.01019,0.0356,0.00413,0.05784,0.14605,0.02996,0,0.07134,0.06815,0,0.1107,0,0.68747,0.00217,0.00095,0,0.01186,0.00754,0.35295,0.00643,0.00038,0.00029,0.00033,0.00214,1.6942,0.00668,0.014,0.00163,0.01588,0.00494,0.10326,0.00146,0.6724,0.62826,1.31204,0.10693,0.00079,0.22974,0,0.01768,0.29348,0.46964,0,0.00186,0.04579,1.28321,0,0.01525,0.96009,0.04602,0.00469,0.00116,0.00569,3.00276,5.75904,0.07671,0.3786,0,0.23635,0.05194,0.00303,0.00155,0.33734,0.00324,0.00042,0.67681,0.08754,0.02617,0.0285,0.03249,0.01172,2.37966,3.02633,0.02379,0.01858,0.44521,0.14621,0.34229,0.88093,5.12966,0.7082,0.50063,0.33383,4.81682,0.00703,1.10003,0.00011,1.13502,0,0.02509,2.07709,0,0.04493,4.0788,0,0.13346,0.30322,0.0183,0,0.01188,0.05312,0.00607,0.00136,0.56562,0,0.03845,0,0.62973,0.00136,0.79896,0.29116,3.43917,0.00631,3.8953,4.18374,0.02741,0,0,0.00343,0,0.00934,0,0.26904,0,0.63967,0,0,0,0,0.00286,0.00073,0.05504,0.00568,0,0,0.07747,2.82201,0.01596,0.01238,0.00935,0.00052,0,0,0.00098,0,0.0038,0.00305,1.12884,0,0,0,0.00519,0.07483,0.3865,0.21142,0.00188,0,0,0,0,0.00224,0,0.21673,0,0
28,0,0,0.21418,0,0,0.03186,0,1.33799,0.00302,0.01987,0,0.00642,0.00382,0.01197,0,0.06791,0.00404,0.89904,1.03526,0.00191,0.05794,0.0043,0.00461,28.37746,0.52598,2.207,0,0,0,0.00465,3e-04,0,0,0,0,0,0,0,0,0.00073,0.07759,0,0.00909,0.02959,0.00933,0,0.00861,0.07687,0.00043,0.01364,0,0.73764,0,0,0,0,0,0.25129,0,0,0,0,0,0.92677,0.00506,0,0.00062,0.01173,0.0029,0.05617,0,0.44657,0.28941,0.78665,0.09025,0,0.24729,0,0.00767,0.38144,0.78572,0,0,0.03363,1.37905,0,0,1.07936,0.00044,0,0,0,0.72045,4.95315,0.0064,0.06845,0,0.06415,0.00895,0,0,0.09777,0,0.00753,0.53546,0.01682,0.00017,0.00584,0,0.00016,0.36564,1.0974,0.00541,0,0.58773,0.01454,0.07118,0.2101,8.74042,0.86127,1.24234,0.58599,6.6491,0.01327,0.81844,0,1.38557,0,0.00141,2.40891,0,0.0085,4.2343,0,0.08633,0.98208,0.01918,0,0.0142,0.05829,0.01189,0.00641,0.55749,0,0.00771,0,0.58521,0,0.89468,0.57948,4.01308,0.00551,2.62804,2.00057,0.0088,0.00148,0,0.00706,0,0,0,0.02138,0,1.62259,0,0,0,0,0.00856,0,0.01138,0.01484,0.00151,0.01087,0.03061,2.01811,0.04688,0.00885,0.00591,0,0.00166,0,0,0.00092,0,0.00392,0.57009,0.00322,0,0,0,0.50061,0.06136,4.11401,0,0,0,0.00343,0,0.09427,0,0.02567,0,0
