"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,73.25938,0,0,0,0,0.27637,0.29386,0,0,0,0,0,8.38407,0,4.8321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15304,0,0,0,0.02689,0,0.0115,0,0,0,0.65843,0,0,0,0,0.59915,0,0,0.12589,0.12102,0,0,0.10442,0.11852,0,0,0,0,0,0,0,0,0.26876,0,0,0,0,0,0,0.02369,0,0.0067,1.00912,3.15531,0.09501,0.00983,0,0,0.34085,0.44859,0.10426,0,0,0.00229,0,0,0,0,0,0,0,0,0.0094,0,0,0,0.00729,5.22168,0.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153,0,0,0,0.00069,0,0,0,0,60.87135,0,0,0,0,0.38536,0.19293,0,0,0,0,0,10.78588,0,2.00847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0.04836,0.00349,0.0618,0,0,0,1.07107,0,0,0,0,0.50717,0,0,0.28279,0.29427,0.0033,0,0.27122,0.17736,0,0,0,0,0.00015,0,0,0,0.35052,0,0,0,0,0,0,0.04454,0,0.04769,1.34098,14.81362,0.40161,0.09355,0.00057,0,1.74598,0.46429,0.03861,0,0,0.00055,0,0,0.00034,0,0,0,0,0,0.04786,0,0,0,0.05033,3.06118,0.3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0,0.00542,0.00088,0.0117,0,0,0,0,62.55278,0,0,0,0,0.57971,0.1936,0,0,0,0,0,9.0126,0,3.44497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0.17115,0,0,0,0.02569,0.00129,0.04338,0,0,0,1.56479,0,0,0.08551,0,1.31444,0,0,0.3879,0.56207,0,0,0.31441,0.29855,0,0,0,0,0,0,0,0,0.8935,0,0,0,0,0,0,0.03034,0,0.00889,1.64707,9.92632,0.86028,0.19133,0,0,0.31207,0.42767,0.04394,0,0,0.00709,0,0,0.01091,0.00083,0,0,0,0,0.15454,0,0,0,0.06292,4.73266,0.11343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1951,0,0,0,0,0.10971,0.19192,0,0,0,0,0,4.25076,0,6.10457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491,0,0,0,0.00642,0,0,0,0,0,0.13514,0,0,0,0,0.18542,0,0,0.12765,0.31241,0,0,0.1188,0.08864,0,0,0,0,0,0,0,0,0.21491,0,0,0,0,0,0,0.00271,0,0.00961,1.51314,5.789,0.22401,0.03233,0,0,0.17045,0.43678,0,0,0,0,0,0,0,0,0,0,0,0,0.02218,0,0,0,0.00833,1.57438,0.0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0.04518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.38465,0,0,0,0,0.12463,0.18727,0,0,0,0,0,5.27213,0,1.81375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602,0,0,0,0,0,0,0,0,0,0.5363,0,0,0,0,0.36809,0,0,0.04653,0.12761,0,0,0.04652,0.02521,0,0,0,0,0,0,0,0,0.09942,0,0,0,0,0,0,0,0,0.00118,0.89733,4.88345,0.08606,0.00145,0,0,0.06257,0.19614,0.01528,0,0,0.00383,0,0,0,0,0,0,0,0,0.00595,0,0,0,0.00798,3.68165,0.11159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743,0,0.00917,0.0014,0,0,0,0,0,53.28121,0,0,0,0,0.69895,0.29228,0,0,0,0,0,11.79733,0,2.79689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11857,0,0,0,0.03571,0,0,0,0,0,0.5128,0,0,0,0,3.58622,0,0,0.91087,3.30188,0,0,1.02267,0.38784,0,0,0,0,0,0,0,0,2.18558,0,0,0,0,0,0,0.02585,0,0.0296,1.66542,9.61771,0.21297,0.0608,0,0,1.37296,2.79692,0,0,0,0.00459,0,0,0,0.01793,0,0,0,0,0.03119,0,0,0,0.0924,3.01979,0.10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0.03119,0,0,0,0,0,0,0,0,0,0,0.00552,0,0,0,0,0,0,0,0,71.63944,0,0,0,0,0.19797,0.33011,0,0,0,0,0,6.69737,0,3.18128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0,0,0.00998,0,0,0,0,0,0.86952,0,0,0,0,0.89737,0,0,0.28417,0.75994,0,0,0.26802,0.03508,0,0,0,0,0.31413,0,0,0,0.63157,0,0,0,0,0,0,0.00916,0,0.00093,2.64527,4.86371,0.10188,0.00249,0,0,0.37742,0.79092,0.00613,0,0,0.01325,0,0,0,0,0,0,0,0,0.01462,0,0,0,0.01307,3.82809,0.20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69645,0,0.04538,0,0,0,0.01968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15555,0,0,0,0,0,0,0,0,0,0,0.03544,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.00636,0,0,0,0,0.31445,0.28785,0,0,0,0,0.00737,6.93741,0,5.31106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11168,0,0,0,0.01616,0,0.00629,0,0,0,0.30797,0,0,0,0,0.23338,0,0,0.20029,1.16951,0,0,0.26355,0.13972,0,0,0,0,0.00024,0,0,0,0.57248,0,0,0,0,0,0,0.0083,0,0,2.08025,9.08473,0.24365,0.05634,0,0,0.11588,1.22866,0.01603,0,0,0,0,0,0.03125,0,0,0,0,0,0.05838,0,0,0,0.02072,0.88362,0.20274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08004,0,0.00329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0.06027,0,0,0,0,0,0,0,0,0,0,0.00866,0,0,0,0,0,0,0,0,66.3769,0,0,0,0,0.20465,0.36793,0,0,0,0,0,7.10913,0,4.3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0.05694,0,0,0,0.02253,0,0,0,0,0,0.90385,0,0,0,0,0.35459,0,0,0.36886,1.46621,0,0,0.32413,0.13593,0,0,0,0,0.00062,0,0,0,0.53449,0,0,0,0,0,0,0.03524,0,0.00634,2.55724,7.31294,0.27797,0.03975,0,0,0.2265,1.41678,0.02971,0,0,0.00227,0,0,0,0,0,0,0,0,0.0437,0,0,0,0.01834,3.74835,0.31183,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,1.10719,0,0.05381,0,0,0,0.09754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0.01057,0,0,0,0,0,0,0,0,0,0,0.00119,0,0,0,0,0,0,0,0,73.6287,0,0,0,0,0.5185,0.42536,0,0,0,0,0,9.17348,0,3.55225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02254,0,0,0,0.01095,0.03784,0,0,0,0,0.23178,0,0,0,0,0.5017,0,0,0.14946,0.26025,0,0,0.09867,0.18434,0,0.12539,0,0,0,0,0,0,0.22858,0,0,0,0,0,0,0.00359,0,0,2.99778,2.41174,0.18073,0.1148,0,0,1.18935,0.71544,0.0038,0,0,0,0,0,0.02348,0,0,0,0,0,0.0135,0,0,0,0.03074,2.47551,0.19842,0,0,0,0,0.13666,0,0,0,0,0,0,0,0,0,0,0,0.29823,0,0.00962,0,0,0,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01346,0,0,0,0,0,0,0
