"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
0,0,0,0,0,0,0,0,0,0.1532,0,0,0,0,0,0,0,0,0,0,0.04688,0,0,0,0,0,0,0,0,76.38494,0,0,0,0,0,0.58503,0,0,0,0,0,10.06949,0,7.10944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054,0,0,0,0.01275,0,0,0,0,0,0.00049,0,0,0,0.19066,0,0,0.04817,0,0.2278,0,0,0,0.04941,0.00759,0,0.0115,0,0,0.67644,0,0,0.19478,0.00635,0,0,0,0,0,0,0,0,0,0.00137,0,0,0,1.0509,0.14568,0,0,0,0.30829,0.1498,0.0814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04631,0,0,0,0,0,0,0.01114,0.08181,0.00192,0,0,0,0,0,0,0,0,0,0.15385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04001,0,0,0,0,0,0,0,0,0,0,0,0,0.02245,0,0,0,0.00516,0,0,0,0,2.11957,0,0
2,0.00277,0,0,0,0,0,0,0,0.91166,0,0,0,0,0,0,0,0,0,0,0.88635,0,0,0,0,0,0,0,0,69.75955,0,0,0,0,0,0.59279,0,0,0,0,0,10.79649,0,5.32746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15244,0,0,0,0,0,0,0,0,0.00615,0,0,0,0,0.33954,0,0,0.2283,0,0.57724,0,0,0,0.36512,0,0,0.05071,0,0,4.66886,0,0,0.23717,0.11502,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,2.2979,0.05596,0,0,0,0.27533,0.54409,0.04584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10027,0,0,0,0,0,0,0.01051,0.18075,0.00835,0,0,0,0,0,0,0,0,0,0.13207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945,0,0,0,0.0018,0,0,0,0,1.31978,0,0
3,0,0,0,0,0,0,0,0,0.93713,0,0,0,0,0,0,0,0,0,0,0.74681,0,0,0,0,0,0,0,0,66.78691,0,0,0,0,0,0.40474,0,0,0,0,0,7.56973,0,5.94887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07599,0,0.00188,0,0,0,0,0,0,0.00369,0,0,0,0,0.4741,0,0,0.88067,0,1.01768,0,0,0,0.73229,0,0,0.05024,0.00113,0,7.33895,0,0,0.44046,0.05615,0,0,0.00188,0,0,0,0,0,0,0.01223,0,0,0,1.39661,0.06834,0.00078,0,0,0.37518,0.86558,0.10866,0,0,0.00699,0,0,0,0.00125,0,0,0,0,0,0,0,0,0.19402,0,0,0,0,0,0,0.01492,0.21312,0.14439,0,0,0,0,0,0,0,0,0,0.07359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02467,0,0,0,0,0,0,0,0,3.03035,0,0
6,0,0,0,0,0,0,0,0,0.45262,0,0,0,0,0,0,0,0,0,0,0.33158,0,0,0,0,0,0,0,0,75.93958,0,0,0,0,0,0.52869,0,0,0,0,0,7.7057,0,6.13887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28846,0,0,0.39535,0,0.81173,0,0,0,0.48689,0,0,0.03423,0,0,2.54822,0,0,0.25145,0.02019,0,0,0.0014,0,0,0,0,0,0,0.00987,0,0,0,0.95441,0.07026,0.00353,0,0,0.69119,0.73686,0.09187,0,0,0.00642,0,0,0,0,0,0,0,0,0,0,0,0.01183,0.14727,0,0,0,0,0,0,0.00793,0.07335,0.06282,0,0,0,0,0,0,0,0,0,0.10826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04291,0,0
7,0,0,0,0,0,0,0,0,0.17337,0,0,0,0,0,0,0,0.00518,0,0,0.22329,0,0,0,0,0,0,0,0,76.09186,0,0,0,0,0,0.67548,0,0,0,0,0,6.38263,0,5.28474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09377,0,0,0.30681,0,1.08312,0,0,0,0.38508,0.00563,0,0.02381,0.00076,0,2.95292,0,0,0.32207,0.09969,0,0,0.00313,0,0,0,0,0,0,0,0,0,0,0.75933,0.11882,0.00525,0,0,0.46681,1.9143,0.10336,0,0,0.04383,0,0,0,0,0,0,0,0,0,0,0,0.00039,0.1117,0,0,0,0,0,0,0.00368,0.02496,0.02223,0,0,0,0,0,0,0,0,0,0.10681,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0.01862,0,0,0,0,0,0,0,0,0,0,0,0,0.02662,0,0,0.01015,0.00333,0,0,0,0,2.1441,0,0
9,0.00662,0.15368,0,0,0,0,0,0,1.1691,0,0,0,0,0,0,0,0,0,0,0.0325,0,0,0,0,0,0,0,0,74.72349,0,0,0,0,0,0.41595,0,0,0,0,0,9.4558,0,5.75643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07056,0,0.00695,0,0.04142,0,0,0,0,0,0,0,0,0,0.35526,0,0,0.32478,0,0.46364,0,0,0,0.92518,0.01282,0,0.12231,0.05298,0,0.90723,0,0,0.26295,0,0,0,0.0048,0,0,0,0,0,0,0.0124,0,0,0,2.99965,0.36942,4e-04,0,0,0.48255,0,0.1936,0,0,0.0265,0,0,0,0.00442,0,0,0,0,0,0,0,0,0.10738,0,0,0,0,0,0,0,0.208,0.03384,0,0,0,0,0,0,0,0,0,0.26441,0,0.00194,0,0,0,0,0,0,0,0,0,0,0,0.01778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423,0,0,0,0,0.00899,0,0
12,0,0.16874,0,0,0,0,0,0,0.4215,0,0,0,0,0,0,0,0,0,0,0.25325,0,0,0,0,0,0,0,0,74.92944,0,0,0,0,0,0.44601,0,0,0,0,0,8.19516,0,5.59415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02202,0,0,0,0,0,0,0,0,0,0,0.00396,0,0,0.42717,0,0,0.18642,0,0.24249,0,0,0,0.32894,0.00701,0,0.07252,0,0.07556,2.61294,0,0,0.05619,0,0,0,0.00242,0,0,0,0,0,0,0.01115,0,0,0,1.69905,0.19722,0,0,0,1.31574,0.44312,0.03959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15696,0,0,0,0,0,0,0.01655,0.17264,0.05127,0,0,0,0,0,0,0,0,0,0.1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0,0,1.6205,0,0
14,0,0.45097,0,0,0,0,0,0,1.5806,0,0,0,0,0,0,0,0,0,0,0.54415,0.00319,0,0,0,0,0,0,0,72.82051,0,0,0,0,0,0.58427,0,0,0,0,0,9.70881,0,4.53457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02341,0,0,0,0,0,0,0,0,0.00753,0.00561,0,0,0,0.14452,0,0,0.29318,0,0.7584,0,0,0,0.41796,0,0,0,0,0.01974,1.68768,0,0,0.02543,0.00286,0,0,0.0264,0,0,0,0,0,0,0,0,0,0,1.28496,0.14441,0,0,0,1.11917,0.26039,0.11917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71825,0,0,0,0,0,0,0.01692,0.18805,0,0,0,0,0,0,0,0,0,0,0.07797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01288,0,0,0,0.00227,0,0,0,0,2.41578,0,0
15,0.00531,0.13362,0,0,0,0,0,0,0.7261,0,0,0,0,0,0,0,0,0,0,0.3673,0,0,0,0,0,0,0,0,68.13879,0,0,0,0,0,0.60943,0,0,0,0,0,9.17791,0,5.01607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03819,0,0.0161,0,0.01047,0,0,0,0,0.00908,0.00422,0.00877,0,0,0.30636,0,0,0.38971,0,1.5137,0,0,0,0.60389,0.03893,0,0.03595,0.02327,0.07053,2.30332,0,0,0.53814,0.04487,0,0,0.01034,0,0,0,0,0,0,0.02052,0,0,0,2.60641,0.46861,0.01259,0,0,0.49005,1.27538,0.21194,0,0,5e-04,0,0,0,0.01293,0,0,0,0,0,0,0,0,0.34014,0,0,0,0,0,0,0.03512,0.1586,0.01584,0,0,0,0,0,0,0,0,0,0.16395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622,0,0,0,0.00549,0,0,0,0,4.03537,0,0
18,0,0.45766,0,0,0,0,0,0,0.733,0,0,0,0,0,0,0,0,0,0,0.48388,0,0,0,0,0,0,0,0,67.88817,0,0,0,0,0,1.01064,0,0,0,0,0,15.17189,0,6.96927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0.08326,0,0,0,0,0.00042,0.01093,0.01537,0,0,0.07092,0,0,0.10848,0,0.70486,0,0,0,0.0792,0.01936,0,0.02037,0,0.00247,0.82955,0,0,0.05235,0.00499,0,0,0.00729,0,0,0,0,0,0,0,0,0,0,0.81376,0.23614,0.00067,0,0,1.41796,1.05187,0.12182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15778,0,0,0,0,0,0,0.00222,0.07813,0,0,0,0,0,0,0,0,0,0,0.08872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3046,0,0
